Sample_ID_IfH,Organism_Code,amikacin,amoxicillin-clavulanic acid,ampicillin,ampicillin-sulbactam,aztreonam,cefazolin,cefepime,cefotaxime,ceftazidime,ceftriaxone,cefuroxime,ciprofloxacin,colistin,ertapenem,fosfomycin,gentamicin,levofloxacin,meropenem,nitrofurantoin,norfloxacin,piperacillin-tazobactam,ticarcillin-clavulanic acid,tigecycline,tobramycin,trimethoprim-sulfamethoxazole
470.7491,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,R,
470.7678,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.1563,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7795,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7478,PTX,,,,,,,,,,,,,,,,S,S,,,,,,,S,
470.7774,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7536,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,S,
470.7529,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,R,
470.7578,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7656,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7855,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7822,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7623,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7724,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7638,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7556,PTX,,,,,,,,,,,,S,,,,R,,,,,,,,R,
470.7848,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7954,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7501,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,R,
470.7515,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,R,
470.7423,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,S,
470.8074,PTX,,,,,,,,,,,,R,,,,,R,,,,,,,,
470.7595,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.1565,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7587,PTX,,,,,,,,,,,,R,,,,S,R,,,,,,,S,
470.7928,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7823,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7824,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7513,PTX,,,,,,,,,,,,S,,,,S,,,,,,,,S,
470.7849,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7503,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,S,
470.7747,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7826,PTX,,,,,,,,,,,,R,,,,S,R,,,,,,,S,
470.7681,PTX,,,,,,,,,,,,S,,,,R,S,,,,,,,S,
470.7449,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,R,
470.7794,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7437,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,R,
470.8031,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,S,
470.7773,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.8024,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,R,
470.7847,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7789,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7771,PTX,,,,,,,,,,,,S,,,,S,S,,,,,,,S,
470.7828,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
