Target                          , Accuracy          , ROC_Mean           , PR_Mean           , Precision_Mean     , Recall_Mean       , F1_Mean            , VME               , ME                 , Test_Count_S, Test_Count_I, Test_Count_R, Train_Count_S, Train_Count_I, Train_Count_R
Amikacin_AB                     , 0.925             , 0.9505094989075251 , 0.9400834751981424, 0.9107778863490583 , 0.8967806319158157, 0.9027270218696364 , 4.3               ,  3.2               ,        145.8,          0.0,         54.2,         145.8,           0.0,          54.2
Amoxicillin-clavulanic acid_AB  , 0.0               ,                    , 1.0               , 0.0                , 0.0               , 0.0                , 0.0               ,  0.0               ,          0.0,          0.0,          0.0,           0.0,           0.0,           0.0
Ampicillin-sulbactam_AB         , 0.945             , 0.8903198354305732 , 0.75214157753664  , 0.718343104412462  , 0.7972770129433339, 0.7328725662655712 , 3.9               ,  1.6               ,          8.4,          0.0,        191.6,           8.4,           0.0,         191.6
Ampicillin_AB                   , 0.0               ,                    , 1.0               , 0.0                , 0.0               , 0.0                , 0.0               ,  0.0               ,          0.0,          0.0,          0.0,           0.0,           0.0,           0.0
Aztreonam_AB                    , 0.9017749402550281, 0.8016156491095392 , 0.725617645381677 , 0.752886266196008  , 0.7413963586670552, 0.7463346238027795 , 4.657655153238386 ,  5.164850821258797 ,         22.0,          0.0,        175.4,          22.0,           0.0,         175.4
Cefazolin_AB                    , 0.951             , 0.9815661477052764 , 0.7949519906815379, 0.7068940335293588 , 0.9189613944170156, 0.7664689323567752 , 4.5               ,  0.4               ,          7.0,          0.0,        193.0,           7.0,           0.0,         193.0
Cefepime_AB                     , 0.6715597976015931, 0.6450337585812473 , 0.6137720873857513, 0.511214711104051  , 0.521334473491522 , 0.47157960412528144, 3.8075991723551335, 29.03642106748555  ,         60.4,          0.0,        128.4,          60.4,           0.0,         128.4
Cefotaxime_AB                   , 0.0               ,                    , 1.0               , 0.0                , 0.0               , 0.0                , 0.0               ,  0.0               ,          0.0,          0.0,          0.0,           0.0,           0.0,           0.0
Ceftazidime-avibactam_AB        , 0.0               ,                    , 1.0               , 0.0                , 0.0               , 0.0                , 0.0               ,  0.0               ,          0.0,          0.0,          0.0,           0.0,           0.0,           0.0
Ceftazidime_AB                  , 0.929             , 0.916132655713481  , 0.7379911930083027, 0.7325856441100826 , 0.8856895888870845, 0.7811834747225527 , 6.0               ,  1.1               ,         13.0,          0.0,        187.0,          13.0,           0.0,         187.0
Ceftolozane-tazobactam_AB       , 0.0               ,                    , 1.0               , 0.0                , 0.0               , 0.0                , 0.0               ,  0.0               ,          0.0,          0.0,          0.0,           0.0,           0.0,           0.0
Ceftriaxone_AB                  , 0.9349999999999999, 0.4677172838009402 , 0.5313318353356251, 0.46749999999999997, 0.5               , 0.483191690209249  , 0.0               ,  6.5               ,         13.0,          0.0,        187.0,          13.0,           0.0,         187.0
Cefuroxime_AB                   , 0.9405089649421872, 0.9321362657666556 , 0.788700721844652 , 0.7242303429675923 , 0.8557390922020692, 0.7607605116320076 , 4.798910973006633 ,  1.1501925327746454,          8.8,          0.0,        182.0,           8.8,           0.0,         182.0
Ciprofloxacin_AB                , 0.9269999999999999, 0.48369404905946334, 0.5254248899355367, 0.46349999999999997, 0.5               , 0.48102699105544994, 0.0               ,  7.3               ,         14.6,          0.0,        185.4,          14.6,           0.0,         185.4
Ertapenem_AB                    , 0.0               ,                    , 1.0               , 0.0                , 0.0               , 0.0                , 0.0               ,  0.0               ,          0.0,          0.0,          0.0,           0.0,           0.0,           0.0
Gentamicin_AB                   , 0.865             , 0.9308057708334776 , 0.9153292144404741, 0.8609196500475178 , 0.8621025766181223, 0.8605896354759114 , 7.3               ,  6.2               ,         83.4,          0.0,        116.6,          83.4,           0.0,         116.6
