Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Amikacin_AB,0.9166938775510204,0.9372814702933446,0.9149449382331035,0.9037610339353292,0.8761468028452628,0.8880670809987435,5.426530612244898,2.904081632653061,146.4,0.0,52.8,146.4,0.0,52.8
Amoxicillin-clavulanic acid_AB,0.8929830894622001,0.8166076509286613,0.781574296339986,0.817093030194534,0.6896681749622926,0.7214333291661114,0.625,10.076691053780003,8.6,0.0,42.8,8.6,0.0,42.8
Ampicillin-sulbactam_AB,0.9202330633163343,0.9567508844713373,0.9563118552397833,0.9226160545859591,0.8995101686236234,0.9084885963988591,2.226631726802224,5.750061941564363,42.6,0.0,83.2,42.6,0.0,83.2
Ampicillin_AB,0.9741055738609582,0.8316167386883908,0.602452170135833,0.4886230207587774,0.4983957219251337,0.4934372919111566,0.31746031746031744,2.2719822964438694,4.2,0.0,182.0,4.2,0.0,182.0
Aztreonam_AB,0.92978709867404,0.9520441328423382,0.9503607434553529,0.9344040457252912,0.9189312478085447,0.9249271573583794,1.8030567154142965,5.2182334171817075,61.2,0.0,95.4,61.2,0.0,95.4
Cefazolin_AB,0.9350947965653849,0.9639192726479819,0.9624411988752464,0.933138860251064,0.9275536537641103,0.9297247613680442,2.5841876430111723,3.906332700450347,51.6,0.0,86.8,51.6,0.0,86.8
Cefepime_AB,0.8851852223512496,0.854564253228386,0.8027276060352235,0.8419574848679255,0.5638063660477453,0.5701244868753861,0.0,11.481477764875038,21.2,0.0,143.0,21.2,0.0,143.0
Cefotaxime_AB,0.9410453789534404,0.8242316560338594,0.6073295097595877,0.4705226894767202,0.5,0.4848080112684139,0.0,5.895462104655952,10.0,0.0,160.0,10.0,0.0,160.0
Ceftazidime-avibactam_AB,0.8760681741010184,0.9263692861331576,0.9117372092757734,0.8577881496757949,0.831706382450674,0.8402659023002578,4.504824578660093,7.888358011238063,32.4,0.0,82.2,32.4,0.0,82.2
Ceftazidime_AB,0.9259931746047162,0.947898375073053,0.945809045788725,0.9246523509829597,0.9162834908585946,0.9199915710405412,2.8420619968970007,4.558620542631367,65.6,0.0,109.4,65.6,0.0,109.4
Ceftolozane-tazobactam_AB,0.9269996222775434,0.8406263926263925,0.7717738665129639,0.7794778875196767,0.6063636363636363,0.63671813051544,0.8656350543894591,6.434402717856199,9.6,0.0,105.0,9.6,0.0,105.0
Ceftriaxone_AB,0.7735741087370814,,0.6937666148725319,0.3867870543685407,0.4,0.3932612737423106,0.0,2.642589126291858,3.4,0.0,100.4,3.4,0.0,100.4
Cefuroxime_AB,0.9298959064012294,0.9623593036224978,0.9532003575810071,0.9192935857840588,0.910151894241183,0.9138605637461545,2.978470194547423,4.0319391653296375,45.0,0.0,109.8,45.0,0.0,109.8
Ciprofloxacin_AB,0.8956734693877552,0.6364755544545522,0.5852700050939261,0.4478367346938775,0.5,0.47244806873090645,0.0,10.432653061224489,20.8,0.0,178.4,20.8,0.0,178.4
Ertapenem_AB,0.7291144687407269,0.7097936677837025,0.6798622709889033,0.36455723437036347,0.5,0.4214849857283111,0.0,27.0885531259273,52.0,0.0,139.8,52.0,0.0,139.8
Gentamicin_AB,0.9106734693877552,0.9499351522997859,0.9453234126978222,0.9117752975145887,0.9095766996657826,0.9101878406601166,5.520408163265307,3.4122448979591837,103.4,0.0,95.8,103.4,0.0,95.8
Imipenem_AB,0.8427727146384134,0.7690895911238942,0.7203327897694012,0.7698334865477723,0.5745362966157066,0.5774716313039823,0.7021000777806586,15.020628458378008,25.8,0.0,119.0,25.8,0.0,119.0
Levofloxacin_AB,0.8231881342845847,0.8748469166040864,0.8649842554464756,0.8115062737997084,0.7592716470703968,0.7748740404023196,4.95617658087315,12.725009990668376,43.4,0.0,96.4,43.4,0.0,96.4
Median,0.9092669164845578,0.8874793152946872,0.8660972806217773,0.8496889970097306,0.6884671621987464,0.7124520202696198,0.7577114862534275,5.579247928507536,,,,,,
Meropenem_AB,0.6838163265306123,0.7206107968240398,0.7115909669474718,0.8195904475307751,0.5226170989501346,0.44801625850644244,0.1,31.518367346938778,66.0,0.0,133.2,66.0,0.0,133.2
Piperacillin-tazobactam_AB,0.8807446094561617,0.9303659535850697,0.9125700430358492,0.8747309425437642,0.8636837043341286,0.8680619760174709,5.072200723819877,6.85333833056395,59.8,0.0,104.6,59.8,0.0,104.6
Tigecycline_AB,0.7754036159918514,,0.6281020939145676,0.38770180799592563,0.4,0.39375000503967905,0.0,2.4596384008148715,4.0,0.0,126.8,4.0,0.0,126.8
Tobramycin_AB,0.9369144519445832,0.9611294529622834,0.9593968272058874,0.9408648456053275,0.9297201281380711,0.9340727098018966,1.5822622742282053,4.726292531313481,68.6,0.0,95.6,68.6,0.0,95.6
Trimethoprim-sulfamethoxazole_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trimethoprim_AB,0.5274859943977591,,0.741482703077894,0.5628877005347593,0.5422542735042735,0.48388351033659954,13.154761904761903,14.096638655462186,4.8,0.0,9.6,4.8,0.0,9.6
