Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Amikacin_AB,0.7820816326530613,0.7846359126231338,0.7498673669420011,0.7577230787468577,0.6260239838868726,0.6379442725473039,18.683673469387756,3.108163265306122,146.4,0.0,52.8,146.4,0.0,52.8
Ampicillin-sulbactam_AB,0.7557375179423873,0.8740346936003268,0.8351859236212654,0.7943086222345105,0.6634155674871001,0.6486198630437638,3.6052361345616477,20.82101207119962,42.6,0.0,83.2,42.6,0.0,83.2
Aztreonam_AB,0.8146466592128292,0.8963078002878699,0.8883338843110286,0.8458849545230978,0.7753216878372314,0.784770116269646,2.2888592564315617,16.246474822285514,61.2,0.0,95.4,61.2,0.0,95.4
Cefazolin_AB,0.7432199208669796,0.9231481982101135,0.8962111341422311,0.7790097409560757,0.6694151969680642,0.6647766714464824,2.5889126477361772,23.089095265565852,51.6,0.0,86.8,51.6,0.0,86.8
Cefepime_AB,0.6482271008387765,0.5940239452066696,0.536805073415219,0.5129466974424878,0.5216126819704087,0.4876202057662997,27.188689207117232,7.988600709005117,21.2,0.0,143.0,21.2,0.0,143.0
Ceftazidime_AB,0.8185119489779151,0.8966452848596784,0.8859530603375564,0.839141296498568,0.7767606575026342,0.7857593842978011,3.19295560703575,14.955849495172743,65.6,0.0,109.4,65.6,0.0,109.4
Ceftriaxone_AB,0.5867398512882342,,0.6146431637636484,0.3986735117821758,0.3823077882477016,0.35638186482099765,19.45411276778548,1.8719021033910948,3.4,0.0,100.4,3.4,0.0,100.4
Cefuroxime_AB,0.833040978428925,0.922116021991499,0.8794365399210168,0.8597146133002671,0.7371175434449541,0.7480602735184311,2.3831062728121553,14.312795884295344,45.0,0.0,109.8,45.0,0.0,109.8
Ciprofloxacin_AB,0.7450612244897961,0.6680868404782598,0.5645212598996353,0.554118021804584,0.6041737817778717,0.5521602217378512,19.573469387755104,5.920408163265306,20.8,0.0,178.4,20.8,0.0,178.4
Gentamicin_AB,0.867530612244898,0.9027575335815247,0.8867914257110503,0.8687629018648231,0.8660942101182965,0.8666420591237364,7.826530612244897,5.420408163265305,103.4,0.0,95.8,103.4,0.0,95.8
Imipenem_AB,0.2474966306726742,0.5643946559050322,0.5702118089321099,0.5467389529770112,0.5171656127191484,0.23891455145482135,74.29095198387395,0.9593849488586331,25.8,0.0,119.0,25.8,0.0,119.0
Levofloxacin_AB,0.5670612728556575,0.619025066153222,0.6106564693798382,0.599745029341993,0.6126979311014108,0.5605426596518253,35.14438176901225,8.14949094542199,43.4,0.0,96.4,43.4,0.0,96.4
Median,0.742241826063912,0.8567732194048411,0.8281263370848535,0.7358928044327382,0.6379820808028225,0.6297031253828556,7.353843377841935,7.603343506202672,,,,,,
Piperacillin-tazobactam_AB,0.6685257860812248,0.7412346861458079,0.7268744146825314,0.6396193427777885,0.635980480012471,0.6256283803196123,14.741925278386162,18.405496113491363,59.8,0.0,104.6,59.8,0.0,104.6
Tobramycin_AB,0.8839649443268552,0.9127683121557679,0.9028535547058866,0.8841471409621311,0.8772461880249727,0.8799630387121985,4.921814113833267,6.681691453481212,68.6,0.0,95.6,68.6,0.0,95.6
Trimethoprim-sulfamethoxazole_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
