Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.9065420560747663,0.9706331045003813,0.9698132024983126,0.8979786422578184,0.8979786422578184,0.8979786422578184,4.672897196261682,4.672897196261682,38.0,0.0,69.0,197.0,0.0,349.0
Cefuroxime_AB,0.9622641509433962,0.9920212765957447,0.9634118372979412,0.9060283687943262,0.9060283687943262,0.9060283687943262,1.8867924528301887,1.8867924528301887,12.0,0.0,94.0,82.0,0.0,441.0
Ciprofloxacin_AB,0.9583333333333334,0.981651376146789,0.9069150460647342,0.8657407407407407,0.8953294412010009,0.8797836104988981,2.5,1.6666666666666667,11.0,0.0,109.0,65.0,0.0,535.0
Cefazolin_AB,0.95,0.9905882352941177,0.9749806224774982,0.8943452380952381,0.915686274509804,0.9045619393013934,3.0,2.0,15.0,0.0,85.0,85.0,0.0,413.0
Ceftazidime_AB,0.9541284403669725,0.9923976608187135,0.9822544251853761,0.9033437826541275,0.9514619883040936,0.9249000964585917,3.669724770642202,0.9174311926605505,19.0,0.0,90.0,111.0,0.0,447.0
Ampicillin-sulbactam_AB,0.9791666666666666,0.9919743178170144,0.9635068819086502,0.9229534510433386,0.9229534510433386,0.9229534510433386,1.0416666666666665,1.0416666666666665,7.0,0.0,89.0,62.0,0.0,419.0
Ceftriaxone_AB,0.9578947368421052,0.9850187265917603,0.8937601384114378,0.8220973782771535,0.8220973782771535,0.8220973782771535,2.1052631578947367,2.1052631578947367,6.0,0.0,89.0,39.0,0.0,447.0
Levofloxacin_AB,0.9292929292929293,0.9864185110663983,0.9810790809745507,0.9387871853546911,0.885814889336016,0.907563025210084,1.0101010101010102,6.0606060606060606,28.0,0.0,71.0,133.0,0.0,365.0
Aztreonam_AB,0.9439252336448598,0.9800664451827242,0.9641404095534946,0.9111295681063123,0.9111295681063123,0.9111295681063123,2.803738317757009,2.803738317757009,21.0,0.0,86.0,124.0,0.0,413.0
Piperacillin-tazobactam_AB,0.8598130841121495,0.9254658385093167,0.8778241645536244,0.8283410138248848,0.7212732919254659,0.7549244159413651,2.803738317757009,11.214953271028037,23.0,0.0,84.0,128.0,0.0,418.0
Gentamicin_AB,0.9333333333333333,0.9851527149321266,0.9855768860490401,0.9342857142857143,0.9298642533936652,0.9317988064791134,4.166666666666666,2.5,68.0,0.0,52.0,311.0,0.0,289.0
Imipenem_AB,0.9333333333333333,0.9721818181818181,0.9721475200252535,0.9330065359477124,0.9336363636363636,0.9332364429103461,3.8095238095238098,2.857142857142857,50.0,0.0,55.0,254.0,0.0,263.0
Meropenem_AB,0.9666666666666667,0.9969927192149415,0.9961500974429376,0.96841419732986,0.9553656220322887,0.9614890885750962,2.5,0.8333333333333334,81.0,0.0,39.0,400.0,0.0,200.0
Amikacin_AB,0.9333333333333333,0.9775132275132274,0.9700593259869517,0.9125,0.9365079365079365,0.9229781771501926,1.6666666666666667,5.0,84.0,0.0,36.0,442.0,0.0,158.0
Cefepime_AB,0.8113207547169812,0.8919413919413919,0.8230223709842983,0.7861111111111111,0.6886446886446886,0.7132034632034632,3.7735849056603774,15.09433962264151,28.0,0.0,78.0,134.0,0.0,398.0
Trimethoprim-sulfamethoxazole_AB,0.9122807017543859,0.9605769230769231,0.8003918554690825,0.7216981132075472,0.6807692307692308,0.6984126984126984,3.508771929824561,5.263157894736842,10.0,0.0,104.0,56.0,0.0,510.0
Ampicillin_AB,0.991304347826087,0.9469026548672566,0.7852244129854318,0.9956140350877193,0.75,0.8311306901615272,0.0,0.8695652173913043,2.0,0.0,113.0,10.0,0.0,564.0
Amoxicillin-clavulanic acid_AB,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,12.0,15.0,0.0,66.0
Ertapenem_AB,0.9473684210526315,0.9885670731707317,0.9832823650192306,0.9210526315789473,0.9634146341463414,0.9381555153707053,5.263157894736842,0.0,16.0,0.0,41.0,78.0,0.0,209.0
Cefotaxime_AB,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,0.0,46.0,14.0,0.0,242.0
Tigecycline_AB,0.9591836734693877,0.9787234042553191,0.7912324504269792,0.47959183673469385,0.5,0.4895833333333333,0.0,4.081632653061225,2.0,0.0,47.0,5.0,0.0,242.0
Trimethoprim_AB,0.6,0.8333333333333333,0.8749999999999999,0.5833333333333333,0.5833333333333333,0.5833333333333333,20.0,20.0,2.0,0.0,3.0,9.0,0.0,20.0
Ceftolozane-tazobactam_AB,0.96875,1.0,1.0,0.9827586206896552,0.875,0.9197994987468672,0.0,3.125,4.0,0.0,28.0,17.0,0.0,151.0
Ceftazidime-avibactam_AB,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.0,0.0,9.0,0.0,23.0,48.0,0.0,120.0
Median,0.9520642201834862,0.9850857207619435,0.9699362642426321,0.9118147840531561,0.9085789684503193,0.9093462966581982,2.5,2.302631578947368,,,,,,
