Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.865,0.9102112676056338,0.873486200966598,0.8370138633296528,0.8335356969402623,0.8352402745995424,6.5,7.000000000000001,58.0,0.0,142.0,58.0,0.0,142.0
Cefuroxime_AB,0.934010152284264,0.8770053475935828,0.6856376239079554,0.6975490196078431,0.8232620320855615,0.7415480875971339,5.0761421319796955,1.5228426395939088,10.0,0.0,187.0,10.0,0.0,187.0
Cefotaxime_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cefepime_AB,0.7074468085106383,0.6598366144368555,0.6341998970611784,0.6366869918699187,0.5720503548948708,0.567273488177443,5.851063829787234,23.404255319148938,57.0,0.0,131.0,57.0,0.0,131.0
Gentamicin_AB,0.87,0.9345476827094474,0.9141989241440095,0.8551693404634582,0.8551693404634582,0.8551693404634582,6.5,6.5,68.0,0.0,132.0,68.0,0.0,132.0
Piperacillin-tazobactam_AB,0.865,0.7462857142857142,0.6679495716055234,0.6851378958120531,0.6657142857142857,0.6745223313844856,6.0,7.5,25.0,0.0,175.0,25.0,0.0,175.0
Tigecycline_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trimethoprim_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aztreonam_AB,0.88,0.754420866489832,0.6900556196203776,0.7339015151515151,0.7183908045977012,0.7257142857142858,5.5,6.5,26.0,0.0,174.0,26.0,0.0,174.0
Ceftazidime_AB,0.925,0.884078884078884,0.7163539709786465,0.6989274770173647,0.8746993746993748,0.7522913054248204,6.5,1.0,11.0,0.0,189.0,11.0,0.0,189.0
Ciprofloxacin_AB,0.94,0.5323581560283688,0.5546185265326133,0.47,0.5,0.4845360824742268,0.0,6.0,12.0,0.0,188.0,12.0,0.0,188.0
Ceftazidime-avibactam_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imipenem_AB,0.495,0.681692511119125,0.6291127367671127,0.684375,0.6418439716312057,0.49040086783218545,0.0,50.5,141.0,0.0,59.0,141.0,0.0,59.0
Meropenem_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceftolozane-tazobactam_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trimethoprim-sulfamethoxazole_AB,0.88,0.595407196969697,0.5958869162868623,0.44,0.5,0.46808510638297873,0.0,12.0,24.0,0.0,176.0,24.0,0.0,176.0
Amoxicillin-clavulanic acid_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ertapenem_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceftriaxone_AB,0.92,0.8369565217391304,0.6643700227261078,0.46,0.5,0.4791666666666667,0.0,8.0,16.0,0.0,184.0,16.0,0.0,184.0
Levofloxacin_AB,0.87,0.8987730061349694,0.8149264651272041,0.8057142857142857,0.7217708506052065,0.7518610421836229,3.5000000000000004,9.5,37.0,0.0,163.0,37.0,0.0,163.0
Ampicillin_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amikacin_AB,0.905,0.934871794871795,0.9129606687565447,0.8906603346901855,0.8937321937321938,0.8921649309004228,4.5,5.0,135.0,0.0,65.0,135.0,0.0,65.0
Ampicillin-sulbactam_AB,0.94,0.826171875,0.6624576967773188,0.6368421052631579,0.6692708333333333,0.6509598603839442,3.5000000000000004,2.5,8.0,0.0,192.0,8.0,0.0,192.0
Cefazolin_AB,0.95,0.9772135416666667,0.7841252397083979,0.7222222222222222,0.9739583333333333,0.7943233237350884,5.0,0.0,8.0,0.0,192.0,8.0,0.0,192.0
Median,0.865,0.8369565217391304,0.8442063330469011,0.5533434959349594,0.5360251774474354,0.4874684751532061,0.0,2.0114213197969546,,,,,,
