,Organism_Code,Antibiotic,Test_Count_NA,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_NA,Train_Count_S,Train_Count_I,Train_Count_R
0,EKP,Amikacin_AB,0.0,138.0,0,62.0,0.0,138.0,0,62.0
1,EKP,Amoxicillin-clavulanic acid_AB,147.0,13.0,0,40.0,147.0,13.0,0,40.0
2,EKP,Ampicillin-sulbactam_AB,76.0,39.0,0,85.0,76.0,39.0,0,85.0
3,EKP,Ampicillin_AB,18.0,6.0,0,176.0,18.0,6.0,0,176.0
4,EKP,Aztreonam_AB,37.0,62.0,0,101.0,37.0,62.0,0,101.0
5,EKP,Cefazolin_AB,70.0,51.0,0,79.0,70.0,51.0,0,79.0
6,EKP,Cefepime_AB,36.0,20.0,0,144.0,36.0,20.0,0,144.0
7,EKP,Cefotaxime_AB,29.0,9.0,0,162.0,29.0,9.0,0,162.0
8,EKP,Ceftazidime-avibactam_AB,86.0,26.0,0,88.0,86.0,26.0,0,88.0
9,EKP,Ceftazidime_AB,28.0,66.0,0,106.0,28.0,66.0,0,106.0
10,EKP,Ceftolozane-tazobactam_AB,86.0,9.0,0,105.0,86.0,9.0,0,105.0
11,EKP,Ceftriaxone_AB,75.0,6.0,0,119.0,75.0,6.0,0,119.0
12,EKP,Cefuroxime_AB,40.0,46.0,0,114.0,40.0,46.0,0,114.0
13,EKP,Ciprofloxacin_AB,0.0,24.0,0,176.0,0.0,24.0,0,176.0
14,EKP,Ertapenem_AB,8.0,46.0,0,146.0,8.0,46.0,0,146.0
15,EKP,Gentamicin_AB,0.0,106.0,0,94.0,0.0,106.0,0,94.0
16,EKP,Imipenem_AB,52.0,26.0,0,122.0,52.0,26.0,0,122.0
17,EKP,Levofloxacin_AB,68.0,42.0,0,90.0,68.0,42.0,0,90.0
18,EKP,Meropenem_AB,0.0,63.0,0,137.0,0.0,63.0,0,137.0
19,EKP,Piperacillin-tazobactam_AB,35.0,63.0,0,102.0,35.0,63.0,0,102.0
20,EKP,Tigecycline_AB,32.0,6.0,0,162.0,32.0,6.0,0,162.0
21,EKP,Tobramycin_AB,36.0,68.0,0,96.0,36.0,68.0,0,96.0
22,EKP,Trimethoprim_AB,179.0,8.0,0,13.0,179.0,8.0,0,13.0
