,Tobramycin_AB,Cefuroxime_AB,Ciprofloxacin_AB,Cefazolin_AB,Ceftazidime_AB,Ampicillin-sulbactam_AB,Ceftriaxone_AB,Levofloxacin_AB,Aztreonam_AB,Piperacillin-tazobactam_AB,Gentamicin_AB,Imipenem_AB,Amikacin_AB,Cefepime_AB,Trimethoprim-sulfamethoxazole_AB,Organism_Code
Amikacin_AB,0.09197529779723759,0.018503152688208298,0.017810893622272114,0.01093650132996404,0.021199708805189347,0.0075820556828286225,0.019971045727940267,0.0481490502657633,0.02641691108661955,0.02329222996054824,0.06090631695978903,0.041517468784561265,0.5559773388216204,0.033797617714395885,0.021964410753062137,0.0
Ampicillin-sulbactam_AB,0.00843386371533288,0.14972342737292008,0.020641180078060796,0.1462064308640057,0.03797063510544452,0.20159030913447828,0.18140136109197416,0.007933315001988643,0.02173984703758586,0.013163066524735699,0.006661163070169562,0.008801262323811558,0.03046030381292022,0.07412808950507284,0.09114574536149904,0.0
Aztreonam_AB,0.06032409701399283,0.028660238715630743,0.05856946175869393,0.012415477963452777,0.18911084826856323,0.008597811359892104,0.057491134789182906,0.03127882608348784,0.1336816892966523,0.0621329683655453,0.046976443273116245,0.04187370370684211,0.07987813010845557,0.15847632225803948,0.030532847038452805,0.0
Cefazolin_AB,0.03089903128208847,0.05178321201387806,0.29212762920474006,0.09232369839044806,0.15790258874819957,0.10950527501091062,0.10544791335475526,0.011189860138464435,0.05808829981224767,0.008355695989902743,0.013136502172136726,0.009446686575385114,0.02894121865760442,0.0239520534421546,0.006900335207084156,0.0
Cefepime_AB,0.10359549902861082,0.027039717148105366,0.03262363068953769,0.01991637051734073,0.034710386172888075,0.03196166346145031,0.03183147450096056,0.04236544610672682,0.1015031298970655,0.07914178443983785,0.053088837844940555,0.04291724855775764,0.05823379372751673,0.27667698570021737,0.06439403220704394,0.0
Ceftazidime_AB,0.01829254531578734,0.04438278576797859,0.0931991323157029,0.017706852415758166,0.4072230940020508,0.032049039608823146,0.08499014088201473,0.03266928531229642,0.053593849979272426,0.06908593953342562,0.015467939288238895,0.02361793188694946,0.020918717615537735,0.04756035148932753,0.03924239458683625,0.0
Ceftriaxone_AB,0.00991797701961886,0.046024181265852226,0.10051019033887597,0.03125222944665772,0.19732493804827367,0.09523054428824491,0.39043235690867845,0.009960030430277685,0.03644625195925215,0.01783996902919827,0.012085518799391782,0.011132998548253963,0.011192034223144662,0.023541920507873605,0.007108859186406179,0.0
Cefuroxime_AB,0.008670538998029421,0.14202420007755084,0.0427564857145811,0.07492824628593214,0.1068364520984659,0.1970504862030189,0.19352465511342903,0.0067604756472100114,0.1524923009353099,0.008866554578105808,0.005424972200765873,0.006453003969020082,0.014563734988948935,0.02438255749565369,0.015265335693978442,0.0
Ciprofloxacin_AB,0.026332335166700957,0.1394760141187374,0.3606372887665972,0.05275358497826192,0.04029497381574142,0.03558685788114638,0.07578007654296345,0.11228130647969524,0.02132877894011842,0.02029076070679886,0.027843151874979315,0.014143410589120765,0.029209989015258724,0.02134649170193037,0.022694979421949882,0.0
Gentamicin_AB,0.08384350954080697,0.011930611633722808,0.03380355809206372,0.011485454242971514,0.018789514380989775,0.005157650510861587,0.00980812826597538,0.02369464463564052,0.02227508910359565,0.02762701196968674,0.5815778909409434,0.0470362970641472,0.06299272683960809,0.037712435073555504,0.022265477705431223,0.0
Imipenem_AB,0.024042396512471052,0.004980575919380078,0.01110584037734395,0.006216392323236064,0.013005162380385255,0.004569257954487406,0.009545539494285032,0.024224473037292096,0.01779522667408337,0.10953296965705023,0.038434678341046934,0.6372568834861632,0.050485689074643694,0.03167985774201902,0.017125057026112844,0.0
Levofloxacin_AB,0.02193015429945542,0.02705451836771825,0.057299587943397706,0.016404613861659527,0.02052085916697155,0.021142978554733495,0.017169119793047288,0.5151120633666703,0.03354729588056393,0.10580321343785293,0.022197655172096195,0.029991794338156116,0.05135690321290349,0.044240627407532,0.016228615197241895,0.0
Piperacillin-tazobactam_AB,0.035702178468588905,0.023598655866638014,0.08535177035577818,0.018132437568382336,0.05471995253431336,0.016483976591128706,0.026824926477318354,0.07637542271128592,0.049258648083795764,0.3174417929100216,0.054809306795751286,0.08610294158225354,0.05340381453349308,0.07046420699528544,0.03132996852596562,0.0
Tobramycin_AB,0.5324867714719836,0.011614002194191387,0.010075982132740718,0.010266142466005122,0.01592085820148076,0.004874403498651902,0.008591863858637526,0.017268871703536068,0.03216451725258579,0.030813314475436372,0.09288648311550299,0.034310713779608745,0.06120730993596373,0.10258839816277206,0.03493036775090291,0.0
Trimethoprim-sulfamethoxazole_AB,0.0425047633936506,0.04350853831691718,0.051556415398170775,0.024258246428913742,0.049897112629514864,0.032406196815331474,0.01025649289872051,0.01838785207065463,0.025454169655004202,0.032925436853541705,0.03906926287774402,0.018657608024428816,0.04093651564012876,0.03839445204988506,0.5317869369473937,0.0
