,Organism_Code,Antibiotic,Test_Count_NA,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_NA,Train_Count_S,Train_Count_I,Train_Count_R
0,EKP,Amikacin_AB,0.0,85.0,0,35.0,0.0,435.0,0,165.0
1,EKP,Ampicillin-sulbactam_AB,0.0,6.0,0,114.0,0.0,33.0,0,567.0
2,EKP,Aztreonam_AB,2.0,14.0,0,104.0,10.0,81.0,0,509.0
3,EKP,Cefazolin_AB,0.0,4.0,0,116.0,0.0,29.0,0,571.0
4,EKP,Cefepime_AB,2.0,46.0,0,72.0,37.0,202.0,0,361.0
5,EKP,Ceftazidime_AB,0.0,7.0,0,113.0,0.0,50.0,0,550.0
6,EKP,Ceftriaxone_AB,0.0,10.0,0,110.0,0.0,53.0,0,547.0
7,EKP,Cefuroxime_AB,9.0,5.0,0,106.0,25.0,38.0,0,537.0
8,EKP,Ciprofloxacin_AB,0.0,12.0,0,108.0,0.0,61.0,0,539.0
9,EKP,Gentamicin_AB,0.0,59.0,0,61.0,0.0,289.0,0,311.0
10,EKP,Imipenem_AB,0.0,92.0,0,28.0,0.0,448.0,0,152.0
11,EKP,Levofloxacin_AB,0.0,26.0,0,94.0,0.0,127.0,0,473.0
12,EKP,Piperacillin-tazobactam_AB,0.0,17.0,0,103.0,0.0,95.0,0,505.0
13,EKP,Tobramycin_AB,0.0,39.0,0,81.0,0.0,193.0,0,407.0
14,EKP,Trimethoprim-sulfamethoxazole_AB,0.0,17.0,0,103.0,0.0,117.0,0,483.0
