Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.895,0.9087542496357455,0.896382662861343,0.8738191632928476,0.8699611461874697,0.8718535469107551,5.0,5.5,58.0,0.0,142.0,58.0,0.0,142.0
Cefuroxime_AB,0.9746192893401016,0.9887700534759358,0.9179363154461524,0.9180451127819549,0.7973262032085562,0.8463098767358402,0.5076142131979695,2.030456852791878,10.0,0.0,187.0,10.0,0.0,187.0
Cefepime_AB,0.75,0.7971072719967858,0.7430350591012311,0.7021739130434783,0.6868220168742467,0.6930132369801618,10.638297872340425,14.361702127659576,57.0,0.0,131.0,57.0,0.0,131.0
Gentamicin_AB,0.86,0.9388926024955437,0.9201341324052432,0.8422902025630425,0.8689839572192514,0.8506666666666667,10.5,3.5000000000000004,68.0,0.0,132.0,68.0,0.0,132.0
Piperacillin-tazobactam_AB,0.85,0.7826285714285715,0.6680042496364045,0.6571428571428571,0.6571428571428571,0.6571428571428571,7.5,7.5,25.0,0.0,175.0,25.0,0.0,175.0
Aztreonam_AB,0.92,0.7614942528735632,0.7597260630660156,0.9184397163120568,0.7086648983200707,0.7673742366967142,0.5,7.5,26.0,0.0,174.0,26.0,0.0,174.0
Ceftazidime_AB,0.965,0.8494468494468495,0.7939106737608609,0.825354609929078,0.8530543530543531,0.8385422673278745,2.0,1.5,11.0,0.0,189.0,11.0,0.0,189.0
Ciprofloxacin_AB,0.96,0.9507978723404256,0.8304905560760036,0.8226950354609929,0.8226950354609929,0.8226950354609929,2.0,2.0,12.0,0.0,188.0,12.0,0.0,188.0
Imipenem_AB,0.9,0.9147734102656568,0.8556818797188048,0.8755648244699339,0.8896501983411468,0.8820615638636632,4.0,6.0,141.0,0.0,59.0,141.0,0.0,59.0
Trimethoprim-sulfamethoxazole_AB,0.925,0.8970170454545454,0.8157194049983645,0.8159922928709056,0.8494318181818181,0.8314512051238834,4.5,3.0,24.0,0.0,176.0,24.0,0.0,176.0
Ceftriaxone_AB,0.965,0.8930027173913042,0.8762619546728363,0.9097079391197038,0.8383152173913043,0.8698763825634352,1.0,2.5,16.0,0.0,184.0,16.0,0.0,184.0
Levofloxacin_AB,0.905,0.9650969988393301,0.9027059037729884,0.8445121951219512,0.8372575029016747,0.840811025931046,4.5,5.0,37.0,0.0,163.0,37.0,0.0,163.0
Amikacin_AB,0.885,0.940911680911681,0.934401220832717,0.8665329768270944,0.8749287749287749,0.870462673537777,5.0,6.5,135.0,0.0,65.0,135.0,0.0,65.0
Ampicillin-sulbactam_AB,0.965,0.9485677083333335,0.7597954817074943,0.7871794871794872,0.6822916666666667,0.721725303120652,1.0,2.5,8.0,0.0,192.0,8.0,0.0,192.0
Cefazolin_AB,0.96,0.98046875,0.8262180166432395,0.7371134020618557,0.6796875,0.7039230199851961,1.5,2.5,8.0,0.0,192.0,8.0,0.0,192.0
Median,0.92,0.9147734102656568,0.8304905560760036,0.8422902025630425,0.8372575029016747,0.8385422673278745,4.0,3.5000000000000004,,,,,,
