Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.9329268292682927,0.9332107843137255,0.9272970465734585,0.9317587321126327,0.9298406862745098,0.9307618499328344,3.048780487804878,3.6585365853658534,68.0,0.0,96.0,68.0,0.0,96.0
Cefuroxime_AB,0.9,0.9689168573607934,0.9612274779828038,0.9059139784946236,0.8455377574370709,0.8688255790120927,1.875,8.125,46.0,0.0,114.0,46.0,0.0,114.0
Cefepime_AB,0.6524390243902439,0.6517361111111111,0.5542226994197983,0.5409903262829971,0.5868055555555556,0.5163243131370621,28.65853658536585,6.097560975609756,20.0,0.0,144.0,20.0,0.0,144.0
Gentamicin_AB,0.845,0.8842834203131273,0.8576987718844589,0.8443609022556391,0.8447410678442393,0.8445297023496076,7.5,8.0,106.0,0.0,94.0,106.0,0.0,94.0
Piperacillin-tazobactam_AB,0.7151515151515152,0.806411453470277,0.7810082115126836,0.6975753604193972,0.6876750700280112,0.691146600820423,12.121212121212121,16.363636363636363,63.0,0.0,102.0,63.0,0.0,102.0
Aztreonam_AB,0.8711656441717791,0.8891727882465665,0.8764195818149072,0.8972693032015067,0.8368732034493772,0.8539239533990526,1.2269938650306749,11.65644171779141,62.0,0.0,101.0,62.0,0.0,101.0
Ceftazidime_AB,0.8895348837209303,0.9043739279588336,0.9040374188563225,0.8860492209116062,0.878930817610063,0.882170542635659,4.651162790697675,6.395348837209303,66.0,0.0,106.0,66.0,0.0,106.0
Ciprofloxacin_AB,0.715,0.6888020833333334,0.5812233091584947,0.5467205750224619,0.5861742424242424,0.5416348357524827,21.5,7.000000000000001,24.0,0.0,176.0,24.0,0.0,176.0
Imipenem_AB,0.27702702702702703,0.6502206809583859,0.6362060085696101,0.5977443609022557,0.5614754098360656,0.27301106367350686,72.2972972972973,0.0,26.0,0.0,122.0,26.0,0.0,122.0
Trimethoprim-sulfamethoxazole_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceftriaxone_AB,0.688,0.6631652661064426,0.5455719551395529,0.4865079365079365,0.44047619047619047,0.4310888084957405,27.200000000000003,4.0,6.0,0.0,119.0,6.0,0.0,119.0
Levofloxacin_AB,0.5151515151515151,0.5338624338624338,0.5497610048130199,0.5629268292682927,0.5682539682539682,0.5133640552995391,39.39393939393939,9.090909090909092,42.0,0.0,90.0,42.0,0.0,90.0
Amikacin_AB,0.77,0.8395862552594671,0.8129795030605838,0.7973484848484849,0.6467975689574568,0.6593097318915716,21.0,2.0,138.0,0.0,62.0,138.0,0.0,62.0
Ampicillin-sulbactam_AB,0.7580645161290323,0.8720965309200603,0.8058264441623157,0.7761467889908258,0.6361990950226244,0.6449026345933562,2.4193548387096775,21.774193548387096,39.0,0.0,85.0,39.0,0.0,85.0
Cefazolin_AB,0.7538461538461538,0.9749317448498386,0.9632076154938525,0.8339886413280908,0.6897493174484984,0.6926713947990544,0.7692307692307693,23.846153846153847,51.0,0.0,79.0,51.0,0.0,79.0
Median,0.7538461538461538,0.8558413930897637,0.8129795030605838,0.7761467889908258,0.6467975689574568,0.6593097318915716,7.5,7.000000000000001,,,,,,
