,Organism_Code,Antibiotic,Test_Count_NA,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_NA,Train_Count_S,Train_Count_I,Train_Count_R
0,EKP,Amikacin_AB,0.0,138.0,0,62.0,0.0,138.0,0,62.0
1,EKP,Ampicillin-sulbactam_AB,76.0,39.0,0,85.0,76.0,39.0,0,85.0
2,EKP,Aztreonam_AB,37.0,62.0,0,101.0,37.0,62.0,0,101.0
3,EKP,Cefazolin_AB,70.0,51.0,0,79.0,70.0,51.0,0,79.0
4,EKP,Cefepime_AB,36.0,20.0,0,144.0,36.0,20.0,0,144.0
5,EKP,Ceftazidime_AB,28.0,66.0,0,106.0,28.0,66.0,0,106.0
6,EKP,Ceftriaxone_AB,75.0,6.0,0,119.0,75.0,6.0,0,119.0
7,EKP,Cefuroxime_AB,40.0,46.0,0,114.0,40.0,46.0,0,114.0
8,EKP,Ciprofloxacin_AB,0.0,24.0,0,176.0,0.0,24.0,0,176.0
9,EKP,Gentamicin_AB,0.0,106.0,0,94.0,0.0,106.0,0,94.0
10,EKP,Imipenem_AB,52.0,26.0,0,122.0,52.0,26.0,0,122.0
11,EKP,Levofloxacin_AB,68.0,42.0,0,90.0,68.0,42.0,0,90.0
12,EKP,Piperacillin-tazobactam_AB,35.0,63.0,0,102.0,35.0,63.0,0,102.0
13,EKP,Tobramycin_AB,36.0,68.0,0,96.0,36.0,68.0,0,96.0
