,Tobramycin_AB,Cefuroxime_AB,Cefepime_AB,Gentamicin_AB,Piperacillin-tazobactam_AB,Aztreonam_AB,Ceftazidime_AB,Ciprofloxacin_AB,Imipenem_AB,Trimethoprim-sulfamethoxazole_AB,Ceftriaxone_AB,Levofloxacin_AB,Amikacin_AB,Ampicillin-sulbactam_AB,Cefazolin_AB,Organism_Code
Amikacin_AB,0.10836464502039969,0.014400130922411793,0.040868715709831485,0.07723871165266011,0.020970926662794646,0.02591571257527865,0.011692341389233156,0.022277340767455196,0.03404178756371085,0.01642663815704495,0.018599153226626988,0.048807471409388466,0.5511149622481037,0.004914373949439126,0.004367088745621268,0.0
Ampicillin-sulbactam_AB,0.02139784346507815,0.21420981781145262,0.06650965966309441,0.012941206674855908,0.014689484534679026,0.02157701991418675,0.022135691711391896,0.01052984330919132,0.005794678456024555,0.0115254160150653,0.10030805898260195,0.014916062394454824,0.024042290206350292,0.15041166727226823,0.30901125958930487,0.0
Aztreonam_AB,0.0528703675288654,0.13087057921489292,0.09807293024181554,0.06141647345152158,0.06835756233350873,0.10911106384096242,0.0767821561914747,0.03649119649296657,0.05614338294373211,0.04025738888724818,0.07024774657681815,0.030689587528194756,0.05358892097456712,0.034881366719001994,0.08021927707442973,0.0
Cefazolin_AB,0.018999528523942693,0.25993166731462924,0.0083273625387147,0.010675147055091781,0.0037610443787475674,0.028828501322001855,0.22813259280162954,0.06225773572903946,0.002710168254327984,0.005086698627046376,0.19370917464769521,0.005612214256536251,0.0072627778897055295,0.03324855264207101,0.13145683401882083,0.0
Cefepime_AB,0.10218330364465558,0.047659155856457754,0.2715971133194178,0.07230500034464643,0.05505398601792667,0.08446055429772317,0.028973665780508112,0.03690053275146823,0.06011432566497098,0.05132815810321349,0.04335938483037374,0.039081502952060844,0.060560050162200736,0.03172260113639668,0.014700665137979671,0.0
Ceftazidime_AB,0.018967510477473307,0.14675077818723326,0.03145054837576348,0.0223268200207382,0.04074826509223824,0.051368409933841105,0.41128275025271965,0.021301407502952438,0.013320275688292391,0.014352967554983935,0.027840970963193788,0.06148534542208411,0.023646822669558143,0.021064305319087005,0.09409282253984097,0.0
Ceftriaxone_AB,0.012544642860167474,0.15724969951388995,0.036487565753530626,0.02339980778076807,0.01256530771976843,0.03663647716830974,0.03262005183241603,0.04312614510911081,0.010440530889848438,0.01241894822718843,0.3770382763855344,0.005526677005760502,0.016649404664503258,0.035826696896613414,0.18746976819259045,0.0
Cefuroxime_AB,0.008955718216022812,0.33184099904826125,0.01717151636865405,0.013331800196080077,0.009131365680415428,0.033689588768026066,0.06574602055903271,0.03446061239288971,0.007471348746461307,0.016723925339956557,0.14168439701426994,0.013397872968498585,0.006906607945819705,0.064258632745063,0.23522959401054888,0.0
Ciprofloxacin_AB,0.04205291428299167,0.11980938187374304,0.022227458827557455,0.02135033141038612,0.0118054574260439,0.018256519574056652,0.017657746018197765,0.49110812424887124,0.0068353017961627835,0.01494114454548785,0.02823111136104052,0.04512437748058598,0.0104161606375302,0.04560383827739428,0.10458013223995057,0.0
Gentamicin_AB,0.06256017769151898,0.012879676034027638,0.04689560186291636,0.5875509499697066,0.03032268991495118,0.023536118574488292,0.013708044637240603,0.05293979890995221,0.040710778836825494,0.020047903701749675,0.011726968225206327,0.01589734400146502,0.05959866978168153,0.013620615393163867,0.008004662465106293,0.0
Imipenem_AB,0.026870937945750024,0.010895928736548988,0.03658685612886752,0.026894201370830664,0.1553139058585815,0.019568273981739284,0.024223152603384084,0.015042162698188278,0.5689446966644878,0.02010339917703234,0.015831597447362684,0.029831406027711636,0.03410356209952005,0.0067347838726160205,0.009055135387379107,0.0
Levofloxacin_AB,0.032307292195409176,0.05442848635698819,0.03459602258869604,0.018917749195157887,0.02554144105177997,0.027095288106394284,0.01567880724866117,0.10310534103318682,0.022617907815460865,0.020726705525844484,0.011832453272111477,0.5630274293584048,0.03333720160025795,0.01765205209907924,0.019135822552567544,0.0
Piperacillin-tazobactam_AB,0.044823701615782405,0.039056270180887004,0.06331397748641107,0.06729463865298257,0.29144591234774575,0.06872415505152338,0.08806760590115736,0.037367017794095875,0.06540951979315651,0.061852449591537295,0.026484366514444094,0.055189524150080424,0.05000342846838818,0.012244034863750643,0.028723397588057382,0.0
Tobramycin_AB,0.5775468511996534,0.012860447970997871,0.10988599221845317,0.06869569427510588,0.028490169315389474,0.02723313124577293,0.009308404019419849,0.010177940050637935,0.031665442631690646,0.02010967273394368,0.013856982881749736,0.013873264204206218,0.06295444681263723,0.007448064176699387,0.005893496263642505,0.0
Trimethoprim-sulfamethoxazole_AB,0.0390447287380599,0.06586180204048767,0.03560289557292142,0.026601684620900495,0.030273163923272756,0.02991354066120272,0.012137057143000387,0.04718963938422017,0.028131388892486495,0.5224037467133595,0.03387243667446221,0.01602095737867895,0.02158571588575499,0.07528572721684776,0.016075515154344584,0.0
