,Organism_Code,Antibiotic,Test_Count_NA,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_NA,Train_Count_S,Train_Count_I,Train_Count_R
0,EKP,Amikacin_AB,0.0,91.0,0,29.0,0.0,431.0,0,169.0
1,EKP,Amoxicillin-clavulanic acid_AB,85.0,7.0,0,28.0,422.0,33.0,0,145.0
2,EKP,Ampicillin-sulbactam_AB,44.0,26.0,0,50.0,253.0,95.0,0,252.0
3,EKP,Ampicillin_AB,4.0,4.0,0,112.0,51.0,19.0,0,530.0
4,EKP,Aztreonam_AB,27.0,44.0,0,49.0,139.0,155.0,0,306.0
5,EKP,Cefazolin_AB,34.0,31.0,0,55.0,213.0,120.0,0,267.0
6,EKP,Cefepime_AB,20.0,16.0,0,84.0,115.0,78.0,0,407.0
7,EKP,Cefotaxime_AB,18.0,5.0,0,97.0,106.0,26.0,0,468.0
8,EKP,Ceftazidime-avibactam_AB,53.0,12.0,0,55.0,284.0,92.0,0,224.0
9,EKP,Ceftazidime_AB,11.0,45.0,0,64.0,84.0,165.0,0,351.0
10,EKP,Ceftolozane-tazobactam_AB,53.0,9.0,0,58.0,284.0,27.0,0,289.0
11,EKP,Ceftriaxone_AB,39.0,4.0,0,77.0,229.0,14.0,0,357.0
12,EKP,Cefuroxime_AB,29.0,29.0,0,62.0,148.0,106.0,0,346.0
13,EKP,Ciprofloxacin_AB,0.0,12.0,0,108.0,0.0,59.0,0,541.0
14,EKP,Ertapenem_AB,8.0,32.0,0,80.0,27.0,167.0,0,406.0
15,EKP,Gentamicin_AB,0.0,70.0,0,50.0,0.0,295.0,0,305.0
16,EKP,Imipenem_AB,35.0,13.0,0,72.0,180.0,70.0,0,350.0
17,EKP,Levofloxacin_AB,33.0,26.0,0,61.0,206.0,127.0,0,267.0
18,EKP,Meropenem_AB,0.0,39.0,0,81.0,0.0,215.0,0,385.0
19,EKP,Piperacillin-tazobactam_AB,20.0,42.0,0,58.0,114.0,149.0,0,337.0
20,EKP,Tigecycline_AB,21.0,5.0,0,94.0,123.0,17.0,0,460.0
21,EKP,Tobramycin_AB,20.0,52.0,0,48.0,115.0,182.0,0,303.0
22,EKP,Trimethoprim_AB,110.0,4.0,0,6.0,533.0,23.0,0,44.0
