,Meropenem_AB,Ertapenem_AB,Tobramycin_AB,Tigecycline_AB,Piperacillin-tazobactam_AB,Cefotaxime_AB,Amoxicillin-clavulanic acid_AB,Ampicillin_AB,Gentamicin_AB,Amikacin_AB,Ceftriaxone_AB,Cefepime_AB,Trimethoprim_AB,Ciprofloxacin_AB,Ceftazidime_AB,Aztreonam_AB,Ceftolozane-tazobactam_AB,Cefuroxime_AB,Imipenem_AB,Ampicillin-sulbactam_AB,Ceftazidime-avibactam_AB,Cefazolin_AB,Levofloxacin_AB,Organism_Code
Amikacin_AB,0.0156014671103708,0.01923842158837355,0.06039533448740793,0.01363146669406393,0.03625901112263598,0.009247573625653337,0.012119503342314052,0.03885630347131301,0.05227244777994401,0.5466600249242853,0.016577087300994685,0.01858397653912946,0.006230068269929167,0.016284904814307576,0.0511091077687575,0.023082112708952475,0.00614483118263553,0.0076048378553907085,0.012129212742423227,0.008030889559910066,0.006436225294640855,0.010514347136698061,0.012990844679868638,0.0
Amoxicillin-clavulanic acid_AB,0.019632622275915328,0.03207611649904292,0.04814729066871343,0.016950919527765874,0.07484821049173321,0.08899840123387168,0.12227907283285527,0.012647783620345961,0.030668930868871125,0.017983885196506563,0.016794452697892554,0.0691527506371813,0.1287148993810956,0.07301409261171124,0.08717014441452689,0.053562695846272934,0.0,0.05779579615510835,0.02422723292346935,0.0,0.0,0.0026238304738072146,0.022710871643313202,0.0
Ampicillin-sulbactam_AB,0.007953541984378606,0.006886284424206071,0.009242539771886566,0.015894037968366706,0.12293650339053167,0.009687491224079359,0.0,0.007181987872638553,0.009900174784177027,0.010283629802454683,0.0022241564185186175,0.013007402102663384,0.0,0.006406354146892541,0.0743158732687517,0.030074503293807904,0.010974671914764186,0.0398363183107113,0.005359287111769654,0.5343026397516482,0.015210402604056154,0.06014623898233739,0.00817596087135999,0.0
Ampicillin_AB,0.0031709148976886174,0.01727629830843101,0.007829470410239797,0.0017587478216412945,0.17549427075883384,0.09806191828242067,0.0032367413974867484,0.15086281892539322,0.051970629317302564,0.007363967785131868,0.004710082394195255,0.018280039310310185,0.006382627753708081,0.008196802402037111,0.2039369529498716,0.01728675314177417,0.022397380891796083,0.047534357296204796,0.022461064720126864,0.058764506501230926,0.014479048142435561,0.04956894330669294,0.008975663285046814,0.0
Aztreonam_AB,0.003301991467107048,0.014439471905238973,0.06884314668429353,0.005443586621969046,0.013466515821077062,0.007042931958729115,0.007969099371321136,0.007343080696013147,0.0053234002366307,0.006071155110214436,0.008580018284796726,0.008755934306492573,0.020484613442770895,0.004777704950095312,0.2548721376034799,0.47494412231271,0.005515029606489526,0.027947088398393213,0.0074414346361366835,0.00780303704474679,0.006715847459307657,0.024104047783685176,0.00881460429830136,0.0
Cefazolin_AB,0.0019525694823421462,0.0039699112954081125,0.03547420552944997,0.009255835126479563,0.0057342385478545595,0.15503982345724732,1.1548062122468289e-05,0.003802496547152666,0.017709383703666835,0.007401955865127003,0.0027935897087763926,0.0017393372555990223,0.0,0.00367992206692487,0.08952651979295936,0.01278108900285852,0.006653918427302936,0.07379351835178079,0.009810363275782597,0.010330235207375544,0.002941160155052212,0.5439817112618719,0.001616667876865391,0.0
Cefepime_AB,0.008773655309809777,0.01707700243256555,0.013049785733042569,0.021331011821623665,0.01643514468830426,0.019711421338990655,0.06153855279223488,0.010635880384581815,0.012201069608744156,0.01516206926443884,0.00761645392379955,0.500735269559369,0.040079637790307605,0.014791093685765196,0.02057089161332651,0.04489402516390921,0.008681722336551187,0.0592903116401753,0.006297123253607626,0.053180514787737304,0.006681447515299158,0.03746184310061444,0.0038040722552018817,0.0
Cefotaxime_AB,0.004057689737406183,0.0031441218407905667,0.08510457006581378,0.009749939655468599,0.09209416511743687,0.01839166112241472,0.05586631692246368,0.0023176089842399166,0.0075511733624111,0.01337457428209393,0.01222528029848715,0.3899815723424231,0.02523805757570509,0.016952932981862467,0.007676297746937991,0.08522414373084308,0.013395165183823068,0.09887255362715001,0.0043538854662535514,0.002271541403660323,0.012092260907825874,0.03716436985109631,0.0029001177933925346,0.0
Ceftazidime-avibactam_AB,0.027395700457086267,0.04900252421239192,0.010885869790002932,0.019921536848468303,0.05181507372517777,0.009004643487350718,0.0,0.005465702910884569,0.07601623440440436,0.027093372542068568,0.008770656992218458,0.02321775439914273,0.0,0.01051181893511145,0.014424417860783242,0.010501661747011854,0.031026828376334095,0.027277942452923656,0.01905696762341027,0.01567933407233845,0.5395653921156818,0.00926451206560344,0.014102054981605291,0.0
Ceftazidime_AB,0.0044751106790814656,0.0046845122168083335,0.0518929849135869,0.006898715034564952,0.007586817876503278,0.007289296705035836,0.005575275826421686,0.009106024149694233,0.009751084532241206,0.006370846435668728,0.0047953486650829736,0.004417018116489975,0.008657825471200753,0.003287968768854937,0.5589742054310982,0.20017045473812867,0.005483993118133634,0.018768670764903562,0.0033279931720311233,0.01659028940928346,0.011407520799427907,0.04360512797929174,0.006882915196466491,0.0
Ceftolozane-tazobactam_AB,0.05855271993039085,0.10949128309667551,0.009681998344825993,0.041645484758480705,0.03090376935284593,0.011280276864769692,0.0,0.007429526033953454,0.010554534541111292,0.03414643903060789,0.04523605155518815,0.01962825946487807,0.0,0.014286543595103104,0.004474505276502611,0.007438582237894956,0.5102962613575704,0.014708742278707405,0.010081834808328305,0.013219346572727032,0.021166970665268618,0.012608642903948517,0.013168227330221504,0.0
Ceftriaxone_AB,0.001141120509790679,0.003853972677847327,0.013343082415993199,0.008777002906575048,0.2539815376137305,0.01712738418673026,0.01114459932656196,0.00412929937497958,0.0009174798655394134,0.0006219761119848534,0.006999188562302576,0.009578809574796097,0.03648363460909387,0.006942597593921835,0.3764017087289508,0.013363925923105528,0.021757317370908046,0.07384952885633508,0.00799550047483649,0.002014739131171125,0.0025511463051583884,0.10971373554368025,0.0173107123360072,0.0
Cefuroxime_AB,0.004023886668985937,0.00494157174919121,0.010201688837125715,0.004844610985891721,0.008376336271758628,0.03173403318766589,0.0223842284019254,0.003933207441045013,0.006308993544578016,0.0069846092872553325,0.0018301412296324831,0.009317400005764732,0.007910768674301624,0.004834959139288548,0.059854267526939176,0.11734606679990776,0.013455082476756943,0.48348616159374047,0.003801473127739735,0.010603366242882242,0.013862381972444333,0.16619749523611094,0.003767269599068335,0.0
Ciprofloxacin_AB,0.01734567341307696,0.03888086724242504,0.02665370553517289,0.013924414785181081,0.02763144944519611,0.013198367078375742,0.012445484886459482,0.04750925582242552,0.03768434951705043,0.04586728409942047,0.03632522416033858,0.015117267783336101,0.017962869605514912,0.15385923386518935,0.02340752264996662,0.020502424114912217,0.1819167100217115,0.010327931125835348,0.023097079064480247,0.0264040614329591,0.18628351721164899,0.016302638235577992,0.007352668903745278,0.0
Ertapenem_AB,0.024460173928622705,0.026917696394291556,0.004804609817888027,0.005323624369623984,0.011420068803728827,0.0176165464724442,0.03404106416009376,0.06059061709420811,0.013625537975122228,0.024067990675903813,0.02476412397281222,0.007132127542335687,0.001787044062432799,0.003981903556041121,0.008072183430670414,0.006192979884454169,0.1540432244043689,0.007745309218193476,0.32869071559456187,0.026389164126863318,0.1654663018372648,0.03209927159655802,0.010767721081515967,0.0
Gentamicin_AB,0.017764316402369095,0.03232697019788828,0.10946068425834102,0.011328304504213068,0.013289840272634523,0.014568026204016557,0.004388623540477407,0.018084496634565732,0.5863248553806748,0.021789342472375767,0.005338126496983367,0.0062191845377956275,0.005975773354587774,0.018416672668949474,0.02334824880927538,0.009535597804199717,0.004907749778674721,0.005048991286868464,0.012619537372232705,0.006216854481787855,0.016413627378588758,0.049136370792266876,0.007497805370232949,0.0
Imipenem_AB,0.05104991873999274,0.02855626658945055,0.0337591897167637,0.024370646130980927,0.038875421696874246,0.011356627583584994,0.0015618421315148055,0.0990643688767335,0.010977879119652992,0.03682665573265275,0.009718051032684121,0.0513267046878908,0.0015412331234567608,0.010162802785179864,0.010790953216885935,0.013733164570028144,0.07166497250203496,0.011761433710031022,0.24753924569569638,0.010309989600454816,0.1813706052488404,0.019335151744923507,0.024346875763692058,0.0
Levofloxacin_AB,0.01976801032866212,0.026167312496039694,0.010304715985393738,0.018792422520933036,0.02185693470967169,0.01257455227601719,0.003468203968413136,0.009800457446717346,0.024321692146736587,0.053224763171342095,0.011955461008991822,0.02437769824313875,0.0,0.012273865517571134,0.012808527196288767,0.01441923761333464,0.017310221762351224,0.04055133870632817,0.014728403835999822,0.039501402687076276,0.01670598648089987,0.031723496138898896,0.5633652957591941,0.0
Meropenem_AB,0.15998239389500973,0.03665322628306954,0.011807709748500478,0.012176355040131214,0.010745601246298545,0.010606894919978817,0.03177546084528549,0.08970539697390056,0.008837154599432406,0.024736088448174223,0.005291964012589218,0.010683564708982414,0.0013815435560901603,0.005317242921020573,0.007547908629822861,0.004184786911379187,0.1584790587042493,0.004622651713051297,0.2068867926369272,0.015198009836422909,0.15877750521034376,0.009105256500612478,0.015497432658727547,0.0
Piperacillin-tazobactam_AB,0.004764670338807258,0.015082612134267547,0.1087381683767002,0.008378058139614616,0.5758531571900323,0.013098782314691623,0.013556626161694172,0.01016585232208584,0.014152828165323605,0.02974427959511098,0.00476233180592924,0.007620421263859957,0.008113935379270245,0.037388637566300134,0.02681131302926123,0.04908830549665782,0.014543612103783691,0.011757716758611425,0.006368844391557279,0.018798582803902557,0.007765469623443789,0.005042563113055822,0.008403231926038762,0.0
Tigecycline_AB,0.043942847994753995,0.023172599318236706,0.005645862233801906,0.30995757234733395,0.011475666730151757,0.0023822882649068384,0.24673183794018616,0.0018130112190602478,0.041624037209585296,0.009523715021834536,0.003561174892187974,0.019144845386624147,0.030114006521392202,0.009168483198190512,0.0072190595006959134,0.0029986528735286995,0.004206799558902368,0.007726206065324686,0.03229663425280581,0.06555824884963604,0.004257622699002266,0.061709291979157685,0.055769535942700274,0.0
Tobramycin_AB,0.006623333650864357,0.015068763147727584,0.5585218786754151,0.01046932884205295,0.030824906367499384,0.010200599660194296,0.010699628422514259,0.0023705220829367234,0.08147630175607634,0.009403993483730586,0.0015458369043058107,0.003011406228627004,0.0110823348273359,0.012394598143293866,0.06493561300545302,0.1260438568559032,0.0062151911807109255,0.008234256748894598,0.004616266498420429,0.005429854784930154,0.005012446554903127,0.01109656096164717,0.004722521216563165,0.0
