Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Meropenem_AB,0.9583333333333334,0.9966777408637872,0.9963749148395283,0.949764982373678,0.9623980670492298,0.9553538209688222,3.3333333333333335,0.8333333333333334,43.0,0.0,77.0,217.0,0.0,383.0
Ertapenem_AB,0.9652173913043478,0.9992609016999261,0.9989863740444289,0.9459459459459459,0.975609756097561,0.9589285714285714,3.4782608695652173,0.0,33.0,0.0,82.0,169.0,0.0,404.0
Tobramycin_AB,0.98989898989899,0.9995794785534062,0.9995635265695565,0.9880952380952381,0.9913793103448276,0.9896280775275013,1.0101010101010102,0.0,41.0,0.0,58.0,191.0,0.0,306.0
Tigecycline_AB,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,96.0,12.0,0.0,476.0
Piperacillin-tazobactam_AB,0.96,0.9995477159656264,0.9994446218107325,0.9459459459459459,0.9701492537313433,0.956043956043956,4.0,0.0,33.0,0.0,67.0,157.0,0.0,341.0
Cefotaxime_AB,0.99,1.0,1.0,0.9,0.9947916666666667,0.941826643397324,1.0,0.0,4.0,0.0,96.0,26.0,0.0,479.0
Amoxicillin-clavulanic acid_AB,0.918918918918919,0.9731182795698925,0.9501861613733227,0.8404761904761905,0.8844086021505376,0.8600252206809584,5.405405405405405,2.7027027027027026,6.0,0.0,31.0,30.0,0.0,147.0
Ampicillin_AB,0.9732142857142857,1.0,1.0,0.9863636363636363,0.7,0.7788018433179723,0.0,2.6785714285714284,5.0,0.0,107.0,19.0,0.0,538.0
Gentamicin_AB,0.9916666666666667,1.0,0.9999999999999998,0.9921875,0.9912280701754386,0.9916382133649223,0.8333333333333334,0.0,63.0,0.0,57.0,306.0,0.0,294.0
Amikacin_AB,0.9583333333333334,0.9968944099378881,0.9950365483962078,0.9372868510799546,0.9479813664596273,0.9424791486914006,1.6666666666666667,2.5,92.0,0.0,28.0,443.0,0.0,157.0
Ceftriaxone_AB,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,73.0,13.0,0.0,366.0
Cefepime_AB,0.98989898989899,0.9992063492063492,0.9978466386554621,0.96875,0.9940476190476191,0.9808769557658876,1.0101010101010102,0.0,15.0,0.0,84.0,78.0,0.0,419.0
Trimethoprim_AB,0.8461538461538461,1.0,1.0,0.9,0.8,0.8194444444444444,0.0,15.384615384615385,5.0,0.0,8.0,18.0,0.0,42.0
Ciprofloxacin_AB,0.95,0.9765625,0.9077346747131297,0.7991071428571428,0.7991071428571428,0.7991071428571428,2.5,2.5,8.0,0.0,112.0,58.0,0.0,542.0
Ceftazidime_AB,0.9714285714285714,0.9964228934817171,0.9961248194163819,0.9716183574879227,0.9656200317965025,0.9685031496850315,0.9523809523809524,1.9047619047619049,37.0,0.0,68.0,168.0,0.0,358.0
Aztreonam_AB,0.967391304347826,0.9979949874686718,0.9978069778983442,0.968052738336714,0.96265664160401,0.9652173913043478,1.0869565217391304,2.1739130434782608,35.0,0.0,57.0,163.0,0.0,310.0
Ceftolozane-tazobactam_AB,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,11.0,0.0,52.0,29.0,0.0,298.0
Cefuroxime_AB,0.978021978021978,0.997887323943662,0.9964415310670585,0.9679577464788732,0.9679577464788732,0.9679577464788732,1.098901098901099,1.098901098901099,20.0,0.0,71.0,111.0,0.0,355.0
Imipenem_AB,0.9879518072289156,0.9982905982905983,0.9969873289104058,0.9924242424242424,0.9722222222222222,0.9818974918211559,0.0,1.2048192771084338,18.0,0.0,65.0,64.0,0.0,354.0
Ampicillin-sulbactam_AB,0.9726027397260274,0.9965986394557823,0.9961863112591975,0.9803921568627452,0.9583333333333333,0.9682608695652174,0.0,2.73972602739726,24.0,0.0,49.0,97.0,0.0,260.0
Ceftazidime-avibactam_AB,0.9841269841269841,0.9986111111111111,0.997704081632653,0.9897959183673469,0.9666666666666667,0.9776039815143975,0.0,1.5873015873015872,15.0,0.0,48.0,85.0,0.0,242.0
Cefazolin_AB,0.9873417721518988,0.9955555555555555,0.9950732007794518,0.990909090909091,0.98,0.9852087624040442,0.0,1.2658227848101267,25.0,0.0,54.0,124.0,0.0,273.0
Levofloxacin_AB,0.9879518072289156,0.9987745098039216,0.9986682745970388,0.9848484848484849,0.9901960784313726,0.9873571972581874,1.2048192771084338,0.0,32.0,0.0,51.0,129.0,0.0,271.0
Median,0.978021978021978,0.9987745098039216,0.9978466386554621,0.9716183574879227,0.9701492537313433,0.9682608695652174,1.0,1.098901098901099,,,,,,
