,Tobramycin_AB,Cefuroxime_AB,Cefotaxime_AB,Cefepime_AB,Gentamicin_AB,Piperacillin-tazobactam_AB,Tigecycline_AB,Trimethoprim_AB,Aztreonam_AB,Ceftazidime_AB,Ciprofloxacin_AB,Ceftazidime-avibactam_AB,Imipenem_AB,Meropenem_AB,Ceftolozane-tazobactam_AB,Amoxicillin-clavulanic acid_AB,Ertapenem_AB,Ceftriaxone_AB,Levofloxacin_AB,Ampicillin_AB,Amikacin_AB,Ampicillin-sulbactam_AB,Cefazolin_AB,Organism_Code
Amikacin_AB,0.08894586312880737,0.005440675529489911,0.00920651174065932,0.008586162687753484,0.04914026220678667,0.014838890174875996,0.010205907370536522,0.007906697257362353,0.03666313287305802,0.035194935476855156,0.011793909022241367,0.0036216952220392597,0.009332116155475804,0.013614011717797133,0.0031060332702899556,0.010294669311756106,0.01672942746565812,0.014113311574747038,0.007845306274834376,0.03221387345865233,0.5995947837699758,0.004012984265583599,0.007598840044764632,0.0
Amoxicillin-clavulanic acid_AB,0.039675464065236934,0.028251919990436573,0.033931340242604975,0.01947152076593836,0.02796343836727507,0.16572933562842734,0.02425844548744831,0.05454432445085239,0.14699829984968063,0.1942499181447852,0.023599197720549976,0.0,0.0005663277770305835,0.009699285039817034,0.0,0.13529495557417026,0.02336839898963905,0.003098858493596657,0.00947159032901233,0.02876581487303197,0.023330380911458372,0.0,0.0077311832990081646,0.0
Ampicillin-sulbactam_AB,0.008613778753203655,0.04632548745230831,0.011173709227993128,0.02703510306260923,0.014525675290097427,0.14520229321041084,0.009891617758326393,0.0,0.018872598060894412,0.037472431541040935,0.011492179464395808,0.005143652719763051,0.004425949593305223,0.004947539860043272,0.0034420450441052276,0.0,0.004485494151999085,0.002788140481400502,0.012612179926380761,0.0023339704953371605,0.016603438470755225,0.5009700243297343,0.11164269110589611,0.0
Ampicillin_AB,0.022110921244487595,0.1422606307567753,0.06650977242683831,0.009573214285847002,0.0077854206910486405,0.11496701669675333,0.0008137413774248665,0.012333864098429244,0.025620109206260587,0.17230738986011415,0.003380773224484577,0.005544965716994919,0.10185059254581999,0.010838868456829298,0.006202017913548918,0.0037606676825600194,0.03273701603237266,0.04064160378932924,0.014064563634725767,0.12220574264825365,0.011652371191238426,0.0216362432679132,0.05120249325195032,0.0
Aztreonam_AB,0.04618434435052271,0.033014509538329025,0.012737666732459647,0.02436899860903151,0.006610867678663412,0.0095995792961061,0.008255200876170304,0.016619792619303464,0.34878767541406963,0.33642133570617316,0.007776413662580551,0.002448678639341604,0.013219847991913732,0.006537726914158807,0.003691900863773804,0.012186898578797975,0.013238282704724855,0.009075626266413239,0.004739510861485053,0.004585601662522745,0.010783310006984528,0.01733743018478785,0.051778800841686415,0.0
Cefazolin_AB,0.028559468676422797,0.08674069057764926,0.028616403922434707,0.0027267822710297764,0.016626851507293913,0.005522347549006868,0.006596116459817685,0.0,0.03210325018539363,0.18613449734724963,0.008016523785172276,0.0023719491845041875,0.006590351340776908,0.0020915775745966375,0.003095147371149092,0.00025825148171790865,0.0024377575903167556,0.00636316990059998,0.003014842560205091,0.001779725366431365,0.011999926630899278,0.021515967687689215,0.5368384010296432,0.0
Cefepime_AB,0.013815761143926755,0.03959997761865439,0.019741457835797872,0.48170103955126153,0.008788608555176065,0.007923335705914112,0.03281637988927275,0.035152226514700305,0.03271183328323735,0.022050515535759343,0.01681643310836972,0.011209936437574695,0.027984450907367925,0.010699297561655635,0.02035227046495245,0.12181586798175931,0.018584414362908835,0.004980947642902295,0.0062672021185309415,0.011501134381122512,0.01704255061719245,0.027369531110024048,0.011074827671938584,0.0
Cefotaxime_AB,0.09048345178985709,0.06126113088163215,0.06406691640272547,0.34129235212789877,0.007513387129617846,0.07023092060140645,0.017054858691957345,0.014009516176389115,0.054003290704048745,0.013308425480691862,0.024386261185920893,0.032190725705680545,0.014473957791841496,0.011394225373821369,0.029479076492201682,0.050785995155562466,0.011013946622960197,0.033428930462142556,0.002339136528277318,0.012023844983222537,0.024173486160940547,0.005764642740262661,0.015321520810941132,0.0
Ceftazidime-avibactam_AB,0.006984437220277858,0.02424019137481152,0.0075530147955134045,0.011876675767708879,0.04613910632586376,0.07254983509880784,0.010256809336943892,0.0,0.011136082167575535,0.007918048908207366,0.00820327835201642,0.5687605146312527,0.056203929945584756,0.018269652802793673,0.0316481668297952,0.0,0.022725564639135554,0.021509599113002223,0.01809950936094936,0.02169043100886448,0.01749153104859663,0.011363071271037096,0.0053805500012618895,0.0
Ceftazidime_AB,0.02694270154853735,0.021926494449267576,0.01289448395687765,0.01827043139511241,0.017278142636548942,0.009670565320966489,0.010750073382415716,0.011067564450841155,0.1682543415536922,0.4976875135278044,0.00798026157238308,0.007351792026171871,0.005983308140174332,0.006494791535834521,0.005598774312304345,0.020508979695224673,0.012460289500436383,0.006124811281792571,0.006674556794494902,0.006162834575097755,0.020542584032436844,0.02344231239362847,0.07593239191795652,0.0
