,Organism_Code,Antibiotic,Test_Count_NA,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_NA,Train_Count_S,Train_Count_I,Train_Count_R
0,EKP,Amikacin_AB,0.0,79.0,0,41.0,0.0,440.0,0,160.0
1,EKP,Amoxicillin-clavulanic acid_AB,103.0,2.0,0,15.0,514.0,17.0,0,69.0
2,EKP,Ampicillin-sulbactam_AB,22.0,12.0,0,86.0,120.0,59.0,0,421.0
3,EKP,Ampicillin_AB,3.0,3.0,0,114.0,24.0,10.0,0,566.0
4,EKP,Aztreonam_AB,11.0,22.0,0,87.0,69.0,114.0,0,417.0
5,EKP,Cefazolin_AB,19.0,12.0,0,89.0,104.0,68.0,0,428.0
6,EKP,Cefepime_AB,9.0,30.0,0,81.0,69.0,132.0,0,399.0
7,EKP,Cefotaxime_AB,67.0,2.0,0,51.0,346.0,12.0,0,242.0
8,EKP,Ceftazidime-avibactam_AB,85.0,11.0,0,24.0,435.0,43.0,0,122.0
9,EKP,Ceftazidime_AB,6.0,21.0,0,93.0,40.0,104.0,0,456.0
10,EKP,Ceftolozane-tazobactam_AB,85.0,4.0,0,31.0,435.0,10.0,0,155.0
11,EKP,Ceftriaxone_AB,21.0,4.0,0,95.0,113.0,23.0,0,464.0
12,EKP,Cefuroxime_AB,13.0,10.0,0,97.0,85.0,69.0,0,446.0
13,EKP,Ciprofloxacin_AB,0.0,11.0,0,109.0,0.0,55.0,0,545.0
14,EKP,Ertapenem_AB,62.0,17.0,0,41.0,308.0,87.0,0,205.0
15,EKP,Gentamicin_AB,0.0,53.0,0,67.0,0.0,285.0,0,315.0
16,EKP,Imipenem_AB,17.0,47.0,0,56.0,85.0,249.0,0,266.0
17,EKP,Levofloxacin_AB,17.0,25.0,0,78.0,100.0,119.0,0,381.0
18,EKP,Meropenem_AB,0.0,79.0,0,41.0,0.0,407.0,0,193.0
19,EKP,Piperacillin-tazobactam_AB,7.0,31.0,0,82.0,53.0,133.0,0,414.0
20,EKP,Tigecycline_AB,69.0,2.0,0,49.0,354.0,9.0,0,237.0
21,EKP,Tobramycin_AB,7.0,40.0,0,73.0,53.0,199.0,0,348.0
22,EKP,Trimethoprim-sulfamethoxazole_AB,3.0,12.0,0,105.0,35.0,59.0,0,506.0
23,EKP,Trimethoprim_AB,117.0,0.0,0,3.0,569.0,11.0,0,20.0
