Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.88,0.8913016807753649,0.8438679879529967,0.8508234162759947,0.8580542264752791,0.8542982030111705,6.5,5.5,57.0,0.0,143.0,57.0,0.0,143.0
Cefuroxime_AB,0.9516129032258065,0.9225974025974026,0.8629521214155598,0.7769933554817275,0.8464935064935065,0.8070317002881844,3.225806451612903,1.6129032258064515,11.0,0.0,175.0,11.0,0.0,175.0
Cefotaxime_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cefepime_AB,0.6701570680628273,0.6289021164021165,0.5737229492093485,0.4665082108902334,0.48974867724867727,0.4428392832337825,5.2356020942408374,27.748691099476442,56.0,0.0,135.0,56.0,0.0,135.0
Gentamicin_AB,0.85,0.9286956521739129,0.9069075332108343,0.8480632569312381,0.8557544757033249,0.8487750781328763,10.5,4.5,85.0,0.0,115.0,85.0,0.0,115.0
Piperacillin-tazobactam_AB,0.82,0.7792038690476191,0.7280543459994442,0.6651785714285714,0.6651785714285714,0.6651785714285714,9.0,9.0,32.0,0.0,168.0,32.0,0.0,168.0
Tigecycline_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trimethoprim_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aztreonam_AB,0.9242424242424242,0.8399000294031167,0.7351713309674561,0.7877747252747253,0.7463981182005293,0.7649386624455876,3.0303030303030303,4.545454545454546,19.0,0.0,179.0,19.0,0.0,179.0
Ceftazidime_AB,0.945,0.9157801418439716,0.8190102420107024,0.7565091610414658,0.8537234042553192,0.7955200297425411,4.0,1.5,12.0,0.0,188.0,12.0,0.0,188.0
Ciprofloxacin_AB,0.93,0.31336405529953915,0.467259446951174,0.465,0.5,0.48186528497409326,0.0,7.000000000000001,14.0,0.0,186.0,14.0,0.0,186.0
Ceftazidime-avibactam_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imipenem_AB,0.365,0.5663108821003557,0.5630914248544132,0.654891304347826,0.5559440559440559,0.33714345363918685,0.0,63.5,143.0,0.0,57.0,143.0,0.0,57.0
Meropenem_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceftolozane-tazobactam_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trimethoprim-sulfamethoxazole_AB,0.86,0.6147217607973422,0.6157255953897657,0.43,0.5,0.46236559139784944,0.0,14.000000000000002,28.0,0.0,172.0,28.0,0.0,172.0
Amoxicillin-clavulanic acid_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ertapenem_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceftriaxone_AB,0.93,0.24577572964669742,0.45858036335143765,0.465,0.5,0.48186528497409326,0.0,7.000000000000001,14.0,0.0,186.0,14.0,0.0,186.0
Levofloxacin_AB,0.84,0.8938816116730227,0.8249171018370757,0.7467287002035475,0.6406897695241254,0.6677740863787375,3.5000000000000004,12.5,37.0,0.0,163.0,37.0,0.0,163.0
Ampicillin_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amikacin_AB,0.925,0.9583333333333333,0.9566941606611922,0.9031347962382446,0.9077879249112126,0.90541946467417,3.5000000000000004,4.0,146.0,0.0,54.0,146.0,0.0,54.0
Ampicillin-sulbactam_AB,0.965,0.887854609929078,0.8306393359628501,0.8757998836532868,0.7863475177304965,0.8240985048372911,1.0,2.5,12.0,0.0,188.0,12.0,0.0,188.0
Cefazolin_AB,0.96,0.986328125,0.870016530635549,0.7473118279569892,0.9192708333333333,0.8075998075998077,3.5000000000000004,0.5,8.0,0.0,192.0,8.0,0.0,192.0
Median,0.83,0.887854609929078,0.8664843260255544,0.46575410544511675,0.5,0.47211543818597135,0.0,2.056451612903226,,,,,,
