Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.9532163742690059,0.963802155291517,0.9665538163261354,0.9579577464788733,0.9492263056092843,0.9523544162719421,0.5847953216374269,4.093567251461988,77.0,0.0,94.0,77.0,0.0,94.0
Cefuroxime_AB,0.9263803680981595,0.9486725663716814,0.9443182293240007,0.917481884057971,0.9078761061946903,0.9124597207303974,3.067484662576687,4.294478527607362,50.0,0.0,113.0,50.0,0.0,113.0
Cefotaxime_AB,0.9485714285714286,0.857095046854083,0.5813910690101125,0.4742857142857143,0.5,0.4868035190615836,0.0,5.142857142857142,9.0,0.0,166.0,9.0,0.0,166.0
Cefepime_AB,0.8421052631578947,0.8720252549781448,0.8234777213553568,0.9201183431952662,0.5344827586206896,0.5211077689036407,0.0,15.789473684210526,29.0,0.0,142.0,29.0,0.0,142.0
Gentamicin_AB,0.935,0.9733293075684379,0.9707260391538451,0.937188485403316,0.9325684380032206,0.9342753861321065,4.5,2.0,108.0,0.0,92.0,108.0,0.0,92.0
Piperacillin-tazobactam_AB,0.8830409356725146,0.8982724157624213,0.8539608919872779,0.8762626262626263,0.8829240434037693,0.879066478076379,7.017543859649122,4.678362573099415,68.0,0.0,103.0,68.0,0.0,103.0
Tigecycline_AB,0.9761904761904762,0.7553353658536586,0.641244047819783,0.4880952380952381,0.5,0.4939759036144578,0.0,2.380952380952381,4.0,0.0,164.0,4.0,0.0,164.0
Trimethoprim_AB,0.5,0.5625,0.5553930189500043,0.5909090909090909,0.71875,0.4581939799331104,50.0,0.0,2.0,0.0,16.0,2.0,0.0,16.0
Aztreonam_AB,0.9141104294478528,0.9537465309898243,0.9564948673545752,0.9214882674381228,0.9043324082639531,0.9104395604395605,1.8404907975460123,6.748466257668712,69.0,0.0,94.0,69.0,0.0,94.0
Ceftazidime_AB,0.9171270718232044,0.944809295276585,0.9366742271512936,0.9168373879641485,0.911151806011619,0.9137136500873987,3.314917127071823,4.972375690607735,74.0,0.0,107.0,74.0,0.0,107.0
Ciprofloxacin_AB,0.91,0.6875763125763126,0.5797559391578132,0.455,0.5,0.47643979057591623,0.0,9.0,18.0,0.0,182.0,18.0,0.0,182.0
Ceftazidime-avibactam_AB,0.8688524590163934,0.9241310160427807,0.9180746623351281,0.8456521739130435,0.8188502673796791,0.8305555555555555,4.918032786885246,8.19672131147541,34.0,0.0,88.0,34.0,0.0,88.0
Imipenem_AB,0.8689655172413793,0.7788018433179724,0.7309034300602132,0.7444444444444445,0.6267281105990783,0.6568688504172375,2.7586206896551726,10.344827586206897,21.0,0.0,124.0,21.0,0.0,124.0
Meropenem_AB,0.68,0.849567949725059,0.8221779222870961,0.7384615384615385,0.5260913477724161,0.4579945799457995,0.5,31.5,67.0,0.0,133.0,67.0,0.0,133.0
Ceftolozane-tazobactam_AB,0.9180327868852459,0.7621212121212122,0.7766767430943518,0.7817982456140351,0.6946969696969697,0.7276785714285714,2.459016393442623,5.737704918032787,12.0,0.0,110.0,12.0,0.0,110.0
Trimethoprim-sulfamethoxazole_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amoxicillin-clavulanic acid_AB,0.8775510204081632,0.6434108527131783,0.5590976447047789,0.4387755102040816,0.5,0.4673913043478261,0.0,12.244897959183673,6.0,0.0,43.0,6.0,0.0,43.0
Ertapenem_AB,0.7208121827411168,0.8197823303457106,0.7567196296276866,0.3604060913705584,0.5,0.41887905604719766,0.0,27.918781725888326,55.0,0.0,142.0,55.0,0.0,142.0
Ceftriaxone_AB,0.9852941176470589,0.9776119402985075,0.6998353819139596,0.49264705882352944,0.5,0.4962962962962963,0.0,1.4705882352941175,2.0,0.0,134.0,2.0,0.0,134.0
Levofloxacin_AB,0.8732394366197183,0.9076994434137291,0.9043249170219487,0.8633603238866396,0.8330241187384044,0.8456894469934799,4.225352112676056,8.450704225352112,44.0,0.0,98.0,44.0,0.0,98.0
Ampicillin_AB,0.9735449735449735,0.9411764705882353,0.5859836030143845,0.4946236559139785,0.4919786096256685,0.4932975871313673,1.5873015873015872,1.0582010582010581,2.0,0.0,187.0,2.0,0.0,187.0
Amikacin_AB,0.925,0.946329033285555,0.8813153750937781,0.8892276422764227,0.8659818442427138,0.8769230769230769,4.5,3.0,161.0,0.0,39.0,161.0,0.0,39.0
Ampicillin-sulbactam_AB,0.9224806201550387,0.9674603174603174,0.970466067187229,0.9236419068736141,0.9043650793650794,0.9127906976744187,2.3255813953488373,5.426356589147287,45.0,0.0,84.0,45.0,0.0,84.0
Cefazolin_AB,0.958041958041958,0.965043695380774,0.9643845928271151,0.9587912087912088,0.9517270079067832,0.9550314465408805,1.3986013986013985,2.797202797202797,54.0,0.0,89.0,54.0,0.0,89.0
Median,0.9156187506355287,0.9076994434137291,0.8387193066713173,0.8137252097635392,0.7067234848484849,0.6922737109229045,1.7138961924237996,5.057616416732438,,,,,,
