,Organism_Code,Antibiotic,Test_Count_NA,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_NA,Train_Count_S,Train_Count_I,Train_Count_R
0,EKP,Amikacin_AB,0.0,95.0,0,25.0,0.0,438.0,0,162.0
1,EKP,Ampicillin-sulbactam_AB,0.0,8.0,0,112.0,0.0,38.0,0,562.0
2,EKP,Aztreonam_AB,2.0,20.0,0,98.0,10.0,87.0,0,503.0
3,EKP,Cefazolin_AB,0.0,7.0,0,113.0,0.0,33.0,0,567.0
4,EKP,Cefepime_AB,8.0,46.0,0,66.0,36.0,199.0,0,365.0
5,EKP,Ceftazidime_AB,0.0,14.0,0,106.0,0.0,57.0,0,543.0
6,EKP,Ceftriaxone_AB,0.0,15.0,0,105.0,0.0,64.0,0,536.0
7,EKP,Cefuroxime_AB,4.0,8.0,0,108.0,26.0,40.0,0,534.0
8,EKP,Ciprofloxacin_AB,0.0,13.0,0,107.0,0.0,66.0,0,534.0
9,EKP,Gentamicin_AB,0.0,51.0,0,69.0,0.0,257.0,0,343.0
10,EKP,Imipenem_AB,0.0,92.0,0,28.0,0.0,444.0,0,156.0
11,EKP,Levofloxacin_AB,0.0,32.0,0,88.0,0.0,130.0,0,470.0
12,EKP,Piperacillin-tazobactam_AB,0.0,24.0,0,96.0,0.0,106.0,0,494.0
13,EKP,Tobramycin_AB,0.0,47.0,0,73.0,0.0,202.0,0,398.0
14,EKP,Trimethoprim-sulfamethoxazole_AB,0.0,23.0,0,97.0,0.0,115.0,0,485.0
