Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.9,0.9764165875276987,0.9712464387403144,0.8829885767212102,0.8926875593542261,0.8875,5.833333333333333,4.166666666666666,39.0,0.0,81.0,193.0,0.0,407.0
Cefuroxime_AB,0.954954954954955,0.969811320754717,0.7321175676003266,0.75,0.9764150943396226,0.821256038647343,4.504504504504505,0.0,5.0,0.0,106.0,38.0,0.0,537.0
Ciprofloxacin_AB,0.925,0.9567901234567902,0.8197431715094892,0.789000718907261,0.8101851851851851,0.7990697674418605,4.166666666666666,3.3333333333333335,12.0,0.0,108.0,61.0,0.0,539.0
Cefazolin_AB,0.9666666666666667,0.9795258620689655,0.7996334191021002,0.7456140350877193,0.8620689655172413,0.7913043478260869,2.5,0.8333333333333334,4.0,0.0,116.0,29.0,0.0,571.0
Ceftazidime_AB,0.95,0.9747155499367889,0.8400792252994134,0.7724399494310998,0.7724399494310998,0.7724399494310998,2.5,2.5,7.0,0.0,113.0,50.0,0.0,550.0
Ampicillin-sulbactam_AB,0.9333333333333333,0.9634502923976609,0.7120893577008851,0.6491228070175439,0.6491228070175439,0.6491228070175439,3.3333333333333335,3.3333333333333335,6.0,0.0,114.0,33.0,0.0,567.0
Ceftriaxone_AB,0.9666666666666667,0.9881818181818182,0.9281704983985494,0.8571428571428572,0.9818181818181818,0.9074074074074074,3.3333333333333335,0.0,10.0,0.0,110.0,53.0,0.0,547.0
Levofloxacin_AB,0.95,0.9779050736497544,0.9500895335298767,0.90625,0.9680851063829787,0.9317923455854491,5.0,0.0,26.0,0.0,94.0,127.0,0.0,473.0
Aztreonam_AB,0.9152542372881356,0.946771978021978,0.855457613939044,0.8175925925925926,0.7355769230769231,0.7680817610062893,2.5423728813559325,5.932203389830509,14.0,0.0,104.0,81.0,0.0,509.0
Piperacillin-tazobactam_AB,0.9166666666666666,0.9214734437464306,0.7888656740671057,0.838095238095238,0.8041119360365505,0.8197115384615384,3.3333333333333335,5.0,17.0,0.0,103.0,95.0,0.0,505.0
Gentamicin_AB,0.9,0.9576271186440677,0.9596086471403218,0.899972214504029,0.899972214504029,0.899972214504029,5.0,5.0,59.0,0.0,61.0,289.0,0.0,311.0
Imipenem_AB,0.9583333333333334,0.9947593167701864,0.990964793318321,0.9468339307048985,0.9355590062111802,0.941031941031941,2.5,1.6666666666666667,92.0,0.0,28.0,448.0,0.0,152.0
Amikacin_AB,0.9333333333333333,0.9779831932773109,0.9765652301032324,0.914360143275806,0.9277310924369748,0.9206349206349206,2.5,4.166666666666666,85.0,0.0,35.0,435.0,0.0,165.0
Cefepime_AB,0.7627118644067796,0.8567330917874396,0.8293103683019394,0.753525641025641,0.7388285024154589,0.7438759689922481,9.322033898305085,14.40677966101695,46.0,0.0,72.0,202.0,0.0,361.0
Trimethoprim-sulfamethoxazole_AB,0.9083333333333333,0.9314677327241576,0.8192059153134368,0.8020833333333333,0.8974871501998858,0.8382154675818114,7.5,1.6666666666666667,17.0,0.0,103.0,117.0,0.0,483.0
Median,0.9333333333333333,0.969811320754717,0.8400792252994134,0.8175925925925926,0.8926875593542261,0.821256038647343,3.3333333333333335,3.3333333333333335,,,,,,
