Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.915,0.9490209709187811,0.9291337576926373,0.905952380952381,0.8950874753794462,0.9002083883654721,3.5000000000000004,5.0,63.0,0.0,137.0,63.0,0.0,137.0
Cefuroxime_AB,0.9627659574468085,0.9711917916337806,0.7006831366797388,0.75,0.9806629834254144,0.8234741784037558,3.723404255319149,0.0,7.0,0.0,181.0,7.0,0.0,181.0
Cefepime_AB,0.7421052631578947,0.8037713219616205,0.7480641209173755,0.6951006124234471,0.7080223880597014,0.7002479152580572,14.736842105263156,11.052631578947368,56.0,0.0,134.0,56.0,0.0,134.0
Gentamicin_AB,0.85,0.9390554875560995,0.9297633204129276,0.8516183270281631,0.8412892696858425,0.8449772633319553,5.5,9.5,86.0,0.0,114.0,86.0,0.0,114.0
Piperacillin-tazobactam_AB,0.855,0.868368700265252,0.7198399421194932,0.6667996807661613,0.6385941644562334,0.6504128744500031,6.0,8.5,26.0,0.0,174.0,26.0,0.0,174.0
Aztreonam_AB,0.9035532994923858,0.8633603238866396,0.754607025946946,0.8140522875816993,0.7161493477282951,0.7520042403763334,2.5380710659898478,7.1065989847715745,26.0,0.0,171.0,26.0,0.0,171.0
Ceftazidime_AB,0.92,0.9384442301510767,0.7827548199482763,0.7423423423423423,0.7161684345869495,0.7282608695652174,3.5000000000000004,4.5,17.0,0.0,183.0,17.0,0.0,183.0
Ciprofloxacin_AB,0.955,0.9840069787728991,0.9243051064502705,0.8899456521739131,0.8338179703402152,0.8590998043052838,1.5,3.0,19.0,0.0,181.0,19.0,0.0,181.0
Imipenem_AB,0.94,0.9786666666666666,0.9572380022384621,0.9122272957889397,0.9333333333333333,0.922037422037422,2.0,4.0,150.0,0.0,50.0,150.0,0.0,50.0
Trimethoprim-sulfamethoxazole_AB,0.895,0.9184690903512809,0.8647828425191428,0.840625,0.8344071176560822,0.837455009868803,5.0,5.5,41.0,0.0,159.0,41.0,0.0,159.0
Ceftriaxone_AB,0.955,0.9364459070341423,0.7820761867626955,0.8106758832565284,0.832784862196627,0.8212689901697945,2.5,2.0,13.0,0.0,187.0,13.0,0.0,187.0
Levofloxacin_AB,0.935,0.959765625,0.9166246648583724,0.8811325854845249,0.940625,0.9060659705914231,5.5,1.0,40.0,0.0,160.0,40.0,0.0,160.0
Amikacin_AB,0.93,0.9428323412698413,0.9397143399226285,0.9131944444444444,0.9131944444444444,0.9131944444444444,3.5000000000000004,3.5000000000000004,144.0,0.0,56.0,144.0,0.0,56.0
Ampicillin-sulbactam_AB,0.945,0.947934845840605,0.7156859985181467,0.671875,0.6535776614310645,0.6621102749193672,2.5,3.0,9.0,0.0,191.0,9.0,0.0,191.0
Cefazolin_AB,0.96,0.9746563573883161,0.7273807713050932,0.6796875,0.7371134020618557,0.7039230199851961,2.5,1.5,6.0,0.0,194.0,6.0,0.0,194.0
Median,0.93,0.9428323412698413,0.7827548199482763,0.8140522875816993,0.8338179703402152,0.8234741784037558,3.5000000000000004,4.0,,,,,,
