Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.901840490797546,0.922063492063492,0.9132714223613367,0.9010756192959584,0.8906349206349207,0.8952105432336869,3.6809815950920246,6.134969325153374,63.0,0.0,100.0,63.0,0.0,100.0
Cefuroxime_AB,0.8116883116883117,0.9487373192315993,0.8895008564842231,0.8396739130434783,0.6618821497949493,0.6878451107849304,1.2987012987012987,17.532467532467532,41.0,0.0,113.0,41.0,0.0,113.0
Cefepime_AB,0.7055214723926381,0.5587179487179488,0.5165090612626375,0.4812861869313482,0.4535897435897436,0.450870297585626,22.699386503067483,6.748466257668712,13.0,0.0,150.0,13.0,0.0,150.0
Gentamicin_AB,0.8826530612244898,0.9212557363370881,0.9172727410933856,0.8831501831501831,0.88183145598665,0.8822822822822822,6.63265306122449,5.1020408163265305,102.0,0.0,94.0,102.0,0.0,94.0
Piperacillin-tazobactam_AB,0.588957055214724,0.6633838383838384,0.6435014159320636,0.5709706959706959,0.5782828282828283,0.5678787638982313,25.766871165644172,15.337423312883436,55.0,0.0,108.0,55.0,0.0,108.0
Aztreonam_AB,0.8181818181818182,0.919719827586207,0.9197902770250037,0.873719262295082,0.7620330459770115,0.780224260958206,0.6493506493506493,17.532467532467532,58.0,0.0,96.0,58.0,0.0,96.0
Ceftazidime_AB,0.8275862068965517,0.8932250108806035,0.8753077429299387,0.8386295047044203,0.7767300159582184,0.7942938209331651,3.4482758620689653,13.793103448275861,61.0,0.0,113.0,61.0,0.0,113.0
Ciprofloxacin_AB,0.7653061224489796,0.7378472222222222,0.5729031787571994,0.538961038961039,0.5875,0.5345860004129672,18.367346938775512,5.1020408163265305,16.0,0.0,180.0,16.0,0.0,180.0
Imipenem_AB,0.21621621621621623,0.42650918635170604,0.5038479177154012,0.4439445069366329,0.4439445069366329,0.21621621621621623,75.0,3.3783783783783785,21.0,0.0,127.0,21.0,0.0,127.0
Trimethoprim-sulfamethoxazole_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceftriaxone_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Levofloxacin_AB,0.5743243243243243,0.683288409703504,0.6570789357800544,0.5832266325224071,0.6022012578616351,0.5573280159521435,33.108108108108105,9.45945945945946,42.0,0.0,106.0,42.0,0.0,106.0
Amikacin_AB,0.7704081632653061,0.6623931623931624,0.6709784184021869,0.7534069981583793,0.5918803418803419,0.5949483352468428,20.918367346938776,2.0408163265306123,144.0,0.0,52.0,144.0,0.0,52.0
Ampicillin-sulbactam_AB,0.7851851851851852,0.8904249871991807,0.8513667049457307,0.8267696909272184,0.6678187403993856,0.6855169089886738,1.4814814814814816,20.0,42.0,0.0,93.0,42.0,0.0,93.0
Cefazolin_AB,0.7702702702702703,0.9285714285714285,0.9035870565651061,0.7956989247311828,0.6795918367346938,0.6936936936936937,2.7027027027027026,20.27027027027027,50.0,0.0,98.0,50.0,0.0,98.0
Median,0.7702702702702703,0.8904249871991807,0.8753077429299387,0.7534069981583793,0.6022012578616351,0.5949483352468428,3.6809815950920246,6.748466257668712,,,,,,
