,Tobramycin_AB,Cefuroxime_AB,Cefotaxime_AB,Cefepime_AB,Gentamicin_AB,Piperacillin-tazobactam_AB,Tigecycline_AB,Trimethoprim_AB,Aztreonam_AB,Ceftazidime_AB,Ciprofloxacin_AB,Ceftazidime-avibactam_AB,Imipenem_AB,Meropenem_AB,Ceftolozane-tazobactam_AB,Amoxicillin-clavulanic acid_AB,Ertapenem_AB,Ceftriaxone_AB,Levofloxacin_AB,Ampicillin_AB,Amikacin_AB,Ampicillin-sulbactam_AB,Cefazolin_AB,Organism_Code
Amikacin_AB,0.08231997688716468,0.006653598759386804,0.010132645589346043,0.008946768824730153,0.059736507168670856,0.016557939337219364,0.007237351138854492,0.011450746311185183,0.023598712840690726,0.026010323846281318,0.008657231827555203,0.002870711840814598,0.010946652517380105,0.021381732889553272,0.0019222167540402998,0.009924236749973833,0.02041931332077465,0.0146789998536014,0.012639307437775492,0.04793446542204642,0.5804293213827909,0.004409662970360566,0.011141576329803485,0.0
Amoxicillin-clavulanic acid_AB,0.030972713028681,0.04281581653536118,0.030121046413466065,0.049443947597754556,0.020694220437280725,0.14450423942689722,0.05597766718794246,0.08123250830392481,0.18447228811403327,0.13572232013409347,0.03989740632968276,0.0,0.0018059859699310937,0.011805603035551311,0.0,0.05119163133062127,0.027613118186730307,0.009386711557322729,0.014441057987305914,0.026224920924510682,0.03136883784753032,0.0,0.010307959651378722,0.0
Ampicillin-sulbactam_AB,0.013837435429856021,0.040094975700420275,0.01193196248215201,0.020197820871570044,0.01054383680761774,0.0866131593865169,0.008488819848395831,0.0,0.02274660538242903,0.0709886609183446,0.00547598912226074,0.005082839019234989,0.014476792262061059,0.004512586615311817,0.005459972682312041,0.0,0.012107806261717997,0.0029743861928810565,0.008319768272202318,0.0037530965828320726,0.018811500816127508,0.5107242045306813,0.12285778081507444,0.0
Ampicillin_AB,0.012779783450043141,0.17455506538071364,0.03736146786344245,0.029885071477326258,0.02559067883890053,0.1029439991966847,0.0018600934567845715,0.004281358529863685,0.03816756636030322,0.16925390310008426,0.003227000504932662,0.0034958092085097484,0.029969708035762443,0.0036498877424898674,0.029496012986877575,0.002022056285331477,0.06310527480383582,0.057523725248881025,0.01009092790754159,0.10702992541590589,0.007930533184635052,0.0554939746796175,0.030286176341532623,0.0
Aztreonam_AB,0.052978383457824185,0.022150233554525025,0.009236057304222108,0.028011308796831724,0.009344999143220319,0.010339004194916422,0.009582065118111043,0.01635906440041602,0.4540232055655623,0.21860847635107702,0.009516206260587325,0.005854513458927986,0.010671546526904541,0.00501613921350532,0.005822693008153926,0.013243725309422787,0.010629429692825664,0.011389781017966599,0.005813506847099784,0.010789061249123596,0.013760061216485594,0.010286750734680751,0.05657378757761003,0.0
Cefazolin_AB,0.03481962145921075,0.09136204354431747,0.030913832975554,0.008196286029704783,0.00821383608007719,0.0027133687890429827,0.007635458276577061,0.0,0.021610909855516114,0.19033531284000146,0.004755920482467977,0.0025696966663807407,0.006664612603271796,0.0036689288545889856,0.004314230313740838,0.000173115858093216,0.004187123411700964,0.008472753487953164,0.0030154340105305903,0.003088188370567812,0.011971981819845198,0.009009841930940366,0.5423075023399165,0.0
Cefepime_AB,0.004756299744464714,0.03428978294375245,0.0162629249140469,0.553525857397541,0.01136862171399752,0.008256492065765255,0.025305824190868027,0.03644919172134373,0.02421626747161152,0.017331361861627627,0.0105717954731355,0.00868476750162948,0.008762982078722205,0.009134304479709544,0.008922370914245685,0.12077961692650506,0.01827241422575864,0.009219835217423072,0.005756936144840294,0.011224052469555771,0.01110996254779643,0.021788648606408362,0.024009689389251326,0.0
Cefotaxime_AB,0.06373295973083326,0.09345310082922342,0.004344211389031349,0.35460435615135066,0.005695307470215651,0.046115576535404906,0.020604514564943624,0.012483964855486133,0.030286956144102956,0.019909945391158534,0.009776425505629127,0.045586999928578405,0.0012287423981299595,0.0025499509345119457,0.04643109892467346,0.05449182359590017,0.004007087828574389,0.0476296382581628,0.004547802578641775,0.02296355413923836,0.04524523503227029,0.0102867135573966,0.05402403425654211,0.0
Ceftazidime-avibactam_AB,0.006710645496599155,0.032346908564646865,0.006817864645960625,0.005844579741364287,0.045676771762774224,0.11687593319622076,0.025903835679458063,0.0,0.017882877813387363,0.006452861187170039,0.015758891006901664,0.6075219601832902,0.02209583940227894,0.009999272669614694,0.008939475002568899,0.0,0.023366503260368505,0.007362063324490513,0.007179653657570556,0.00467094138239868,0.008472355918442252,0.01558135711421959,0.004539408990274151,0.0
Ceftazidime_AB,0.03666902913981521,0.017605459234857467,0.007669554195193421,0.014357120775066576,0.009717213739807863,0.015360310034941614,0.009292074263575062,0.006346336096861864,0.17682091893882856,0.5027061432194395,0.00861965353870008,0.013632102750528344,0.004390850734520481,0.00497440257212631,0.0058725635917278515,0.011723901281708044,0.009442421572820317,0.0048876137530286246,0.009232907976619947,0.008871383180910894,0.013753773919205955,0.024789939854572018,0.08326432563514402,0.0
Ceftolozane-tazobactam_AB,0.009419055490620472,0.025155991093008527,0.004452431830596458,0.037658675806354666,0.006231141792406184,0.03956078418464522,0.007007677830893111,0.0,0.012523645750094556,0.015397819088394209,0.02625867741595562,0.07011890539903015,0.013506430802856455,0.008968682496736784,0.5611431079381444,0.0,0.049585137624741725,0.008777875802017552,0.053895722736043025,0.007432438572302852,0.018218605608668195,0.020962884673157087,0.0037243080633327557,0.0
Ceftriaxone_AB,0.11121239634541671,0.004585575567817295,0.01263725522536803,0.023436794951863613,0.003288633516055321,0.004472405885260282,0.0002855256741169643,0.001471873518758911,0.003156656976500942,0.0948561037307682,0.0005853230006015926,0.023926852383528784,0.0037178504494627435,0.0025712799753482138,0.13610079030410957,0.010887967956719233,0.01356281300857609,0.07142756183427104,0.021103075425820655,0.0015406026719186315,0.0006683973623273376,0.002490802136681264,0.45201346209870863,0.0
Cefuroxime_AB,0.019874927809042,0.4861060540113017,0.019776715705791266,0.01278876016911678,0.008895670936820088,0.01137237428901442,0.011417839995573513,0.003452460687778994,0.05065646532743938,0.09060540731742658,0.006817280433244586,0.009332437850060708,0.0040302189586403515,0.004926035534321145,0.008704032333189438,0.014154352915571532,0.006757861408863123,0.004142160115090261,0.003582652804189337,0.007535368698776818,0.01063102162191491,0.013359307341822578,0.1910805937350104,0.0
Ciprofloxacin_AB,0.021155557398118884,0.014950778032351862,0.014803776462679868,0.016095090763399135,0.03893820494930603,0.03361781069786202,0.014476620566219175,0.021269467218323016,0.03137593210509211,0.01920558586497114,0.11706006901714694,0.17597764617052045,0.02776889951516235,0.015993417625972783,0.17861721871502695,0.021190922790563456,0.03790249930292164,0.0282041140470923,0.013233481571959294,0.04202447172870345,0.07263577379961877,0.029162552015688875,0.01434010964129951,0.0
Ertapenem_AB,0.00529799284014284,0.011936953666412668,0.008395826621842167,0.0068755611751120695,0.013510378761444905,0.009048714947227438,0.004041267437673449,0.0030280708976273725,0.011817639854067703,0.013346297128160236,0.006152582654922023,0.17871205701221937,0.2780068668275478,0.020525819876034704,0.18118796840404566,0.04498633072636696,0.0450244056838931,0.009282205626711792,0.009616287314128882,0.04483458808630396,0.0349058059041239,0.024776938422262834,0.034689440131728165,0.0
Gentamicin_AB,0.12354504680488246,0.009260049400029082,0.011290180243548338,0.006580831837918454,0.5844853474010392,0.009525112802280505,0.011976642641409635,0.005654922551366129,0.010623767450910307,0.026189353271022058,0.017577798033228197,0.01058078001273247,0.012411389179252691,0.013060674512078416,0.007011468818091488,0.007412366476913465,0.025027371043140442,0.005418152819697698,0.008814129449703799,0.013356471733596772,0.023095399676712064,0.005005379335000244,0.052097364505446137,0.0
Imipenem_AB,0.042360942181832936,0.026876567985365883,0.011231368166222472,0.054961595224070625,0.012252181987015198,0.05358456495348691,0.03873886891505607,0.0012338436603311523,0.012451601744369899,0.01057333079865857,0.013997901777699499,0.13182969016987917,0.26529729927663326,0.04421173441447543,0.04141123085403399,0.001305875851209638,0.03650495154522731,0.01564594758667306,0.029181784404387248,0.09074090285013922,0.037104084194234596,0.009047521339655067,0.01945621011934287,0.0
Levofloxacin_AB,0.013987422555086898,0.037711046838669396,0.010773726003027083,0.02314952542842993,0.011777864110836162,0.01525981379189004,0.036041814929217375,0.0,0.025082465179327242,0.018502117912513903,0.011911487744323053,0.010279045405312888,0.023600483468958332,0.022546168815808485,0.013437926419005795,0.007453469614238864,0.05163582349992527,0.011166853681186018,0.5559684884232077,0.0065654577609156415,0.05366872090026936,0.026109184076000835,0.013371093441849708,0.0
Meropenem_AB,0.011417262305906601,0.007649858987202484,0.007307595599972053,0.01355775809638934,0.009731829636171519,0.008331513875236939,0.00591637323387211,0.0010807570571157242,0.008619818487738833,0.0076874860140209115,0.005510310376127079,0.16574318131896543,0.32863641077139405,0.0773374313438853,0.0967189362728896,0.04826526263823329,0.04732471590038044,0.0054300858426416,0.01117662124399153,0.07402736863576617,0.028244333900920078,0.01849780230523801,0.011787286155940817,0.0
Piperacillin-tazobactam_AB,0.10434853518927943,0.011074627858335066,0.014438303492205418,0.021420605378626254,0.01640349990881293,0.572019543554507,0.017092367649967383,0.008105255757253915,0.011474624678767455,0.013196057344602942,0.06419553660391647,0.009996227991890465,0.007524516699562676,0.007009873025879888,0.008826229316166676,0.016879331697789206,0.015455948916995229,0.0037906512592874083,0.01305543234101014,0.009176687378415286,0.02239908997019673,0.02706525412811945,0.0050517998584125885,0.0
Tigecycline_AB,0.008038888824798605,0.008202907420319434,0.0029421097394100853,0.006161248593568277,0.02468976510130698,0.011317624812163517,0.5078990084752005,0.004442541395669257,0.0032654839582159662,0.00338678426474894,0.010192399880424459,0.004369485832212626,0.04070165402196076,0.013563952750251806,0.002527090457451375,0.20709533131431498,0.013061658080312084,0.0018960364582620982,0.034387302262417194,0.005129765974923027,0.013250257400999763,0.04087654091455577,0.03260216206651252,0.0
Tobramycin_AB,0.5635741327274664,0.0099317385312047,0.004323909007093418,0.007030052414655462,0.11965277250574519,0.02920091900367191,0.012832275274965783,0.0025062543266592767,0.04768273537936736,0.09401250705178227,0.02352480374592018,0.00532135548259337,0.003012160211847719,0.006572223497641238,0.004632501671533628,0.012159413273915922,0.011384892170621472,0.0025761854723748328,0.005122973048523745,0.004917349378535189,0.011084631170798387,0.003680281843764508,0.01526393280931789,0.0
Trimethoprim_AB,0.022167261432262424,0.05186230861599842,0.03609577228720017,0.026318419674033484,0.05212421550945244,0.05071216857896657,0.0244178274998621,0.23332848642797294,0.04570958979920191,0.03231878094795521,0.029168135558383483,0.0,0.03213531934129646,0.03540575524085561,0.0,0.1285350775045986,0.06760039217461689,0.03585200860095758,0.0,0.03681081021348759,0.05943767059289814,0.0,0.0,0.0
