Sample_ID_IfH,Organism_Code,trimethoprim-sulfamethoxazole,ceftriaxone,gentamicin,ampicillin,ciprofloxacin,amoxicillin-clavulanic acid,colistin,doripenem,cefepime,meropenem,amikacin,tigecycline,ceftazidime,levofloxacin,Imipenem,piperacillin-tazobactam,cefazolin,tobramycin,cefuroxime,ertapenem,ticarcillin-clavulanic acid,aztreonam,cefpodoxime,ampicillin-sulbactam,moxifloxacin,nitrofurantoin,piperacillin,cefotaxime,sulfamethoxazole,temocillin,trimethoprim
562.140791,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140757,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5422,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5704,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140768,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5471,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5426,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.5458,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26282,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140816,ECO,S,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,R,,,,,,,
562.5425,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140787,ECO,R,S,S,R,S,,S,,S,S,S,R,S,,,R,R,R,S,R,S,S,R,R,,,,,,,
562.5463,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.5447,ECO,R,S,S,R,R,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5434,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140715,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140789,ECO,R,S,R,S,R,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140712,ECO,S,S,R,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5676,ECO,S,S,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.26299,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140798,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5424,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5698,ECO,R,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.111035,ECO,R,R,S,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140726,ECO,S,S,S,R,S,,S,,S,S,S,R,S,,,R,R,R,S,R,R,S,R,R,,,,,,,
562.5427,ECO,S,S,S,R,R,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140823,ECO,R,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,R,,,,,,,
562.5693,ECO,S,S,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
