Target,ECO
Amikacin_AB,0.996
Amoxicillin-clavulanic acid_AB,0.9396551724137931
Ampicillin-sulbactam_AB,1.0
Ampicillin_AB,0.9838709677419355
Aztreonam_AB,1.0
Cefazolin_AB,1.0
Cefepime_AB,0.9361702127659575
Cefotaxime_AB,0.975
Ceftazidime_AB,0.98828125
Ceftriaxone_AB,1.0
Cefuroxime_AB,1.0
Ciprofloxacin_AB,0.9766536964980544
Ertapenem_AB,0.96875
Gentamicin_AB,0.9962121212121212
Levofloxacin_AB,0.8518518518518519
Meropenem_AB,1.0
Nitrofurantoin_AB,0.9512195121951219
Norfloxacin_AB,1.0
Piperacillin-tazobactam_AB,0.9521739130434783
Tigecycline_AB,1.0
Tobramycin_AB,0.9782608695652174
Trimethoprim-sulfamethoxazole_AB,0.975
Trimethoprim_AB,0.9473684210526315
Median,0.9838709677419355
