Target                        , Accuracy          , ROC_Mean          , PR_Mean           , Precision_Mean    , Recall_Mean       , F1_Mean           , VME               , ME                 , Test_Count_S, Test_Count_I, Test_Count_R, Train_Count_S, Train_Count_I, Train_Count_R
Meropenem_AB                  , 1.0               , 1.0               , 1.0               , 1.0               , 1.0               , 1.0               , 0.0               ,  0.0               ,        251.0,          0.0,          1.0,        1262.0,           0.0,           6.0
Ertapenem_AB                  , 0.9230769230769231, 0.9117647058823529, 0.8290170323697363, 0.9594594594594594, 0.7               , 0.7645875251509053, 7.6923076923076925,  0.0               ,         34.0,          0.0,          5.0,         152.0,           0.0,          22.0
Tobramycin_AB                 , 0.975             , 1.0               , 1.0               , 0.9444444444444444, 0.984375          , 0.9626517273576096, 0.0               ,  2.5               ,         32.0,          0.0,          8.0,         142.0,           0.0,          46.0
Tigecycline_AB                , 1.0               , 1.0               , 1.0               , 1.0               , 1.0               , 1.0               , 0.0               ,  0.0               ,          5.0,          0.0,          2.0,          11.0,           0.0,          10.0
Piperacillin-tazobactam_AB    , 0.9656652360515021, 0.9829545454545454, 0.9416848117573106, 0.9559431524547803, 0.851774322169059 , 0.8953279424977538, 3.004291845493562 ,  0.4291845493562232,        209.0,          0.0,         24.0,        1053.0,           0.0,         110.0
Cefotaxime_AB                 , 0.9853658536585366, 0.9991645781119466, 0.998845316561739 , 0.982513491075135 , 0.9855367585630743, 0.9839947950553025, 0.4878048780487805,  0.975609756097561 ,        133.0,          0.0,         72.0,         690.0,           0.0,         331.0
Amoxicillin-clavulanic acid_AB, 0.9694323144104804, 0.9982338724670013, 0.9972136793839446, 0.9647279549718575, 0.9604945157092397, 0.9625790788337185, 1.7467248908296942,  1.3100436681222707,        163.0,          0.0,         66.0,         845.0,           0.0,         307.0
Ampicillin_AB                 , 0.9818181818181818, 0.9973404255319149, 0.9928339243498818, 0.9444444444444444, 0.9893617021276595, 0.9652118912080961, 1.8181818181818181,  0.0               ,          8.0,          0.0,         47.0,          32.0,           0.0,         230.0
Gentamicin_AB                 , 0.9920948616600791, 0.9997552019583843, 0.9992949237659481, 0.975             , 0.9953488372093023, 0.9848430385813564, 0.0               ,  0.7905138339920948,        215.0,          0.0,         38.0,        1065.0,           0.0,         194.0
Amikacin_AB                   , 0.9835390946502057, 0.9961010605115409, 0.9579805532055519, 0.9242046163443542, 0.9242046163443542, 0.9242046163443542, 0.823045267489712 ,  0.823045267489712 ,        229.0,          0.0,         14.0,        1196.0,           0.0,          49.0
Ceftriaxone_AB                , 0.9782608695652174, 1.0               , 1.0               , 0.9833333333333334, 0.9705882352941176, 0.9763739085772984, 0.0               ,  2.1739130434782608,         17.0,          0.0,         29.0,          85.0,           0.0,         151.0
Cefepime_AB                   , 0.8444444444444444, 0.9488888888888889, 0.9295146816198504, 0.8283410138248848, 0.8166666666666667, 0.8219332956472583, 8.88888888888889  ,  6.666666666666667 ,         30.0,          0.0,         15.0,         161.0,           0.0,          73.0
Trimethoprim_AB               , 1.0               , 1.0               , 1.0               , 1.0               , 1.0               , 1.0               , 0.0               ,  0.0               ,          3.0,          0.0,         12.0,          25.0,           0.0,          60.0
Norfloxacin_AB                , 1.0               , 1.0               , 1.0               , 1.0               , 1.0               , 1.0               , 0.0               ,  0.0               ,         14.0,          0.0,          2.0,          71.0,           0.0,          13.0
Ciprofloxacin_AB              , 0.9682539682539683, 0.9972845185611142, 0.9971866701129772, 0.9663865546218487, 0.9716312056737588, 0.9680101555061885, 0.0               ,  3.1746031746031744,        141.0,          0.0,        111.0,         695.0,           0.0,         558.0
Nitrofurantoin_AB             , 1.0               ,                   , 1.0               , 1.0               , 1.0               , 1.0               , 0.0               ,  0.0               ,         38.0,          0.0,          0.0,         172.0,           0.0,           3.0
Ceftazidime_AB                , 0.9879032258064516, 0.9995897856630089, 0.9991527401388127, 0.9711538461538461, 0.992462311557789 , 0.9813510464970547, 0.0               ,  1.2096774193548387,        199.0,          0.0,         49.0,        1017.0,           0.0,         218.0
Aztreonam_AB                  , 1.0               , 1.0               , 1.0               , 1.0               , 1.0               , 1.0               , 0.0               ,  0.0               ,          1.0,          0.0,          7.0,           8.0,           0.0,          43.0
Ampicillin-sulbactam_AB       , 1.0               , 1.0               , 1.0               , 1.0               , 1.0               , 1.0               , 0.0               ,  0.0               ,          3.0,          0.0,         11.0,           6.0,           0.0,          60.0
Cefazolin_AB                  , 1.0               , 1.0               , 1.0               , 1.0               , 1.0               , 1.0               , 0.0               ,  0.0               ,          2.0,          0.0,         20.0,           3.0,           0.0,         104.0
Levofloxacin_AB               , 0.8529411764705882, 0.9487179487179487, 0.952499453972873 , 0.9038461538461539, 0.8076923076923077, 0.8277608915906788, 0.0               , 14.705882352941178 ,         13.0,          0.0,         21.0,          38.0,           0.0,         124.0
Moxifloxacin_AB               , 1.0               , 1.0               , 1.0               , 1.0               , 1.0               , 1.0               , 0.0               ,  0.0               ,          2.0,          0.0,          2.0,           4.0,           0.0,           6.0
Median                        , 0.986634539732494 , 0.9997552019583843, 0.999647461882974 , 0.9787567455375674, 0.9909120068427242, 0.9826729207761786, 0.0               ,  0.2145922746781116,             ,             ,             ,              ,              ,            
