,Trimethoprim-sulfamethoxazole_AB,Ceftriaxone_AB,Gentamicin_AB,Ampicillin_AB,Ciprofloxacin_AB,Amoxicillin-clavulanic acid_AB,Cefepime_AB,Meropenem_AB,Amikacin_AB,Tigecycline_AB,Ceftazidime_AB,Levofloxacin_AB,Piperacillin-tazobactam_AB,Cefazolin_AB,Tobramycin_AB,Cefuroxime_AB,Ertapenem_AB,Ticarcillin-clavulanic acid_AB,Aztreonam_AB,Ampicillin-sulbactam_AB,Moxifloxacin_AB,Nitrofurantoin_AB,Cefotaxime_AB,Trimethoprim_AB,Norfloxacin_AB,Organism_Code
Amikacin_AB,0.0027730594871459863,0.005338599326133725,0.03042430821371718,0.004367297936593824,0.03456811953006375,0.10918110972246191,0.01790313720701337,0.0052258708882458975,0.5033278557532517,0.003957934144614757,0.17696545602358876,0.008717727899599216,0.013511418169369427,0.005093658015398732,0.008415312483726633,2.1680688360182754e-05,0.012057307163910382,7.060353612969868e-06,0.009434915637728998,0.01015594366596635,0.0,0.0275303494519594,0.01100898940996297,5.808943522385343e-06,7.0798840516660496e-06,0.0
Amoxicillin-clavulanic acid_AB,0.008547126264178662,0.02057993905865544,0.04962805418190167,0.00703441171420888,0.032093289214874345,0.658674427053465,0.0036631411468826232,0.003819495329621253,0.01747484197496657,4.6141993964106704e-05,0.054210410079319704,0.0031308331738977694,0.09949733059977289,0.004663359537496648,0.002539383267494619,8.380563919016196e-05,0.007296411369826354,0.0,0.0005451722442973066,0.0008938205710621213,0.0,0.0019515782526797277,0.02356459464717457,6.243268506968226e-05,0.0,0.0
Ampicillin-sulbactam_AB,0.010895020719308517,0.01746953316988862,0.013986518694633587,0.0564175414168558,0.011570817922222625,0.04113072285983336,0.02593838724399011,0.0012049464920865349,0.03631531704172465,0.011479831706977582,0.06031511228243303,0.025607128234107962,0.011552703638897745,0.053270354466600854,0.030697328687109095,0.05747363775363079,0.05078005554101711,0.02283398315580617,0.011905646622565411,0.39310691486853766,0.0274589713767738,0.004349092154443678,0.024240433950555338,0.0,0.0,0.0
Ampicillin_AB,0.03845255773722871,0.053639534504236364,0.015358411429274865,0.5569474885124106,0.0455820465658939,0.01226842155229865,0.011548488048753386,0.007848649203283214,0.0103370352371264,0.0040459499798738046,0.016250325515671682,0.0957867533129121,0.001381222706477084,0.0010487590186601104,0.010554758665330882,0.0019054214386106886,0.07038663101382708,0.004485893429684273,0.0007969050906963953,0.004762010340776713,0.0010845847011937862,0.006618702436283014,0.0014461176248591954,0.012721848764055847,0.014741483170581143,0.0
Aztreonam_AB,0.004383920159662861,0.005701777340266749,0.04487658251050561,0.003127749296016044,0.10395630136263065,0.03143831238612096,0.02594981882201572,0.010480733415010832,0.1266872467357381,0.014268869260057188,0.04745405649839597,0.3212276796436609,0.026521329483377782,0.021604012214824754,0.01733896462994939,0.01917426624744351,0.004167652273892991,0.011412692678499092,0.12338928073372087,0.03637553895947701,0.0,0.0,0.0002786848616512075,0.00018453048708163915,0.0,0.0
Cefazolin_AB,0.005984850291051378,0.22955587432057845,0.0014220070810059585,0.006319906101054274,0.01116780839019698,0.022238279948158638,0.0074547053475036654,0.0005312555808921671,0.0046762377082817125,0.009304607185387326,0.050126744682378155,0.05890771287169966,0.0076515132105320904,0.06618254834469084,0.02087701073184963,0.14969865276168043,0.1988262457903382,0.10153567205053765,0.0035907827008162725,0.03204552086372831,0.0,0.004846388811592185,0.007055675226046109,0.0,0.0,0.0
Cefepime_AB,0.0178809660851422,0.04879783167188486,0.01620692045575093,0.0067122972047052604,0.06444096037984692,0.0567825794726442,0.4210797597329945,0.0052164730175585155,0.041191667371172226,0.0001341541560823876,0.07328507086926117,0.12962785973199598,0.03317148274364108,0.009194538496146034,0.01831392900348669,7.054746974334032e-05,0.02543314991562066,6.294181861471794e-05,0.00754779124965857,0.008753564756327731,0.0,0.014281485843394715,9.699011774085526e-06,0.0017755833619224081,2.8746180630710326e-05,0.0
Cefotaxime_AB,0.0019739416751782747,0.0,0.007160940825073566,0.0022349347006746035,0.0640308565719567,0.026391196099666055,1.1080833811266596e-05,0.0017801228928750168,0.0017471696633738292,0.003478696833126073,0.11183518232636996,0.00015100808351256235,0.035371948285267005,0.0003041288926422166,4.458137125765289e-06,0.00022535181169273553,0.0019672885817614665,0.0,7.203543602216213e-06,0.003546579509996507,7.040727824123775e-05,4.5354038088921584e-05,0.7376621406646586,8.751305293187615e-09,0.0,0.0
Ceftazidime_AB,0.0027151058860886467,0.012978903674793566,0.006946674941300723,0.004098082063206222,0.03656857828203057,0.030015601413552966,0.007886955354716596,0.00039504467417855835,0.022394281891070164,0.0011724145728898244,0.6417697009810027,0.02207691850234702,0.024299518710707367,0.0036025931420071208,0.005746457821161489,0.0018489091121920505,0.009369094980739418,8.537793280770107e-05,0.00011017475881177902,0.0015399840901695705,0.00028607494911288734,0.0025299833822332576,0.16077860011048684,0.0002570638367651413,0.0005279049356279742,0.0
Ceftriaxone_AB,0.0047086461199670705,0.4739707664055568,0.005061778054671201,0.011415923628403086,0.03068740972592938,0.05635559047306192,0.00993075727891909,0.005572183251842689,0.0037061030366209334,0.0014543556906674682,0.015711603000493582,0.24241969224149412,0.01045662930079671,0.011339180317835894,0.006264262825293558,0.0016717854681267427,0.10099549619179929,0.0013205882885444385,0.0003703065136860786,0.00023833062676336986,0.0,0.005612708654584397,0.0,0.0002745750508728981,0.0004613278540691442,0.0
Cefuroxime_AB,0.006174168111579735,0.008863789626667246,0.0036435716791335137,0.0040586228388545375,0.0479869806548707,0.00011904127496696653,0.018651730570455625,0.002359931207632714,0.23180086451701193,0.03810145353597555,0.02311083211343051,0.0,0.005722526789754054,0.012607908471858715,0.008816110648731787,0.06748472862652882,0.07171998563121362,0.007500417524762693,0.007809680930797598,0.0036651860713467453,0.06868164597725197,0.0,0.3607882073483417,0.0003326158488332624,0.0,0.0
Ciprofloxacin_AB,0.004828922856409302,0.006900356057697369,0.011173112397019425,0.00527381198362748,0.7379012069361561,0.020875967559029318,0.005692269582837009,0.0062906103321648775,0.0613718937583251,0.0019612554610315726,0.03199894474979187,0.020159862672259728,0.018976454966594614,0.0028060549333617504,0.006343321267693913,0.0015459128326655303,0.007907481957583097,0.0003235952221584201,0.0016193373813588115,0.0012831620550408048,0.0006541477653070667,0.004617433074313652,0.038218929496122336,0.0005158446523614297,0.000760110049089517,0.0
Ertapenem_AB,0.01684654541954974,0.09254790737332103,0.01728181280013219,0.011609533559610728,0.021655852631673012,0.09396860494213918,0.01943610747301165,0.04757790489037711,0.032948940233572574,0.19065365530389405,0.0516637230160076,0.037958729772374925,0.06252549582604552,0.04633139694444528,0.06568769797249828,0.014596236227873453,0.0904306453671206,0.03214849604574094,0.002724141761584941,0.005975463641038485,0.008682709746454494,0.029514558539619026,0.007229763941363003,4.076570552264952e-06,0.0,0.0
