Target,ECO
Amikacin_AB,0.0
Amoxicillin-clavulanic acid_AB,5.172413793103448
Ampicillin-sulbactam_AB,0.0
Ampicillin_AB,0.0
Aztreonam_AB,0.0
Cefazolin_AB,0.0
Cefepime_AB,4.25531914893617
Cefotaxime_AB,1.0
Ceftazidime_AB,0.78125
Ceftriaxone_AB,0.0
Cefuroxime_AB,0.0
Ciprofloxacin_AB,1.556420233463035
Ertapenem_AB,0.0
Gentamicin_AB,0.3787878787878788
Levofloxacin_AB,14.814814814814813
Meropenem_AB,0.0
Nitrofurantoin_AB,0.0
Norfloxacin_AB,0.0
Piperacillin-tazobactam_AB,3.4782608695652173
Tigecycline_AB,0.0
Tobramycin_AB,2.1739130434782608
Trimethoprim-sulfamethoxazole_AB,0.0
Trimethoprim_AB,5.263157894736842
Median,0.0
