Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Trimethoprim-sulfamethoxazole_AB,0.975,1.0,1.0,0.8888888888888888,0.9863013698630136,0.9305555555555556,2.5,0.0,7.0,0.0,73.0,42.0,0.0,346.0
Ceftriaxone_AB,0.9824561403508771,1.0,0.9999999999999998,0.9838709677419355,0.9814814814814814,0.9823693164243736,1.7543859649122806,0.0,30.0,0.0,27.0,130.0,0.0,157.0
Gentamicin_AB,0.9962121212121212,0.9993013507219375,0.9978036831998491,0.9871794871794872,0.997787610619469,0.9923978460563827,0.0,0.3787878787878788,226.0,0.0,38.0,1112.0,0.0,198.0
Ampicillin_AB,0.9838709677419355,0.9985119047619048,0.9974064625850341,0.9666666666666667,0.9895833333333333,0.9774954627949184,1.6129032258064515,0.0,14.0,0.0,48.0,53.0,0.0,260.0
Ciprofloxacin_AB,0.9727626459143969,0.9975199060174912,0.9972909612550949,0.9696881091617934,0.9717726145411827,0.9707122507122508,1.1673151750972763,1.556420233463035,163.0,0.0,94.0,738.0,0.0,566.0
Amoxicillin-clavulanic acid_AB,0.9393939393939394,0.989406779661017,0.9818775099082976,0.9167791706846673,0.9258967284193931,0.9211988304093567,2.5974025974025974,3.463203463203463,172.0,0.0,59.0,861.0,0.0,316.0
Cefepime_AB,0.9375,0.9736263736263737,0.9617400218779067,0.9138655462184874,0.932967032967033,0.9227053140096618,2.083333333333333,4.166666666666666,35.0,0.0,13.0,187.0,0.0,73.0
Meropenem_AB,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,255.0,0.0,1.0,1288.0,0.0,6.0
Amikacin_AB,0.9960159362549801,0.9981060606060606,0.9857518686399682,0.9979253112033195,0.9545454545454546,0.9751509751509752,0.398406374501992,0.0,240.0,0.0,11.0,1222.0,0.0,49.0
Tigecycline_AB,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,11.0,0.0,36.0
Ceftazidime_AB,0.9883268482490273,0.9986449864498645,0.9960056920257814,0.9828917050691244,0.9732949412827461,0.978017278248225,0.7782101167315175,0.38910505836575876,216.0,0.0,41.0,1043.0,0.0,218.0
Levofloxacin_AB,0.9629629629629629,1.0,0.9999999999999999,0.975,0.9375,0.9538461538461538,0.0,3.7037037037037033,8.0,0.0,19.0,38.0,0.0,124.0
Piperacillin-tazobactam_AB,0.9567099567099567,0.9867171006333568,0.9435815443092401,0.8772767990444909,0.9445812807881774,0.9068548387096774,0.8658008658008658,3.463203463203463,203.0,0.0,28.0,1053.0,0.0,136.0
Cefazolin_AB,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,15.0,25.0,0.0,108.0
Tobramycin_AB,0.9787234042553191,0.997983870967742,0.9976577324478179,0.9705882352941176,0.9838709677419355,0.9766517635370094,0.0,2.127659574468085,31.0,0.0,16.0,142.0,0.0,72.0
Cefuroxime_AB,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,26.0,0.0,12.0
Ertapenem_AB,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,25.0,0.0,8.0,152.0,0.0,48.0
Ticarcillin-clavulanic acid_AB,0.4,0.6666666666666667,0.725,0.25,0.3333333333333333,0.2857142857142857,40.0,20.0,3.0,0.0,2.0,19.0,0.0,7.0
Aztreonam_AB,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,3.0,34.0,0.0,43.0
Ampicillin-sulbactam_AB,0.9,0.9047619047619049,0.9142006802721089,0.9375,0.8333333333333333,0.8666666666666667,0.0,10.0,3.0,0.0,7.0,21.0,0.0,71.0
Moxifloxacin_AB,0.0,,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,4.0,0.0,6.0
Nitrofurantoin_AB,0.9512195121951219,0.9743589743589743,0.7910412757973733,0.47560975609756095,0.5,0.4875,4.878048780487805,0.0,39.0,0.0,2.0,172.0,0.0,3.0
Cefotaxime_AB,0.975,0.9966666666666667,0.9950504507622908,0.9724125495852867,0.9678571428571429,0.9700947994856306,1.5,1.0,140.0,0.0,60.0,690.0,0.0,331.0
Trimethoprim_AB,0.9473684210526315,1.0,0.9999999999999999,0.9615384615384616,0.9285714285714286,0.9415384615384615,0.0,5.263157894736842,7.0,0.0,12.0,25.0,0.0,60.0
Norfloxacin_AB,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,18.0,0.0,4.0,71.0,0.0,13.0
Median,0.9787234042553191,0.998973168585901,0.9978036831998491,0.9724125495852867,0.9732949412827461,0.9751509751509752,0.398406374501992,0.0,,,,,,
