,Meropenem_AB,Ertapenem_AB,Tobramycin_AB,Tigecycline_AB,Piperacillin-tazobactam_AB,Cefotaxime_AB,Amoxicillin-clavulanic acid_AB,Ampicillin_AB,Gentamicin_AB,Amikacin_AB,Ceftriaxone_AB,Cefepime_AB,Trimethoprim_AB,Norfloxacin_AB,Ciprofloxacin_AB,Nitrofurantoin_AB,Ceftazidime_AB,Aztreonam_AB,Ampicillin-sulbactam_AB,Cefazolin_AB,Levofloxacin_AB,Moxifloxacin_AB,Organism_Code
Amikacin_AB,0.0036820790910349933,0.012136094903295652,0.0047109250952535485,0.008998931637836494,0.011537466472388996,0.005955242387290321,0.11246000996223753,0.004283404260514189,0.03154897236297863,0.5206633357744352,0.006844387099751211,0.018887939292198265,3.1043587997700076e-06,4.149856950286285e-05,0.032633305168970256,0.022178586885803077,0.1737602011196815,0.013238359420604275,0.004899597562417668,0.0033243002459234783,0.008212258329081852,0.0,0.0
Amoxicillin-clavulanic acid_AB,0.007188760125686341,0.00821963462087043,0.00384552288901162,7.556095914630076e-05,0.14608915754737894,0.023135377100156444,0.6325872951266477,0.010162024179761704,0.048093767748622576,0.016683213657270667,0.009792437155483287,0.003924617004978009,8.62898516952175e-05,0.0,0.02822947453380542,0.0020422527493532466,0.04785918298436306,0.0006973259204760071,0.00030201581646423746,0.0019343678586065522,0.009051722170222166,0.0,0.0
Ampicillin-sulbactam_AB,0.0002580553115129551,0.018688997685884133,0.0,0.052321030836160104,0.25505713735142627,0.02818261854675019,0.04705947489650959,0.025257254748897832,0.2588235793157191,0.02102582841106017,0.006325513626481943,0.10034761773895354,0.0,0.0,0.012971272227576143,0.0035490892092931202,0.030887577902883857,0.010426342783884632,0.057385940698535774,0.0303550911327252,0.01288802711848104,0.028189550457264505,0.0
Ampicillin_AB,0.01799934021297451,0.21870910089548867,0.012007881667184788,0.0005458503618121949,0.06417414843689412,0.001212458752343634,0.008725764744003474,0.39633078935434574,0.018542070342151933,0.011198769892068978,0.052032577135443986,0.013715423789306184,0.025522200616721974,0.026589871006430354,0.03570215254593338,0.011779212057923164,0.037333283124591124,1.7259440435772e-17,0.0006368374009979984,0.00040580983271616596,0.04681253597970437,2.392185096324314e-05,0.0
Aztreonam_AB,0.00726862446747007,0.02706204948722101,0.0008523254665880045,0.0004690591115103413,0.03380171188605863,0.0008137478671699638,0.0390967570384053,0.013728242686660678,0.22975852980888084,0.01625600651284101,0.006178307421296444,0.0478455801114817,0.0009754986606759443,0.0,0.12637264331628195,0.0,0.0011985693980009625,0.382444225895477,0.042188614200886355,0.002951146614987926,0.020738360048105885,0.0,0.0
Cefazolin_AB,0.002856819193731895,0.051097853107288635,0.03030313261089239,0.0008053391939706175,0.014672127103509047,0.021896336230079493,0.0078072866972598905,0.003313993319016397,0.08598222726129558,0.011103128643236093,0.0459390964447447,0.031101955730463926,0.0,0.0,0.031161367741848266,0.0030293257912257184,0.050408193353004276,0.00026100374485007376,0.01747239156279776,0.5316037364696355,0.059184685801149564,0.0,0.0
Cefepime_AB,0.0023690349262008433,0.061091175032670496,0.016906099821422417,2.0463509984923526e-18,0.04759033298282407,1.026050589190505e-05,0.04974650206148941,0.01404396128199361,0.019092211289293705,0.041884403636555205,0.035779919118774706,0.39648959828617947,0.0013232928578989975,0.00014165983122010211,0.0707916282993922,0.025872638264252477,0.05978580467821812,0.012547110454600396,0.009317071716610257,0.00840226241475727,0.12681503253975415,0.0,0.0
Cefotaxime_AB,0.0028064287290892513,0.0029148992474433144,3.631141649224368e-05,0.003938404683767799,0.010683571633203416,0.7756854275155863,0.022889988769284032,0.002513069099616642,0.010055183233803274,0.004028556173223834,0.0,3.042090397824365e-05,3.054216301284399e-05,0.0,0.06171579194425586,2.9973054886914105e-05,0.09924867192266895,3.2595508984819246e-05,0.0027550704872160315,0.0003198159732470167,0.00013258641271804398,0.00015269112752105716,0.0
Ceftazidime_AB,0.0007333381041562308,0.016398770673809404,0.004040115204749253,0.0009302558783665608,0.018980103406863652,0.16536682441369419,0.027971286962381353,0.004471385677588218,0.006921444186204172,0.02049103285361977,0.011121344447271286,0.006084489825914011,0.0011236851672571631,0.0009219591804686771,0.039264114342062034,0.0031271352663947696,0.6510167656546464,1.1270267349562082e-05,0.0007441929134980633,0.003384653246343263,0.016370383478330926,0.000525448849031122,0.0
Ceftriaxone_AB,0.005455947750719819,0.09968522910453914,0.004368796569945683,0.0,0.10203999956661447,0.0,0.05652097256471103,0.015410292670033791,0.008407694625211081,0.0027163819996020707,0.38126020035937974,0.006802977196618884,0.0006235286394306984,0.00047215672799456166,0.013615532213683338,0.006549544103764543,0.01717871198750682,0.00013543089954801385,4.5574770584714346e-05,0.01884222343256048,0.2598688048175512,0.0,0.0
Ciprofloxacin_AB,0.01098461020568305,0.005246444360779657,0.003985281323484688,0.0007914138709377283,0.021553407334387847,0.048022206280277584,0.02511169444709431,0.004337054181460048,0.01650064139426856,0.034376691783812904,0.0038322749260679308,0.005033056046985885,0.0018989459720361863,0.0011927826422937294,0.7447054016886219,0.005323453163917847,0.0523649475622792,0.00011825338211768864,0.0005340022918578222,0.0022077472222931382,0.011436564733612369,0.00044312518573003275,0.0
Ertapenem_AB,0.05780614344465827,0.05572951458689919,0.044033583754707575,0.014944633081656257,0.19803903375264847,0.010192977608320608,0.05093508552848798,0.022236674667764484,0.02583863622041442,0.039742795523710114,0.117562035167814,0.06060460981809865,6.722906261629255e-05,0.0,0.04979076464752544,0.04179329798910443,0.09402085152469156,0.024507492933704092,0.013360531650338701,0.03466754241626501,0.03503483619080924,0.009091730429765205,0.0
Gentamicin_AB,0.0036788313701879025,0.007024049370051705,0.010952167578387345,0.0012887695963050936,0.015276902070015147,0.011206271738842678,0.07655196762864462,0.005240903171499386,0.7047151866781152,0.0159695632655748,0.0026775373787931347,0.0106177737196653,2.0603985611549524e-05,7.515501220645442e-05,0.0368815779447021,0.002724144529809994,0.07565315308783731,0.004143082929909971,0.0076038255081707085,0.0029033879560224846,0.0033346781068755342,0.0014604673727716894,0.0
Levofloxacin_AB,0.039362384860270175,0.034745036917786465,0.04197858652534282,0.0010837069984885326,0.04707107260252549,0.0014111522481241126,0.05374052780301278,0.025956310078879365,0.018907749683959307,0.06092853675469209,0.0772493945649512,0.03278030933937729,0.0,0.0,0.23844996277682848,0.06341305216936906,0.0482463943744101,0.004245435596012247,0.0053781946723225945,0.019303225579658356,0.18574896645398964,0.0,0.0
Meropenem_AB,0.21948245439234199,0.06722443646796177,0.08941193394755684,0.008730980164466598,0.07484676975217325,0.000720675641168882,0.009668092284422551,0.10142891930762135,0.003417813513552696,0.011577243315151916,0.00724341144471769,0.03942587381360903,2.986880450380205e-05,4.7274948392323e-17,0.015963423403542978,0.00925103830900458,0.014115338351189347,0.00014333287063926514,0.004783386203414578,0.004414944067381309,0.3180999858483021,2.0078097277489252e-05,0.0
Moxifloxacin_AB,0.0,0.039345112606985214,0.01406153444588017,0.2908737541905589,0.047963386582220296,0.03903994170921758,0.015029611376113916,0.04250307968997172,0.030427961016014287,0.009573341557569476,0.01181101606881299,0.01758934915473422,0.022728339909005718,0.009087377433536324,0.2061027541378486,0.01235979592893447,0.03362474077425981,0.00949964131045792,0.0556165213176756,0.005975188686009594,0.012269848536861666,0.07451770356733142,0.0
Nitrofurantoin_AB,0.04832123291554752,0.10288064030906152,0.004154033878947826,0.021571175189737807,0.04353669339134354,0.034712236855589454,0.10775485214342115,0.013690740698546526,0.008290526321461971,0.0280082500790587,0.015206688821588044,0.029427081182284154,8.761654807669212e-17,1.6190711520661365e-05,0.04608554279437869,0.06131957840539555,0.05168652026249508,0.0,0.023654698759751396,0.12555847113626217,0.23412484614360826,0.0,0.0
Norfloxacin_AB,0.008217829793395727,0.0,0.1234102736136815,0.0,0.0,0.0,0.0,0.025233575346412317,0.016654932246557053,0.01546722310943405,0.10045311049816114,0.11658199033376457,0.05397238814493202,0.37665693342102774,0.031621793382883144,0.014205143467465842,0.11752480664228483,0.0,0.0,0.0,0.0,0.0,0.0
Piperacillin-tazobactam_AB,0.003946218088413531,0.0303841982017029,0.033384789733446496,8.650948254394235e-05,0.44420439179384497,0.03618514564175964,0.2560996076543163,0.004170125827533398,0.018971596530419552,0.0209490948611037,0.023282334817167703,0.01504990300521208,1.1416142738091787e-05,0.0,0.03391427790917749,0.0036014526500850364,0.047489322563130106,0.005795193132222286,0.0031295720199358964,0.004722021272485414,0.014622818637471453,1.0035289984877537e-08,0.0
Tigecycline_AB,0.003851170099672661,0.03299509611414809,0.019406152406269764,0.16032861624638775,0.016632165362452836,0.0404715944332995,0.010808474152288673,0.09017692425066935,0.07647082772148245,0.17694721478467582,0.008661368057858295,0.009332598038788975,0.016929618179519053,0.015111004481978097,0.016748608765700418,0.01866466421542158,0.1552919132116884,0.008984295501898637,0.04475660500249369,0.03355268046288545,0.020065637566870104,0.023812770943550353,0.0
Tobramycin_AB,0.003231752272373871,0.002805642632281529,0.5976464198846447,0.0,0.009047768044785708,0.0,0.09936956625706708,0.00037758480613769624,0.07809447128539812,0.148431891936907,0.0006689231346778573,0.021036746663587333,4.359174488716203e-05,0.0007158588747697038,0.003431679650591236,0.003273461374609738,0.002938714949095547,0.0,0.0,0.0006869776587572621,0.028198948829428444,0.0,0.0
Trimethoprim_AB,0.006969480810222471,1.17812618641601e-06,0.04834856915083505,2.5705478760191893e-06,5.211107103639617e-06,1.2536956568380089e-05,2.3907431636276055e-06,0.08795720987128906,0.026872878734634197,0.006026683872779368,0.032554793201772764,0.042220836575434934,0.6071400384014045,0.04452884851275253,0.05490068140020262,0.024765750557691056,0.017686747508288175,3.593921794935242e-06,0.0,0.0,0.0,0.0,0.0
