Sample_ID_IfH,Organism_Code,imipenem,amikacin,tetracycline,gentamicin,cefepime,meropenem,levofloxacin,trimethoprim/sulfamethoxazole,ertapenem,aztreonam,ciprofloxacin,piperacillin/tazobactam,tobramycin,cefoxitin,colistin,cefotaxime,cefalotin,cefuroxime,ampicillin,amoxicillin/clavulanic acid,ceftazidime,tigecycline,fosfomycin,ceftazidime/avibactam,chloramphenicol,cefotetan,cefpodoxime,ceftazidime/clavulanic acid,minocycline,cefmetazole,ceftriaxone,cefoperazone/sulbactam,doripenem,cefozopran,ampicillin/sulbactam,piperacillin,imipenem/relebactam,cefepime_taniborbactam,ceftolozane/tazobactam,ceftaroline,cefazolin,polymyxin B,trimethoprim_sulfamethoxazole,piperacillin_tazobactam,extended spectrum beta lactamase,cefotaxime/clavulanic acid,doxycycline,nitrofurantoin,cephalothin,ofloxacin,kanamycin,nalidixic acid,carbenicillin,penicillin,streptomycin,erythromycin,neomycin,spectinomycin,rifampin,cefiderocol,ticarcillin/clavulanic acid,trimethoprim_sulfonamide,amoxicillin,aminogycosides,fluoroquinolones,beta-lactam,trimotheprim,cefoperazone,florfenicol,sulfamethoxazole,ceftriaxone/cefpodoxime
573.66337,EKP,,4,,,>=64,,,,>=8,,,,,,,>=64,>=64,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.29931,EKP,,16,,<=1,,128,,,>1,,>2,,,,<=1,,,,,,,1,>128,<=1/4,>16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.29944,EKP,>8,8,,,,128,,,>1,,>2,,,,2,,,,,,,1,16,<=1/4,>16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2326,EKP,,,,<=1,,,<=0.5,<=1/19,,<=1,,<=4,,,<=1,<=0.5,,16,,,16,4,16,,>16,<=1,1,1,>8,4,1,<=8/4,<=0.5,<=1,32/16,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.5638,EKP,>=64,<=1,,,>64,>32,,>64/128,,>64,>16,,>=8,,>64,>32,,,>64,,>=64,<=2,,,>64,,,,<=8,,,,,,>64/,,,,,>32,>64,>64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.66466,EKP,,,,,>=32,>=16,,,>=8,,,,,,,32,,>=64,>=32,>=32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2845,EKP,<=0.5,,,,,<=0.5,2,>2/38,,>16,,<=4,,,<=1,>128,,32,,,8,4,16,,16,<=1,>64,1,>8,2,>64,>32/16,<=0.5,>16,>32/16,>64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.66047,EKP,<=0.5,,,,>16,1,1,,,>16,2,,4,,>8,>128,,>32,,,>16,1,>16,,<=8,>32,>64,>32,2,>32,>64,32/16,<=0.5,>16,>32/16,>64,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
573.65913,EKP,,<=4,,<=1,,<=0.5,<=0.5,<=1/19,,<=1,<=0.25,,<=1,,<=1,<=0.5,,8,,,<=1,<=0.25,<=4,,<=8,<=1,<=0.5,1,<=1,4,<=0.5,<=8/4,<=0.5,<=1,>32/16,64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.20064,EKP,,,,,>32,>8,,,,,,,,>16,>8,>64,,,>32,>32/16,>128,=2,,,,,,,,,>32,,=8,,>32/16,,,,,,>8,>8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
