feature,category,PHOENIX_count,VITEK_count,PHOENIX_freq,VITEK_freq,purity
amoxicillin/clavulanic acid,MISSING,1575,614,1.0,0.72406,1.0
azithromycin,MISSING,1575,848,1.0,1.0,1.0
beta-lactam,MISSING,1575,848,1.0,1.0,1.0
cefalotin,MISSING,1575,779,1.0,0.91863,1.0
cefotaxime,MISSING,1575,136,1.0,0.16038,1.0
cefotetan,MISSING,1575,380,1.0,0.44811,1.0
cefpodoxime,MISSING,1575,380,1.0,0.44811,1.0
cefpodoxime_clavulanic_acid,MISSING,1575,848,1.0,1.0,1.0
ceftazidime/avibactam,MISSING,1575,380,1.0,0.44811,1.0
ceftolozane/tazobactam,MISSING,1575,380,1.0,0.44811,1.0
cephalexin,MISSING,1575,848,1.0,1.0,1.0
cephalothin,MISSING,1575,315,1.0,0.37146,1.0
chloramphenicol,MISSING,1575,824,1.0,0.9717,1.0
colistin,MISSING,1575,834,1.0,0.98349,1.0
ertapenem,MISSING,1575,38,1.0,0.04481,1.0
fosfomycin,MISSING,1575,820,1.0,0.96698,1.0
moxifloxacin,MISSING,1575,380,1.0,0.44811,1.0
nalidixic acid,MISSING,1575,380,1.0,0.44811,1.0
netilmicin,MISSING,1575,838,1.0,0.98821,1.0
norfloxacin,MISSING,1575,848,1.0,1.0,1.0
piperacillin,MISSING,1575,848,1.0,1.0,1.0
polymyxin B,MISSING,1575,848,1.0,1.0,1.0
streptomycin,MISSING,1575,848,1.0,1.0,1.0
sulfamethoxazole,MISSING,1575,838,1.0,0.98821,1.0
ticarcillin,MISSING,1575,848,1.0,1.0,1.0
ticarcillin/clavulanic acid,MISSING,1575,848,1.0,1.0,1.0
tigecycline,MISSING,1575,165,1.0,0.19458,1.0
trimethoprim,MISSING,1575,769,1.0,0.90684,1.0
trimethoprim/sulfobactam,MISSING,1575,848,1.0,1.0,1.0
ampicillin,>16,1551,1,0.98476,0.00118,0.98476
cefazolin,>16,1411,0,0.89587,0.0,0.89587
cefuroxime,>16,1404,1,0.89143,0.00118,0.89143
ampicillin/sulbactam,>16/8,1386,1,0.88,0.00118,0.88
ampicillin,>=32,0,742,0.0,0.875,0.875
ceftriaxone,>32,1361,1,0.86413,0.00118,0.86413
ciprofloxacin,>2,1352,1,0.85841,0.00118,0.85841
ceftazidime,>16,1315,1,0.83492,0.00118,0.83492
aztreonam,>16,1245,1,0.79048,0.00118,0.79048
levofloxacin,>4,1223,1,0.77651,0.00118,0.77651
trimethoprim/sulfamethoxazole,>2/38,1186,0,0.75302,0.0,0.75302
amikacin,<=8,1012,0,0.64254,0.0,0.64254
amikacin,<=2,0,542,0.0,0.63915,0.63915
piperacillin/tazobactam,>64/4,999,1,0.63429,0.00118,0.63429
imipenem,<=1,971,29,0.61651,0.0342,0.61651
meropenem,<=1,945,0,0.6,0.0,0.6
cefoxitin,<=4,396,465,0.25143,0.54835,0.54835
cefuroxime,>=64,0,459,0.0,0.54127,0.54127
cefotaxime,>=64,0,429,0.0,0.5059,0.5059
cefoxitin,>16,786,0,0.49905,0.0,0.49905
gentamicin,<=1,0,407,0.0,0.47995,0.47995
cefepime,>16,750,0,0.47619,0.0,0.47619
tetracycline,>8,741,0,0.47048,0.0,0.47048
nitrofurantoin,MISSING,728,273,0.46222,0.32193,0.46222
cefotetan,<=4,0,383,0.0,0.45165,0.45165
ciprofloxacin,>=4,0,372,0.0,0.43868,0.43868
tobramycin,>8,683,0,0.43365,0.0,0.43365
nitrofurantoin,>64,682,1,0.43302,0.00118,0.43302
cefazolin,>=64,0,358,0.0,0.42217,0.42217
cefepime,>=32,0,357,0.0,0.42099,0.42099
meropenem,<=25,0,352,0.0,0.41509,0.41509
gentamicin,>8,651,0,0.41333,0.0,0.41333
ertapenem,<=12,0,340,0.0,0.40094,0.40094
tetracycline,MISSING,0,335,0.0,0.39505,0.39505
ampicillin/sulbactam,MISSING,0,334,0.0,0.39387,0.39387
gentamicin,>=16,0,329,0.0,0.38797,0.38797
gentamicin,<=2,609,0,0.38667,0.0,0.38667
ampicillin/sulbactam,>=32/16,0,324,0.0,0.38208,0.38208
cephalothin,>=64,0,322,0.0,0.37972,0.37972
trimethoprim/sulfamethoxazole,>=16/304,0,317,0.0,0.37382,0.37382
tobramycin,>=16,0,314,0.0,0.37028,0.37028
ceftriaxone,>=64,0,311,0.0,0.36675,0.36675
ceftazidime,>=64,0,306,0.0,0.36085,0.36085
ceftriaxone,MISSING,0,306,0.0,0.36085,0.36085
aztreonam,>=64,0,302,0.0,0.35613,0.35613
imipenem,<=25,0,301,0.0,0.35495,0.35495
cefpodoxime,>=8,0,296,0.0,0.34906,0.34906
tetracycline,>=16,0,280,0.0,0.33019,0.33019
cefazolin,MISSING,0,275,0.0,0.32429,0.32429
levofloxacin,MISSING,0,269,0.0,0.31722,0.31722
tobramycin,<=1,0,251,0.0,0.29599,0.29599
tigecycline,<=5,0,245,0.0,0.28892,0.28892
imipenem,MISSING,0,243,0.0,0.28656,0.28656
tetracycline,4,450,0,0.28571,0.0,0.28571
tobramycin,<=2,446,0,0.28317,0.0,0.28317
