feature,category,PHOENIX_count,PHOENIX_freq,VITEK_count,VITEK_freq,specificity
ampicillin,>16,1551,0.98476,1,0.00118,0.98358
ertapenem,MISSING,1575,1.0,38,0.04481,0.95519
cefazolin,>16,1411,0.89587,0,0.0,0.89587
cefuroxime,>16,1404,0.89143,1,0.00118,0.89025
ampicillin/sulbactam,>16/8,1386,0.88,1,0.00118,0.87882
ampicillin,>=32,0,0.0,742,0.875,0.875
ceftriaxone,>32,1361,0.86413,1,0.00118,0.86295
ciprofloxacin,>2,1352,0.85841,1,0.00118,0.85723
cefotaxime,MISSING,1575,1.0,136,0.16038,0.83962
ceftazidime,>16,1315,0.83492,1,0.00118,0.83374
tigecycline,MISSING,1575,1.0,165,0.19458,0.80542
aztreonam,>16,1245,0.79048,1,0.00118,0.7893
levofloxacin,>4,1223,0.77651,1,0.00118,0.77533
trimethoprim/sulfamethoxazole,>2/38,1186,0.75302,0,0.0,0.75302
amikacin,<=8,1012,0.64254,0,0.0,0.64254
amikacin,<=2,0,0.0,542,0.63915,0.63915
piperacillin/tazobactam,>64/4,999,0.63429,1,0.00118,0.63311
cephalothin,MISSING,1575,1.0,315,0.37146,0.62854
meropenem,<=1,945,0.6,0,0.0,0.6
imipenem,<=1,971,0.61651,29,0.0342,0.58231
cefpodoxime,MISSING,1575,1.0,380,0.44811,0.55189
cefotetan,MISSING,1575,1.0,380,0.44811,0.55189
nalidixic acid,MISSING,1575,1.0,380,0.44811,0.55189
ceftazidime/avibactam,MISSING,1575,1.0,380,0.44811,0.55189
ceftolozane/tazobactam,MISSING,1575,1.0,380,0.44811,0.55189
moxifloxacin,MISSING,1575,1.0,380,0.44811,0.55189
cefuroxime,>=64,0,0.0,459,0.54127,0.54127
cefotaxime,>=64,0,0.0,429,0.5059,0.5059
cefoxitin,>16,786,0.49905,0,0.0,0.49905
gentamicin,<=1,0,0.0,407,0.47995,0.47995
cefepime,>16,750,0.47619,0,0.0,0.47619
tetracycline,>8,741,0.47048,0,0.0,0.47048
cefotetan,<=4,0,0.0,383,0.45165,0.45165
ciprofloxacin,>=4,0,0.0,372,0.43868,0.43868
tobramycin,>8,683,0.43365,0,0.0,0.43365
nitrofurantoin,>64,682,0.43302,1,0.00118,0.43184
cefazolin,>=64,0,0.0,358,0.42217,0.42217
cefepime,>=32,0,0.0,357,0.42099,0.42099
meropenem,<=25,0,0.0,352,0.41509,0.41509
gentamicin,>8,651,0.41333,0,0.0,0.41333
ertapenem,<=12,0,0.0,340,0.40094,0.40094
tetracycline,MISSING,0,0.0,335,0.39505,0.39505
ampicillin/sulbactam,MISSING,0,0.0,334,0.39387,0.39387
gentamicin,>=16,0,0.0,329,0.38797,0.38797
gentamicin,<=2,609,0.38667,0,0.0,0.38667
ampicillin/sulbactam,>=32/16,0,0.0,324,0.38208,0.38208
cephalothin,>=64,0,0.0,322,0.37972,0.37972
trimethoprim/sulfamethoxazole,>=16/304,0,0.0,317,0.37382,0.37382
tobramycin,>=16,0,0.0,314,0.37028,0.37028
ceftriaxone,>=64,0,0.0,311,0.36675,0.36675
ceftazidime,>=64,0,0.0,306,0.36085,0.36085
ceftriaxone,MISSING,0,0.0,306,0.36085,0.36085
aztreonam,>=64,0,0.0,302,0.35613,0.35613
imipenem,<=25,0,0.0,301,0.35495,0.35495
cefpodoxime,>=8,0,0.0,296,0.34906,0.34906
tetracycline,>=16,0,0.0,280,0.33019,0.33019
cefazolin,MISSING,0,0.0,275,0.32429,0.32429
levofloxacin,MISSING,0,0.0,269,0.31722,0.31722
cefoxitin,<=4,396,0.25143,465,0.54835,0.29692
tobramycin,<=1,0,0.0,251,0.29599,0.29599
tigecycline,<=5,0,0.0,245,0.28892,0.28892
imipenem,MISSING,0,0.0,243,0.28656,0.28656
tetracycline,4,450,0.28571,0,0.0,0.28571
tobramycin,<=2,446,0.28317,0,0.0,0.28317
amoxicillin/clavulanic acid,MISSING,1575,1.0,614,0.72406,0.27594
ceftolozane/tazobactam,<=25/4,0,0.0,234,0.27594,0.27594
meropenem,<=0.25,0,0.0,230,0.27123,0.27123
ceftazidime/avibactam,<=12/4,0,0.0,226,0.26651,0.26651
ceftazidime,<=1,0,0.0,211,0.24882,0.24882
nitrofurantoin,=128,0,0.0,209,0.24646,0.24646
ertapenem,>=8,0,0.0,209,0.24646,0.24646
nalidixic acid,>=32,0,0.0,199,0.23467,0.23467
