Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Meropenem_AB,0.9800628087708313,0.9967857598454614,0.9965547777354903,0.9794078394142777,0.9799338088811774,0.9795644164652698,1.235790018439272,0.7579291044776119,58.333333333333336,0.0,76.66666666666667,291.3333333333333,0.0,375.6666666666667
Ertapenem_AB,0.9693342865573368,0.9960616789152196,0.9930220393901837,0.9510472774361663,0.9714244009983002,0.9605064109752028,2.446295537907777,0.6202758063585483,27.333333333333332,0.0,85.33333333333333,137.0,0.0,421.3333333333333
Tobramycin_AB,0.9731553847030513,0.9945889687268998,0.9930104758061683,0.9725793339057166,0.9687571584123308,0.9705732053014864,0.9779211614074,1.7065403682874765,35.333333333333336,0.0,62.0,190.33333333333334,0.0,317.3333333333333
Tigecycline_AB,0.9217605844599278,0.9689880338100152,0.9033775711451901,0.8729013060838394,0.7429195947384802,0.7806214891853743,1.4972307925331103,6.326710761474103,17.333333333333332,0.0,115.0,77.33333333333333,0.0,601.3333333333334
Piperacillin-tazobactam_AB,0.9583119796523145,0.9942257200569222,0.9927373118025832,0.955923921916569,0.9489284365243446,0.9520435380792543,1.603631786615038,2.5651702481534997,33.666666666666664,0.0,70.33333333333333,182.33333333333334,0.0,364.3333333333333
Cefotaxime_AB,0.9908045977011494,0.9991830065359477,0.9945486117794688,0.995151451038471,0.9296296296296296,0.9582061129399042,0.0,0.9195402298850576,8.666666666666666,0.0,137.0,45.666666666666664,0.0,670.6666666666666
Cefpodoxime_AB,1.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.0,76.0,7.666666666666667,0.0,391.0
Amoxicillin-clavulanic acid_AB,0.9778874269005847,0.9894553493669189,0.9502432327195081,0.945436507936508,0.9640472521828455,0.9491358930463846,1.0416666666666667,1.1695906432748537,7.333333333333333,0.0,51.333333333333336,33.666666666666664,0.0,253.33333333333334
Ampicillin_AB,0.981937321937322,0.9974974974974975,0.984191731714108,0.9907664724338862,0.8222222222222223,0.8703140363815143,0.0,1.8062678062678064,4.333333333333333,0.0,104.66666666666667,14.0,0.0,532.0
Gentamicin_AB,0.9632822071435303,0.994528443596073,0.9946633003001054,0.9640517941776724,0.9625728066524143,0.9630958024977191,1.9361982847987935,1.7355810008481765,70.33333333333333,0.0,66.33333333333333,345.6666666666667,0.0,337.0
Amikacin_AB,0.9588719892600489,0.9927462762785623,0.9905570677453533,0.9496202800453202,0.9565029265363258,0.9527810432934251,1.526241806838822,2.5865592671562823,86.0,0.0,42.333333333333336,454.3333333333333,0.0,195.33333333333334
Ceftriaxone_AB,0.9966996699669967,0.9957044673539519,0.9767623421605948,0.9982993197278912,0.9583333333333334,0.9753357753357754,0.0,0.33003300330033,3.0,0.0,92.33333333333333,24.666666666666668,0.0,489.0
Cefepime_AB,0.9576681754394504,0.9898659952739649,0.9730069566564703,0.9765098253001478,0.852766106442577,0.9007571652720747,0.0,4.233182456054966,15.666666666666666,0.0,94.0,85.33333333333333,0.0,478.3333333333333
Trimethoprim_AB,0.9095238095238095,1.0,1.0,0.9055555555555556,0.9338624338624338,0.9056001188354129,9.047619047619047,0.0,3.6666666666666665,0.0,7.666666666666667,13.666666666666666,0.0,32.0
Trimethoprim-sulfamethoxazole_AB,1.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,109.33333333333333,5.666666666666667,0.0,560.3333333333334
Ciprofloxacin_AB,0.9758403361344539,0.9968882908027646,0.9900132209610649,0.9669436854887673,0.9207351626310958,0.9402691075495572,0.49019607843137253,1.9257703081232493,16.666666666666668,0.0,120.66666666666667,76.33333333333333,0.0,613.3333333333334
Ceftazidime_AB,0.9777032065622672,0.9953809678405344,0.990822558190215,0.9691757438467965,0.968541133860023,0.9687881344533705,1.1140939597315436,1.1155853840417598,35.666666666666664,0.0,112.0,199.33333333333334,0.0,558.3333333333334
Aztreonam_AB,0.9736190575520989,0.9949777069527608,0.9910275029063561,0.9731580278528634,0.9567502467199499,0.9636829347443417,0.6244164332399627,2.013677811550152,25.333333333333332,0.0,77.33333333333333,148.0,0.0,368.0
Ceftolozane-tazobactam_AB,0.9931972789115647,0.9975845410628019,0.9860340219960942,0.9964539007092199,0.9444444444444443,0.9648745519713261,0.0,0.6802721088435374,3.0,0.0,46.333333333333336,23.0,0.0,244.33333333333334
Cefuroxime_AB,0.9640292673890896,0.9917990211221962,0.9878888301455032,0.9551376151995346,0.958390229740336,0.9563606435393511,1.9206816708344912,1.6763915902565527,35.666666666666664,0.0,86.0,175.0,0.0,426.6666666666667
Imipenem_AB,0.9808045073375262,0.9983543589892226,0.9979321355872642,0.9827585765488992,0.9740123013975238,0.9779514382688986,0.31446540880503143,1.6050838574423478,40.0,0.0,66.33333333333333,175.0,0.0,336.0
Ampicillin-sulbactam_AB,0.9519050689263455,0.9967576097952948,0.9933376530657368,0.9522339431401042,0.8977440965282405,0.9214857411891311,0.787510361978447,4.0219827453870005,16.666666666666668,0.0,68.33333333333333,92.33333333333333,0.0,356.0
Ceftazidime-avibactam_AB,0.9838709677419355,0.9965909090909091,0.9959549078643614,0.9812337421033073,0.984090909090909,0.9825597749648383,1.075268817204301,0.5376344086021505,18.0,0.0,36.333333333333336,98.0,0.0,194.33333333333334
Cefazolin_AB,0.985982905982906,0.9981818181818182,0.9977378286170705,0.9793771043771043,0.9851641414141413,0.9821200729095465,0.9572649572649574,0.4444444444444446,18.0,0.0,50.0,98.66666666666667,0.0,264.0
Levofloxacin_AB,0.962796504369538,0.9973941412172406,0.997370613754028,0.9583096985573766,0.9644147985705002,0.9609991331689446,2.605076987099459,1.1152725759467332,31.666666666666668,0.0,56.333333333333336,156.33333333333334,0.0,285.3333333333333
Piperacillin_AB,0.9051808406647117,0.6394848871860366,0.6296208517306431,0.4525904203323557,0.5,0.47501368363437324,0.0,9.481915933528837,3.0,0.0,28.666666666666668,11.0,0.0,148.33333333333334
Colistin_AB,0.9508881330309902,0.940169133192389,0.9273709189720378,0.9734072861732437,0.7916666666666666,0.849426888900573,4.911186696900982,0.0,41.333333333333336,0.0,6.0,214.33333333333334,0.0,36.333333333333336
Doripenem_AB,0.982905982905983,0.9965517241379311,0.9955588439833386,0.989247311827957,0.9666666666666667,0.975925925925926,1.7094017094017093,0.0,31.333333333333332,0.0,7.666666666666667,159.33333333333334,0.0,38.333333333333336
Median,0.9704665227531959,0.9959165933707829,0.9948774987994623,0.9731585186510978,0.9603866631101701,0.9599361133906618,0.4352411946203083,1.1113108222621075,,,,,,
