Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Meropenem_AB,0.9882352941176471,0.9986899190442733,0.9985627689472919,0.9871690724452641,0.986980801055387,0.9870056134226284,0.5882352941176471,0.5882352941176471,109.6,0.0,60.4,535.8,0.0,312.2
Ertapenem_AB,0.9759165807009229,0.9962137636973154,0.9940923810541292,0.9642249407518257,0.9809713507513763,0.9718444720960905,2.188561710127495,0.2197802197802198,26.8,0.0,64.2,128.4,0.0,327.0
Tobramycin_AB,0.9507799255690029,0.9868158189723628,0.9836882328093346,0.9449367437768801,0.947201139596127,0.9454389379132465,2.6454254264287833,2.276582016670922,52.6,0.0,98.0,272.8,0.0,486.2
Tigecycline_AB,0.978686982285387,0.9843646277856803,0.8841089149917508,0.7892087428256939,0.675,0.7102465072683974,0.0,2.1313017714613,2.8,0.0,72.0,10.6,0.0,369.2
Piperacillin-tazobactam_AB,0.9364985941493714,0.9793813019788905,0.9658863794490717,0.9216809369566061,0.8967855217495704,0.9075179982220785,2.246564086956463,4.103576498106411,34.8,0.0,116.0,182.2,0.0,577.4
Cefotaxime_AB,0.9924301494476933,0.9990793650793652,0.9952004306540999,0.9805915492957746,0.9653333333333334,0.972199871050935,0.24691358024691357,0.5100714749837556,5.4,0.0,73.8,22.8,0.0,372.8
Amoxicillin-clavulanic acid_AB,0.9496904761904762,0.9935282651072125,0.9867512555334697,0.9385925925925924,0.8876998050682261,0.9088322239804718,1.425,3.605952380952381,5.0,0.0,23.4,21.8,0.0,111.2
Ampicillin_AB,0.9900631252805165,0.989937106918239,0.9706981011719978,0.9949729603218869,0.8233333333333333,0.8712702016034776,0.0,0.9936874719483415,3.6,0.0,158.0,14.8,0.0,795.0
Gentamicin_AB,0.9494117647058824,0.9896915028493843,0.989898377787372,0.9491331909583678,0.949398931283153,0.9490741705676375,2.9411764705882355,2.1176470588235294,79.4,0.0,90.6,400.8,0.0,447.2
Amikacin_AB,0.9788235294117646,0.9957109779644474,0.9934522623313768,0.9744853209188713,0.9735279630571625,0.9739141039109438,1.058823529411765,1.058823529411765,122.2,0.0,47.8,620.4,0.0,227.6
Ceftriaxone_AB,0.9788277579256555,0.9939769987422746,0.9484191593043171,0.8835023162452191,0.9337008246177307,0.9041601017422634,1.5037561148266367,0.613468092607827,7.0,0.0,124.4,38.0,0.0,635.6
Cefepime_AB,0.9060354012830594,0.9591906576659233,0.9185897526280276,0.867228073248247,0.8546467515853735,0.860356935592824,4.267000344506558,5.1294595271875085,32.2,0.0,112.2,174.8,0.0,565.8
Trimethoprim_AB,0.9434920634920635,1.0,1.0,0.9541666666666668,0.9305555555555556,0.9349834479246244,1.4285714285714284,4.222222222222222,3.6,0.0,6.2,14.2,0.0,29.6
Trimethoprim-sulfamethoxazole_AB,0.9581324698143279,0.9817999004807145,0.8808542474472789,0.8623178436872531,0.8652038496873763,0.859835714010992,2.0252514410063807,2.1615015775608386,12.8,0.0,146.0,66.4,0.0,729.0
Ciprofloxacin_AB,0.9611764705882353,0.988907694686781,0.9425201170274091,0.892195658746062,0.9022525743722971,0.8925525330610521,2.0,1.8823529411764706,17.0,0.0,153.0,79.2,0.0,768.8
Ceftazidime_AB,0.971680721044849,0.9944150718124918,0.9869238446671919,0.949787999203098,0.9583180108282836,0.9537640190162314,1.6715105636513816,1.1604173318637214,28.8,0.0,125.6,164.8,0.0,618.6
Aztreonam_AB,0.9433911828650544,0.9786000836883373,0.9709929549902638,0.9378660376403405,0.8990811840707208,0.9161471592286368,1.472785676642652,4.1880960368518965,33.8,0.0,113.8,173.4,0.0,558.0
Ceftolozane-tazobactam_AB,0.9960000000000001,0.9979166666666666,0.9832908163265305,0.9666666666666666,0.9979166666666666,0.9789473684210528,0.4,0.0,3.2,0.0,45.8,22.6,0.0,236.8
Cefuroxime_AB,0.9717276825345719,0.9960388194540435,0.9874923480931066,0.9315854899876213,0.952701385804491,0.9413433088537897,1.8352086689649183,0.9920230775778881,19.4,0.0,122.2,107.8,0.0,606.4
Imipenem_AB,0.9660075525841391,0.9939273460290259,0.994000660255568,0.9668720365880967,0.965470957214426,0.9659238377564119,1.143372440230549,2.2558723013555477,69.4,0.0,72.8,328.0,0.0,382.8
Ampicillin-sulbactam_AB,0.9688212810733626,0.9968835992601495,0.9903386533387992,0.9259576163799814,0.9427730553375866,0.9327594984984928,1.8803577652012204,1.2375141274625172,16.8,0.0,111.8,97.0,0.0,560.4
Ceftazidime-avibactam_AB,0.9795343915343915,0.9992195231668916,0.9981938018122228,0.9706250000000001,0.980450251502883,0.9739055857482724,1.5703703703703704,0.47619047619047616,13.0,0.0,36.0,70.0,0.0,189.4
Cefazolin_AB,0.9749675802757493,0.9958009807310143,0.9899293793900276,0.9501555292824353,0.9595426321271676,0.9546347917795286,1.4772105954184127,1.0260313770066547,21.8,0.0,113.0,115.4,0.0,574.0
Levofloxacin_AB,0.9475429478627853,0.986773398411458,0.9725426282217242,0.9334419763946998,0.9334439754110493,0.9332615390401013,2.7622347464836148,2.4834704672378534,36.8,0.0,99.0,182.8,0.0,512.6
Median,0.9700223335800494,0.9951715772879801,0.9901310602727923,0.9457922618094182,0.9513379239805563,0.9420867671919098,1.3857865304242167,1.2161975713467124,,,,,,
