,Organism_Code,Antibiotic,Test_Count_NA,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_NA,Train_Count_S,Train_Count_I,Train_Count_R
0,EKP,Amikacin_AB,40.0,92.0,0,38.0,208.0,443.0,0,196.0
1,EKP,Amoxicillin-clavulanic acid_AB,109.0,8.0,0,53.0,568.0,40.0,0,239.0
2,EKP,Ampicillin-sulbactam_AB,81.0,15.0,0,74.0,382.0,99.0,0,366.0
3,EKP,Ampicillin_AB,59.0,2.0,0,109.0,299.0,17.0,0,531.0
4,EKP,Aztreonam_AB,60.0,31.0,0,79.0,327.0,155.0,0,365.0
5,EKP,Cefazolin_AB,99.0,23.0,0,48.0,465.0,112.0,0,270.0
6,EKP,Cefepime_AB,62.0,13.0,0,95.0,298.0,84.0,0,465.0
7,EKP,Cefotaxime_AB,24.0,10.0,0,136.0,123.0,53.0,0,671.0
8,EKP,Cefpodoxime_AB,90.0,0.0,0,80.0,441.0,6.0,0,400.0
9,EKP,Ceftazidime-avibactam_AB,110.0,20.0,0,40.0,546.0,93.0,0,208.0
10,EKP,Ceftazidime_AB,15.0,43.0,0,112.0,90.0,215.0,0,542.0
11,EKP,Ceftolozane-tazobactam_AB,114.0,5.0,0,51.0,570.0,23.0,0,254.0
12,EKP,Ceftriaxone_AB,65.0,3.0,0,102.0,323.0,29.0,0,495.0
13,EKP,Cefuroxime_AB,48.0,37.0,0,85.0,249.0,183.0,0,415.0
14,EKP,Ciprofloxacin_AB,28.0,21.0,0,121.0,142.0,84.0,0,621.0
15,EKP,Colistin_AB,116.0,44.0,0,10.0,591.0,216.0,0,40.0
16,EKP,Doripenem_AB,127.0,33.0,0,10.0,640.0,159.0,0,48.0
17,EKP,Ertapenem_AB,63.0,32.0,0,75.0,292.0,130.0,0,425.0
18,EKP,Gentamicin_AB,33.0,67.0,0,70.0,149.0,361.0,0,337.0
19,EKP,Imipenem_AB,68.0,38.0,0,64.0,310.0,186.0,0,351.0
20,EKP,Levofloxacin_AB,84.0,34.0,0,52.0,406.0,161.0,0,280.0
21,EKP,Meropenem_AB,32.0,65.0,0,73.0,179.0,289.0,0,379.0
22,EKP,Piperacillin-tazobactam_AB,54.0,35.0,0,81.0,289.0,179.0,0,379.0
23,EKP,Piperacillin_AB,138.0,2.0,0,30.0,694.0,11.0,0,142.0
24,EKP,Tigecycline_AB,26.0,16.0,0,128.0,160.0,96.0,0,591.0
25,EKP,Tobramycin_AB,61.0,41.0,0,68.0,338.0,188.0,0,321.0
26,EKP,Trimethoprim-sulfamethoxazole_AB,51.0,0.0,0,119.0,264.0,6.0,0,577.0
27,EKP,Trimethoprim_AB,161.0,4.0,0,5.0,806.0,18.0,0,23.0
