,Meropenem_AB,Ertapenem_AB,Tobramycin_AB,Tigecycline_AB,Piperacillin-tazobactam_AB,Cefotaxime_AB,Amoxicillin-clavulanic acid_AB,Ampicillin_AB,Gentamicin_AB,Amikacin_AB,Ceftriaxone_AB,Cefepime_AB,Trimethoprim_AB,Trimethoprim-sulfamethoxazole_AB,Ciprofloxacin_AB,Ceftazidime_AB,Aztreonam_AB,Ceftolozane-tazobactam_AB,Cefuroxime_AB,Imipenem_AB,Ampicillin-sulbactam_AB,Ceftazidime-avibactam_AB,Cefazolin_AB,Levofloxacin_AB,Organism_Code
Amikacin_AB,0.011708931701354487,0.00846398997560886,0.07761518781128272,0.011944832563550604,0.015005706848217809,0.00787517051111469,0.007923125212462094,0.018155834583084597,0.07946114429752374,0.5488407001755222,0.011090282308344584,0.013746767979749726,0.0009251864410560879,0.023897950314612,0.01712088375862399,0.01972030358118952,0.045220197541174845,0.004797738754610235,0.010155950927183102,0.01971831180215266,0.012953442431605273,0.004925227182550914,0.00992515993899095,0.018807973358434434,0.0
Amoxicillin-clavulanic acid_AB,0.015770072187183733,0.02643147592095094,0.016541439654328985,0.02161241855767478,0.08539482460899428,0.08637609011848196,0.1713921578744181,0.0050753769755296045,0.016686704401735707,0.013502456944469329,0.006208457067105666,0.22549866676512598,0.10161263117016156,0.047954679429755495,0.01136226388198296,0.0792223094286034,0.017604025329174794,0.0,0.03056361842929318,0.008027342422678009,0.0,0.0,0.005032067131551956,0.008130921700799485,0.0
Ampicillin-sulbactam_AB,0.01052496668424802,0.020974272085289302,0.01307833341693272,0.0068442716625111135,0.06883249556621066,0.030401658709417433,0.0,0.006504100861143898,0.013035783745974725,0.00890241561424847,0.01600378310086532,0.01775718286645926,0.0,0.011218190376853995,0.015731786016047203,0.02969316783760021,0.06691630028075315,0.009801838373118828,0.07587437947771676,0.009044751727680572,0.3797159107374899,0.010923183619501835,0.162765535960687,0.015455691279249634,0.0
Ampicillin_AB,0.0142596960466593,0.005385012423475588,0.012405760173626938,0.005346930656755908,0.16945619929186445,0.03910883028722716,0.006880160970599315,0.14437077175439594,0.0011380797589140039,0.00521398760556454,0.025388731105312028,0.005447500480917286,0.02070561337682872,0.08883050612265556,0.0018356278688046806,0.19324953768133185,0.0754690661500457,0.031828970336252996,0.030585028786972633,0.022560765637663557,0.028346180689742644,0.008726835844145726,0.02463780798034644,0.038822398969897094,0.0
Aztreonam_AB,0.018938556524423972,0.007911384465113427,0.05148141930112418,0.01189027958145714,0.0227379066914876,0.01710045831179423,0.004906225637113751,0.006894911604802292,0.01783129386100104,0.024217047989135473,0.016354506989494054,0.03938555326251588,0.010790624693115675,0.01721672069237587,0.016546277714640203,0.24347969959067506,0.29853972613622726,0.0057625175751558275,0.04634767160090006,0.023551530669019074,0.01760196998126734,0.007325552069969801,0.059890649107664916,0.013297515949526013,0.0
Cefazolin_AB,0.00624403986997662,0.008246986158959142,0.020149039654150484,0.008178777806737616,0.005718464493531894,0.020001320189399534,8.449945043797643e-06,0.003070667409048801,0.019966675623367344,0.0053844198353160885,0.02223097349581602,0.005943062129075007,0.0,0.01127136615406328,0.0063202839783142225,0.18744380291813145,0.05565042426610542,0.0062289395271319485,0.1227646291741602,0.009444138717991976,0.0118968774726083,0.006171585388318993,0.453691854490351,0.003973221302400935,0.0
Cefepime_AB,0.03557336016784985,0.013432840694400438,0.051234917155137324,0.025583131788401398,0.058891984247466694,0.01867985778798696,0.024723262143144728,0.015868004486890262,0.028732992057394574,0.03510582951881214,0.020051075654159457,0.28290814047744156,0.023282652806705308,0.05090377017494452,0.028583732486096768,0.019292906953471613,0.043380119821874716,0.03228599821207612,0.02225344702842317,0.043731812474727585,0.028858159199883267,0.05114493206135536,0.02123652452309946,0.024260548078256713,0.0
Cefotaxime_AB,0.00505960609433791,0.005422301538196535,0.04560462496003288,0.023301377074702992,0.06113064788720189,0.01647922555427899,0.04895452738507981,0.0033845882989547776,0.011046333777079548,0.008288450081100582,0.04773638701068035,0.32744651552633874,0.013748354319869243,0.04325702351136548,0.03092162505183505,0.013851478931810577,0.07436739498527672,0.047883096934614684,0.05568819722027855,0.02306314833621839,0.006135019962594931,0.0483545137212123,0.034171155156947484,0.0047044066799915955,0.0
Ceftazidime-avibactam_AB,0.024072033994470957,0.04376058726375565,0.042631894780416305,0.011194723287072047,0.03348200871386671,0.013856485511514692,0.0,0.012096394429326267,0.1008906662125727,0.011541510015441488,0.028890061774220866,0.03434702180887246,0.0,0.010185295976497723,0.016112048692104943,0.01477413793743464,0.01542159459983471,0.023571484038787924,0.01810728945788761,0.03415854810664143,0.01243384308827853,0.46080931003671677,0.019780743346943803,0.017882316927342035,0.0
Ceftazidime_AB,0.010848208809058006,0.03173882774287107,0.024194282487323932,0.011494444207953959,0.023864884613656774,0.015125163104185093,0.007177764116741391,0.009274870269959597,0.014326953055132135,0.008124900112494206,0.016313247084695545,0.01429319570821264,0.007297576613871077,0.00896311726030814,0.010408725426295307,0.4185158175720334,0.18288456217719623,0.009749681292900911,0.03274095188525624,0.013937553870049909,0.018561581093013618,0.018170612722680897,0.0763738820887015,0.015619196685408395,0.0
Ceftolozane-tazobactam_AB,0.01543198600479737,0.12858124198259221,0.007278973088381088,0.004838130975301985,0.019646142507409998,0.014559488317686348,0.0,0.02407716358508908,0.016466366165661363,0.023474583476618373,0.06834411312545284,0.016252738813048784,0.0,0.005334346640033304,0.020416559150868888,0.007819350169018467,0.012360215791025881,0.47942501732352605,0.04757631320434949,0.019120066407513205,0.00986807803362362,0.015793938658980967,0.02871607968310119,0.014619106895919616,0.0
Ceftriaxone_AB,0.007291101735371818,0.03955453771019142,0.012467349226902298,0.018832415849058835,0.08216064606214728,0.06779853023879329,0.0016563632094698298,0.0027794852185843424,0.008433431478985466,0.018248497418083952,0.015936317340099013,0.022758018635205057,0.0002513484649950388,0.05138657455486737,0.018678679994011266,0.1270700704758297,0.028256545073976416,0.058958519714555,0.14723186779872488,0.021297037088323797,0.05303859122985262,0.023393533706267074,0.16265732608020317,0.009863211695501094,0.0
Cefuroxime_AB,0.007003431453315874,0.007065321932035712,0.020631574859972475,0.014370317303755261,0.005456316062098992,0.022673948386902742,0.008760844853968889,0.006392380149933846,0.011555185342641688,0.006631588878103469,0.01660662752312997,0.00624812085395851,0.0007187335020263986,0.008713241014206348,0.00747226243137892,0.16004309759809426,0.06073434373298972,0.010056587128829604,0.41662833778373615,0.004755587764660449,0.014073801351981673,0.005878276195175777,0.1699082256802765,0.007621848216826779,0.0
