Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Meropenem_AB,0.9941176470588236,0.9996807151979565,0.9995871253755966,0.990909090909091,0.9956896551724138,0.9932483418721951,0.5882352941176471,0.0,54.0,0.0,116.0,295.0,0.0,553.0
Ertapenem_AB,0.9876543209876543,0.9971109399075501,0.9953552850900257,0.9782608695652174,0.9915254237288136,0.9846153846153847,1.2345679012345678,0.0,44.0,0.0,118.0,230.0,0.0,580.0
Tobramycin_AB,0.9785714285714285,0.9988435660218671,0.9987041669707752,0.9791798774043543,0.9766610597140455,0.9778656126482214,0.7142857142857143,1.4285714285714286,58.0,0.0,82.0,266.0,0.0,426.0
Tigecycline_AB,0.9710144927536232,0.9666666666666666,0.6635023039866895,0.48905109489051096,0.4962962962962963,0.49264705882352944,0.7246376811594203,2.1739130434782608,3.0,0.0,135.0,18.0,0.0,665.0
Piperacillin-tazobactam_AB,0.9645390070921985,0.9970878136200716,0.9962002759286906,0.9680555555555556,0.9529569892473118,0.9598907663423792,0.7092198581560284,2.8368794326241136,48.0,0.0,93.0,226.0,0.0,467.0
Cefotaxime_AB,0.9861111111111112,1.0,1.0,0.9927007299270073,0.8888888888888888,0.9338235294117647,0.0,1.3888888888888888,9.0,0.0,135.0,40.0,0.0,672.0
Amoxicillin-clavulanic acid_AB,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0,36.0,39.0,0.0,195.0
Ampicillin_AB,0.9937106918238994,1.0,0.9999999999999999,0.9967532467532467,0.9166666666666667,0.9529167900503406,0.0,0.628930817610063,6.0,0.0,153.0,27.0,0.0,759.0
Gentamicin_AB,0.9705882352941176,0.9950110864745012,0.9950855210913121,0.9705882352941176,0.9711751662971175,0.9705790730677373,0.5882352941176471,2.3529411764705883,88.0,0.0,82.0,426.0,0.0,422.0
Amikacin_AB,0.9882352941176471,0.9976366042730196,0.9955109393584187,0.9767441860465116,0.9922480620155039,0.9841889880952381,0.0,1.1764705882352942,129.0,0.0,41.0,618.0,0.0,230.0
Ceftriaxone_AB,0.9913793103448276,1.0,1.0,0.9955357142857143,0.9,0.9422022919780767,0.0,0.8620689655172413,5.0,0.0,111.0,16.0,0.0,526.0
Cefepime_AB,0.9785714285714285,0.9964763918252291,0.9835965346548174,0.9423076923076923,0.9052149400986611,0.9227799227799227,0.7142857142857143,1.4285714285714286,11.0,0.0,129.0,99.0,0.0,593.0
Trimethoprim_AB,0.9230769230769231,1.0,0.9999999999999999,0.9285714285714286,0.9285714285714286,0.9230769230769231,0.0,7.6923076923076925,7.0,0.0,6.0,25.0,0.0,54.0
Ciprofloxacin_AB,0.9882352941176471,0.9995941558441559,0.998140817910742,0.9935897435897436,0.9375,0.9634408602150537,0.0,1.1764705882352942,16.0,0.0,154.0,84.0,0.0,764.0
Ceftazidime_AB,0.9664429530201343,0.9987684729064039,0.9985949861518115,0.9739583333333333,0.9568965517241379,0.9641084935202582,0.0,3.3557046979865772,58.0,0.0,91.0,245.0,0.0,492.0
Aztreonam_AB,0.9710144927536232,0.9966046002190581,0.9964976323756964,0.9770114942528736,0.9636363636363636,0.9693673695893452,0.0,2.898550724637681,55.0,0.0,83.0,232.0,0.0,426.0
Ceftolozane-tazobactam_AB,0.9900990099009901,0.9963768115942029,0.9811555357798685,0.95,0.9945652173913043,0.9709519700891573,0.9900990099009901,0.0,9.0,0.0,92.0,38.0,0.0,430.0
Cefuroxime_AB,0.9477611940298507,0.9974358974358974,0.9962251644248357,0.9552941176470588,0.9178137651821863,0.93410607657183,0.7462686567164178,4.477611940298507,39.0,0.0,95.0,161.0,0.0,487.0
Imipenem_AB,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,21.0,0.0,107.0,102.0,0.0,503.0
Ampicillin-sulbactam_AB,0.9727272727272728,0.999409681227863,0.9989666177977867,0.98125,0.9545454545454546,0.9666363360630876,0.0,2.727272727272727,33.0,0.0,77.0,149.0,0.0,365.0
Ceftazidime-avibactam_AB,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,29.0,0.0,72.0,130.0,0.0,338.0
Cefazolin_AB,0.9743589743589743,0.9988636363636364,0.9984439113375803,0.98125,0.9625,0.9709653403920919,0.0,2.564102564102564,40.0,0.0,77.0,185.0,0.0,388.0
Levofloxacin_AB,0.9916666666666667,0.9996743731683491,0.9995726657901673,0.986842105263158,0.9939759036144578,0.9903030303030302,0.8333333333333334,0.0,37.0,0.0,83.0,186.0,0.0,393.0
Median,0.9861111111111112,0.9988636363636364,0.9985949861518115,0.9791798774043543,0.9625,0.9693673695893452,0.0,1.3888888888888888,,,,,,
