,Meropenem_AB,Ertapenem_AB,Tobramycin_AB,Tigecycline_AB,Piperacillin-tazobactam_AB,Cefotaxime_AB,Amoxicillin-clavulanic acid_AB,Ampicillin_AB,Gentamicin_AB,Amikacin_AB,Ceftriaxone_AB,Cefepime_AB,Trimethoprim_AB,Ciprofloxacin_AB,Ceftazidime_AB,Aztreonam_AB,Ceftolozane-tazobactam_AB,Cefuroxime_AB,Imipenem_AB,Ampicillin-sulbactam_AB,Ceftazidime-avibactam_AB,Cefazolin_AB,Levofloxacin_AB,Organism_Code
Amikacin_AB,0.014751438001597152,0.01706067914799104,0.10678820001758826,0.011854763659110343,0.0147458044105135,0.008528412140270385,0.009422658774328293,0.030557707114683818,0.03190634952857346,0.5997266652971546,0.014932944155465668,0.012072451950373524,0.004773928757773993,0.010904322075760618,0.030542814624173693,0.039721013619902844,0.002213596905854769,0.007443179710371979,0.0074878062716115055,0.004176335087747932,0.003091269489883056,0.009598638806663229,0.007699020452606391,0.0
Amoxicillin-clavulanic acid_AB,0.0096096076427824,0.017117264658988024,0.03687134622591171,0.01334200311503516,0.2020034441311559,0.038706206670386614,0.18240532372956886,0.0574482734471976,0.023469430416652608,0.014829203440378674,0.00438507764865751,0.04069022631774846,0.0664290507270727,0.022383679328226568,0.1623720042476406,0.06205665665265522,0.0,0.0227864885335805,0.00019288550049062367,0.0,0.0,0.006483932568112726,0.016417894997757438,0.0
Ampicillin-sulbactam_AB,0.006198096110520144,0.006923206191258212,0.005245796904377395,0.007575972739965442,0.08718726149374104,0.00856004135535467,0.0,0.002752916474592626,0.008033216944004738,0.015513969601795716,0.0031970351494772942,0.011265500728717688,0.0,0.00530369363624522,0.03204453871081068,0.013634560022463639,0.006655662739536749,0.10359605605700137,0.005346688603495546,0.5626874360282381,0.0037515012662566434,0.098908030614595,0.005618818627552029,0.0
Ampicillin_AB,0.007775182256811003,0.023388704206703158,0.008296268478759718,0.0008195023323276544,0.19690877514778546,0.08940547672096955,0.014705886526974781,0.3514544065600933,0.008649359510962698,0.00317325206028367,0.004342776051873544,0.013990135706088341,0.015386799806509133,0.0057671584289647,0.07597343800538922,0.014287745524893548,0.022113870030906348,0.03226368237670882,0.030746908991376734,0.018979911095996928,0.006112718404743526,0.047010441796865775,0.008447599978012303,0.0
Aztreonam_AB,0.008404851657599088,0.013096441526067308,0.06388492159906775,0.006535713243063504,0.00974855425360098,0.011260067539059934,0.00824072937780171,0.0074555060681496185,0.005892784633027894,0.00745271535896579,0.007205548655885829,0.01720111568696527,0.011881435252579498,0.004492933210140529,0.3383874418576626,0.3849392246892915,0.003743853310660848,0.03049809877842825,0.007751568739751667,0.01088832424956581,0.003007277527289286,0.03480415296895635,0.003226739816418904,0.0
Cefazolin_AB,0.004108870168207459,0.0044896001146308585,0.028574790316381368,0.004140832592651937,0.00453686501260762,0.06339824246744473,8.51900569580309e-05,0.002610226171039935,0.025292227053892898,0.00938577472419308,0.005672102472790973,0.0034075998845441292,0.0,0.006752287116305732,0.15577069760815077,0.009505942616547254,0.0035282731527856905,0.08397542114530984,0.0075618665247440585,0.009216122779313928,0.0027959425691387613,0.5617110109330397,0.0034801145193212044,0.0
Cefepime_AB,0.010797413779007194,0.018451784520169105,0.013306904246156662,0.032220346276369626,0.010934698228911577,0.013708897061527565,0.1010632314171781,0.009414646359511166,0.006129943629385334,0.013847483935657491,0.010265104351679493,0.5740051324433073,0.031678000150527214,0.0124634664609846,0.011243793873856427,0.033540349288030624,0.006259772352443259,0.026300451332987786,0.008459766817317907,0.017465635112392207,0.00943006167751331,0.02343165605525501,0.005581460629831123,0.0
Cefotaxime_AB,0.005020424186894124,0.016162611060167087,0.08229161584225772,0.02027577394807257,0.0757757882098598,0.053471472644410135,0.06133054017141707,0.00885112861416653,0.010006160395103339,0.024900612496789154,0.020284499046885472,0.34251775539899876,0.015664030215108506,0.006542084617716349,0.012516724498459251,0.06885222096268147,0.015957158942282952,0.1025844282832798,0.0056972908004205725,0.00303612656259202,0.01945162825296614,0.026544427065826104,0.002265497783645134,0.0
Ceftazidime-avibactam_AB,0.013989777288154918,0.02038104423383581,0.003847259566055909,0.019049283785242753,0.06914407470337289,0.0074253677077611635,0.0,0.0029829312534313214,0.044476076335413894,0.012456024213137582,0.003961604680473517,0.010983392224204237,0.0,0.007821961179559623,0.005284435703763546,0.0108977382347421,0.017455095823033208,0.028308404221378758,0.019538162371653994,0.012631135525440939,0.6745526378671725,0.0036331282147443363,0.011180464867427103,0.0
Ceftazidime_AB,0.007093534312113883,0.009131396401619444,0.0376672127984704,0.005814274605443934,0.010288346999025151,0.008588714206794173,0.011661463459102477,0.01440855676491529,0.010147723018130826,0.012099372866859314,0.004510257118790414,0.010615364746121497,0.006840355778831584,0.006004377224380093,0.527512202636824,0.18757021042870936,0.00410523224473625,0.02315897377217064,0.0030490438870840984,0.020595435482719963,0.006761394981996738,0.06241963258796347,0.009956923677197065,0.0
