,Organism_Code,Antibiotic,Test_Count_NA,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_NA,Train_Count_S,Train_Count_I,Train_Count_R
0,EKP,Amikacin_AB,47.0,88.0,0,35.0,199.0,458.0,0,191.0
1,EKP,Amoxicillin-clavulanic acid_AB,112.0,10.0,0,48.0,558.0,41.0,0,249.0
2,EKP,Ampicillin-sulbactam_AB,82.0,18.0,0,70.0,406.0,107.0,0,335.0
3,EKP,Ampicillin_AB,59.0,3.0,0,108.0,288.0,15.0,0,545.0
4,EKP,Aztreonam_AB,69.0,25.0,0,76.0,339.0,161.0,0,348.0
5,EKP,Cefazolin_AB,100.0,20.0,0,50.0,480.0,115.0,0,253.0
6,EKP,Cefepime_AB,62.0,13.0,0,95.0,304.0,73.0,0,471.0
7,EKP,Cefotaxime_AB,21.0,13.0,0,136.0,126.0,51.0,0,671.0
8,EKP,Cefpodoxime_AB,93.0,1.0,0,76.0,458.0,7.0,0,383.0
9,EKP,Ceftazidime-avibactam_AB,115.0,17.0,0,38.0,550.0,91.0,0,207.0
10,EKP,Ceftazidime_AB,22.0,40.0,0,108.0,93.0,223.0,0,532.0
11,EKP,Ceftolozane-tazobactam_AB,119.0,2.0,0,49.0,572.0,21.0,0,255.0
12,EKP,Ceftriaxone_AB,80.0,4.0,0,86.0,356.0,23.0,0,469.0
13,EKP,Cefuroxime_AB,43.0,36.0,0,91.0,238.0,188.0,0,422.0
14,EKP,Ciprofloxacin_AB,38.0,20.0,0,112.0,169.0,77.0,0,602.0
15,EKP,Colistin_AB,130.0,34.0,0,6.0,624.0,188.0,0,36.0
16,EKP,Doripenem_AB,138.0,29.0,0,3.0,675.0,144.0,0,29.0
17,EKP,Ertapenem_AB,62.0,28.0,0,80.0,301.0,133.0,0,414.0
18,EKP,Gentamicin_AB,31.0,73.0,0,66.0,166.0,351.0,0,331.0
19,EKP,Imipenem_AB,72.0,35.0,0,63.0,336.0,174.0,0,338.0
20,EKP,Levofloxacin_AB,89.0,26.0,0,55.0,408.0,157.0,0,283.0
21,EKP,Meropenem_AB,43.0,57.0,0,70.0,201.0,277.0,0,370.0
22,EKP,Piperacillin-tazobactam_AB,58.0,43.0,0,69.0,302.0,190.0,0,356.0
23,EKP,Piperacillin_AB,140.0,1.0,0,29.0,702.0,9.0,0,137.0
24,EKP,Tigecycline_AB,42.0,14.0,0,114.0,191.0,68.0,0,589.0
25,EKP,Tobramycin_AB,68.0,37.0,0,65.0,363.0,189.0,0,296.0
26,EKP,Trimethoprim-sulfamethoxazole_AB,59.0,1.0,0,110.0,315.0,4.0,0,529.0
27,EKP,Trimethoprim_AB,164.0,3.0,0,3.0,807.0,12.0,0,29.0
