,Organism_Code,Antibiotic,Test_Count_NA,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_NA,Train_Count_S,Train_Count_I,Train_Count_R
0,EKP,Amikacin_AB,36.0,94.0,0,40.0,197.0,460.0,0,191.0
1,EKP,Amoxicillin-clavulanic acid_AB,115.0,6.0,0,49.0,556.0,33.0,0,259.0
2,EKP,Ampicillin-sulbactam_AB,76.0,15.0,0,79.0,397.0,97.0,0,354.0
3,EKP,Ampicillin_AB,53.0,6.0,0,111.0,292.0,13.0,0,543.0
4,EKP,Aztreonam_AB,58.0,23.0,0,89.0,341.0,138.0,0,369.0
5,EKP,Cefazolin_AB,95.0,20.0,0,55.0,478.0,105.0,0,265.0
6,EKP,Cefepime_AB,54.0,17.0,0,99.0,278.0,88.0,0,482.0
7,EKP,Cefotaxime_AB,23.0,7.0,0,140.0,136.0,50.0,0,662.0
8,EKP,Cefpodoxime_AB,87.0,0.0,0,83.0,453.0,7.0,0,388.0
9,EKP,Ceftazidime-avibactam_AB,108.0,22.0,0,40.0,557.0,93.0,0,198.0
10,EKP,Ceftazidime_AB,20.0,37.0,0,113.0,81.0,200.0,0,567.0
11,EKP,Ceftolozane-tazobactam_AB,115.0,3.0,0,52.0,581.0,20.0,0,247.0
12,EKP,Ceftriaxone_AB,69.0,4.0,0,97.0,330.0,26.0,0,492.0
13,EKP,Cefuroxime_AB,45.0,34.0,0,91.0,246.0,172.0,0,430.0
14,EKP,Ciprofloxacin_AB,34.0,15.0,0,121.0,156.0,71.0,0,621.0
15,EKP,Colistin_AB,122.0,43.0,0,5.0,606.0,213.0,0,29.0
16,EKP,Doripenem_AB,131.0,33.0,0,6.0,660.0,156.0,0,32.0
17,EKP,Ertapenem_AB,47.0,27.0,0,96.0,281.0,144.0,0,423.0
18,EKP,Gentamicin_AB,26.0,79.0,0,65.0,162.0,351.0,0,335.0
19,EKP,Imipenem_AB,64.0,34.0,0,72.0,356.0,160.0,0,332.0
20,EKP,Levofloxacin_AB,80.0,36.0,0,54.0,407.0,163.0,0,278.0
21,EKP,Meropenem_AB,36.0,56.0,0,78.0,184.0,288.0,0,376.0
22,EKP,Piperacillin-tazobactam_AB,63.0,33.0,0,74.0,305.0,182.0,0,361.0
23,EKP,Piperacillin_AB,139.0,2.0,0,29.0,693.0,10.0,0,145.0
24,EKP,Tigecycline_AB,39.0,19.0,0,112.0,179.0,82.0,0,587.0
25,EKP,Tobramycin_AB,61.0,37.0,0,72.0,333.0,192.0,0,323.0
26,EKP,Trimethoprim-sulfamethoxazole_AB,55.0,0.0,0,115.0,279.0,6.0,0,563.0
27,EKP,Trimethoprim_AB,156.0,5.0,0,9.0,801.0,13.0,0,34.0
