Target,EKP
Amikacin_AB,0.9765411893071467
Amoxicillin-clavulanic acid_AB,0.9090909090909092
Ampicillin-sulbactam_AB,0.9333333333333333
Ampicillin_AB,0.8
Aztreonam_AB,0.993421052631579
Cefazolin_AB,0.9895833333333333
Cefepime_AB,0.8928571428571428
Cefotaxime_AB,0.9
Ceftazidime-avibactam_AB,1.0
Ceftazidime_AB,1.0
Ceftolozane-tazobactam_AB,0.8333333333333333
Ceftriaxone_AB,1.0
Cefuroxime_AB,0.9683348779734322
Ciprofloxacin_AB,0.9645833333333333
Colistin_AB,0.7
Doripenem_AB,1.0
Ertapenem_AB,0.9626969416126043
Gentamicin_AB,0.9706851119894598
Imipenem_AB,1.0
Levofloxacin_AB,1.0
Meropenem_AB,0.9772267206477733
Piperacillin-tazobactam_AB,0.9356107660455486
Piperacillin_AB,0.5
Tigecycline_AB,0.7929505135387489
Tobramycin_AB,0.9861111111111112
Trimethoprim_AB,0.8571428571428572
Median,0.9664591056533828
