,Organism_Code,Antibiotic,Test_Count_NA,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_NA,Train_Count_S,Train_Count_I,Train_Count_R
0,EKP,Amikacin_AB,0.0,117.0,0,53.0,0.0,605.0,0,243.0
1,EKP,Amoxicillin-clavulanic acid_AB,140.0,4.0,0,26.0,714.0,21.0,0,113.0
2,EKP,Ampicillin-sulbactam_AB,47.0,14.0,0,109.0,194.0,91.0,0,563.0
3,EKP,Ampicillin_AB,9.0,2.0,0,159.0,42.0,14.0,0,792.0
4,EKP,Aztreonam_AB,28.0,31.0,0,111.0,116.0,167.0,0,565.0
5,EKP,Cefazolin_AB,39.0,18.0,0,113.0,167.0,109.0,0,572.0
6,EKP,Cefepime_AB,30.0,33.0,0,107.0,110.0,174.0,0,564.0
7,EKP,Cefotaxime_AB,94.0,6.0,0,70.0,452.0,21.0,0,375.0
8,EKP,Ceftazidime-avibactam_AB,128.0,11.0,0,31.0,594.0,72.0,0,182.0
9,EKP,Ceftazidime_AB,17.0,25.0,0,128.0,69.0,159.0,0,620.0
10,EKP,Ceftolozane-tazobactam_AB,128.0,3.0,0,39.0,594.0,24.0,0,230.0
11,EKP,Ceftriaxone_AB,43.0,5.0,0,122.0,184.0,40.0,0,624.0
12,EKP,Cefuroxime_AB,31.0,19.0,0,120.0,134.0,107.0,0,607.0
13,EKP,Ciprofloxacin_AB,0.0,14.0,0,156.0,0.0,89.0,0,759.0
14,EKP,Ertapenem_AB,79.0,29.0,0,62.0,390.0,127.0,0,331.0
15,EKP,Gentamicin_AB,0.0,77.0,0,93.0,0.0,397.0,0,451.0
16,EKP,Imipenem_AB,33.0,71.0,0,66.0,137.0,326.0,0,385.0
17,EKP,Levofloxacin_AB,38.0,30.0,0,102.0,158.0,179.0,0,511.0
18,EKP,Meropenem_AB,0.0,113.0,0,57.0,0.0,535.0,0,313.0
19,EKP,Piperacillin-tazobactam_AB,24.0,29.0,0,117.0,92.0,170.0,0,586.0
20,EKP,Tigecycline_AB,100.0,3.0,0,67.0,468.0,10.0,0,370.0
21,EKP,Tobramycin_AB,24.0,42.0,0,104.0,93.0,265.0,0,490.0
22,EKP,Trimethoprim-sulfamethoxazole_AB,14.0,9.0,0,147.0,51.0,63.0,0,734.0
23,EKP,Trimethoprim_AB,160.0,3.0,0,7.0,804.0,14.0,0,30.0
