,Meropenem_AB,Ertapenem_AB,Tobramycin_AB,Tigecycline_AB,Piperacillin-tazobactam_AB,Cefotaxime_AB,Amoxicillin-clavulanic acid_AB,Ampicillin_AB,Gentamicin_AB,Amikacin_AB,Ceftriaxone_AB,Cefepime_AB,Trimethoprim_AB,Trimethoprim-sulfamethoxazole_AB,Ciprofloxacin_AB,Ceftazidime_AB,Aztreonam_AB,Ceftolozane-tazobactam_AB,Cefuroxime_AB,Imipenem_AB,Ampicillin-sulbactam_AB,Ceftazidime-avibactam_AB,Cefazolin_AB,Levofloxacin_AB,Organism_Code
Amikacin_AB,0.012311312239102912,0.01345963308168341,0.09036488143308016,0.004521491818969978,0.01779430554005082,0.0046166928141715,0.007343413102326965,0.022691443734802988,0.046162600218307745,0.5744044676227549,0.010315375777750983,0.015577948152901235,0.0018696729827249437,0.019035083025215595,0.01132143035641347,0.014453402947930181,0.04381272945893054,0.002643780130341059,0.00961336321170024,0.02479974060735951,0.010800930498956892,0.002930595889462901,0.011549879127804804,0.02760582622725645,0.0
Amoxicillin-clavulanic acid_AB,0.016484691278414794,0.02557006367870479,0.024386930163874686,0.017677858802901295,0.0564640769581683,0.049470431857234154,0.16591110609103893,0.047436527024868586,0.034248641008603344,0.011539802694922632,0.007450336445171896,0.12137403641186915,0.049528028043544836,0.04474929552228202,0.017310499509836836,0.18841502081396286,0.04761036671136888,0.0,0.051312667721801805,0.004520378845451113,0.0,0.0,0.009177920319430105,0.009361320096549105,0.0
Ampicillin-sulbactam_AB,0.004875166380229532,0.012850839173971205,0.007740212503433938,0.00831146117696752,0.12804160450982188,0.020427005564192694,0.0,0.00565306010928378,0.006330105073150008,0.006820062372997836,0.00892480986348756,0.013294658426288745,0.0,0.014566456186284087,0.010039733695728935,0.05811335962050415,0.019858167288572717,0.01926187004809169,0.11624046033978493,0.007232850716288024,0.449451025060709,0.01512423057794433,0.057489793976347195,0.00935306733592021,0.0
Ampicillin_AB,0.010421047852354369,0.00604305220971359,0.028520333605857536,0.0002922748023491237,0.21309330598919257,0.022240975480447133,0.001355727373428903,0.08296083049954853,0.02026187859631165,0.0014103212621798425,0.03268169247830843,0.008174244769876982,0.005712455438906611,0.035698017171069296,0.0070786971161466,0.22315601971615326,0.015093079341143453,0.02048394102905335,0.08387987760737331,0.061233590662596676,0.016274931481553515,0.0239924032822582,0.055665245990004,0.024276056244173123,0.0
Aztreonam_AB,0.012386824207121734,0.008216328190226808,0.041311539259292054,0.00490159996662364,0.025662809108515053,0.013954748181327454,0.004833907628243172,0.015286713768676172,0.019914643439810267,0.02016421277112551,0.02310551444594497,0.04319898553963054,0.004430055556612626,0.021497562999027213,0.014597432125364077,0.27460469723204717,0.26899042385148786,0.005537601163822259,0.06595163624417741,0.026372359154133974,0.014617184387225576,0.008795284486757,0.043487151261240795,0.018180785031566733,0.0
Cefazolin_AB,0.0062400957990801755,0.009103835305409366,0.014505054971992469,0.004161916138987544,0.008548060987950834,0.022525747065038362,5.4739441724169434e-06,0.003638394879789032,0.014653799098700909,0.0043268434058635515,0.00844315235117487,0.00696324850947026,0.0,0.008376979283892009,0.0241593197336695,0.20610405538199209,0.040631732935853856,0.01220939309069504,0.11643539194849106,0.014024455166353868,0.01514701925305056,0.006488111720695863,0.446555644647566,0.00675227438011038,0.0
Cefepime_AB,0.02281464964727356,0.008473079618173635,0.04350859661429825,0.026316423748606148,0.03843031134934177,0.0260092784245572,0.01699121522824255,0.01749990555495699,0.0352401635787684,0.03995617917889818,0.020026514462756394,0.29439442514150616,0.009672244949965686,0.038864385655176886,0.01976941374621632,0.025722440824397605,0.07066609232179098,0.04530112206354632,0.038020641609003133,0.03754493857250671,0.02414245816761953,0.06136859816602795,0.022086598830252338,0.01718032254611729,0.0
Cefotaxime_AB,0.005200477413759793,0.0109414119901202,0.03816520211377096,0.02815504793619711,0.05391450255704999,0.012686446727073534,0.043209433962462386,0.029479508927297067,0.0035508812060318674,0.007426780901823007,0.0651030537647456,0.3627027738029012,0.015066902055582858,0.008109398944875053,0.008851161150205455,0.01634630930788104,0.05342273154213899,0.0723742665675392,0.05824782598524539,0.014672031365329428,0.0028193719629022534,0.05909031766324692,0.012337591466736946,0.018126570685083714,0.0
Ceftazidime-avibactam_AB,0.020725580468527738,0.023200494532589627,0.01670639090474963,0.008369327940455844,0.05121569554101679,0.005159994068207606,0.0,0.004264235399074678,0.05757707551769174,0.011301697895942202,0.01199681526476545,0.020791887300461057,0.0,0.00861493558157678,0.010861911980527475,0.022004574185017695,0.0192283113919773,0.010937490171082049,0.06307250301025821,0.033488623722097474,0.010958646678401867,0.5743533861860761,0.006814610657434705,0.008355811602067983,0.0
Ceftazidime_AB,0.010867151388582111,0.022203510510741972,0.010338401136877388,0.007939011437472516,0.015317135866016282,0.00840906687610654,0.008145935034943909,0.009788408615115627,0.012899785172749147,0.014493568216784929,0.012860394600124812,0.009743919332251817,0.0026845981950746603,0.007930188842106663,0.008325325905967606,0.5016356847940723,0.14260223552643514,0.010749182799411783,0.04530136584700657,0.012518005387164115,0.01495271706729501,0.021012384701537427,0.07239825627401342,0.016883766472148457,0.0
