,Organism_Code,Antibiotic,Test_Count_NA,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_NA,Train_Count_S,Train_Count_I,Train_Count_R
0,EKP,Amikacin_AB,0.0,129.0,0,41.0,0.0,618.0,0,230.0
1,EKP,Amoxicillin-clavulanic acid_AB,127.0,7.0,0,36.0,614.0,39.0,0,195.0
2,EKP,Ampicillin-sulbactam_AB,60.0,33.0,0,77.0,334.0,149.0,0,365.0
3,EKP,Ampicillin_AB,11.0,6.0,0,153.0,62.0,27.0,0,759.0
4,EKP,Aztreonam_AB,32.0,55.0,0,83.0,190.0,232.0,0,426.0
5,EKP,Cefazolin_AB,53.0,40.0,0,77.0,275.0,185.0,0,388.0
6,EKP,Cefepime_AB,30.0,11.0,0,129.0,156.0,99.0,0,593.0
7,EKP,Cefotaxime_AB,26.0,9.0,0,135.0,136.0,40.0,0,672.0
8,EKP,Ceftazidime-avibactam_AB,69.0,29.0,0,72.0,380.0,130.0,0,338.0
9,EKP,Ceftazidime_AB,21.0,58.0,0,91.0,111.0,245.0,0,492.0
10,EKP,Ceftolozane-tazobactam_AB,69.0,9.0,0,92.0,380.0,38.0,0,430.0
11,EKP,Ceftriaxone_AB,54.0,5.0,0,111.0,306.0,16.0,0,526.0
12,EKP,Cefuroxime_AB,36.0,39.0,0,95.0,200.0,161.0,0,487.0
13,EKP,Ciprofloxacin_AB,0.0,16.0,0,154.0,0.0,84.0,0,764.0
14,EKP,Ertapenem_AB,8.0,44.0,0,118.0,38.0,230.0,0,580.0
15,EKP,Gentamicin_AB,0.0,88.0,0,82.0,0.0,426.0,0,422.0
16,EKP,Imipenem_AB,42.0,21.0,0,107.0,243.0,102.0,0,503.0
17,EKP,Levofloxacin_AB,50.0,37.0,0,83.0,269.0,186.0,0,393.0
18,EKP,Meropenem_AB,0.0,54.0,0,116.0,0.0,295.0,0,553.0
19,EKP,Piperacillin-tazobactam_AB,29.0,48.0,0,93.0,155.0,226.0,0,467.0
20,EKP,Tigecycline_AB,32.0,3.0,0,135.0,165.0,18.0,0,665.0
21,EKP,Tobramycin_AB,30.0,58.0,0,82.0,156.0,266.0,0,426.0
22,EKP,Trimethoprim_AB,157.0,7.0,0,6.0,769.0,25.0,0,54.0
