Antibiotic,S,R,Total
meropenem,295,553,848
ertapenem,230,580,810
tobramycin,266,426,692
tigecycline,18,665,683
piperacillin-tazobactam,226,467,693
cefotaxime,40,672,712
cefpodoxime,0,468,468
amoxicillin-clavulanic acid,39,195,234
ampicillin,27,759,786
gentamicin,426,422,848
amikacin,618,230,848
ceftriaxone,16,526,542
cefepime,99,593,692
trimethoprim,25,54,79
trimethoprim-sulfamethoxazole,0,751,751
ciprofloxacin,84,764,848
ceftazidime,245,492,737
sulfamethoxazole,0,10,10
aztreonam,232,426,658
ceftolozane-tazobactam,38,430,468
cefuroxime,161,487,648
Imipenem,102,503,605
ampicillin-sulbactam,149,365,514
ceftazidime-avibactam,130,338,468
cefazolin,185,388,573
levofloxacin,186,393,579
moxifloxacin,0,468,468
colistin,14,0,14
