Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.898,0.9293484102630666,0.905521690382604,0.8843533620932466,0.896874590514512,0.8895762519535833,6.533333333333333,3.666666666666667,104.6,0.0,195.4,104.6,0.0,195.4
Cefuroxime_AB,0.9447730634648913,0.9120822573325323,0.7794035572016625,0.7477118070240283,0.8385328274696576,0.7828100578016196,3.9111175777832505,1.6115760757276092,16.4,0.0,269.8,16.4,0.0,269.8
Cefotaxime_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cefpodoxime_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cefepime_AB,0.6606970733884191,0.6129967672388048,0.601549903518185,0.6730978662620801,0.5359718145331651,0.4807861147290141,2.1256637689775593,31.804628892180528,99.2,0.0,180.4,99.2,0.0,180.4
Gentamicin_AB,0.8806666666666668,0.9409058062039662,0.9271910131294516,0.879672069234217,0.8800407527314562,0.8794290576385976,6.466666666666667,5.466666666666667,134.0,0.0,166.0,134.0,0.0,166.0
Piperacillin-tazobactam_AB,0.8453333333333333,0.789705248352475,0.7007782016266088,0.7013834596754533,0.7045048710223769,0.7021224591661113,8.066666666666666,7.4,45.0,0.0,255.0,45.0,0.0,255.0
Doripenem_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tigecycline_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trimethoprim_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piperacillin_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aztreonam_AB,0.8896653029874508,0.7643949815659521,0.7338979516269069,0.7616192974546058,0.7625342257061309,0.7610575788502649,5.520895236175468,5.512574465079439,39.6,0.0,254.0,39.6,0.0,254.0
Ceftazidime_AB,0.9279999999999999,0.9243358339911101,0.8066057254056677,0.7658598481703166,0.8783141460046802,0.8068245931679445,5.666666666666667,1.5333333333333334,25.6,0.0,274.4,25.6,0.0,274.4
Ciprofloxacin_AB,0.9026666666666667,0.349204972727713,0.4753910508409295,0.45133333333333325,0.5,0.4744048455109455,0.0,9.733333333333333,29.2,0.0,270.8,29.2,0.0,270.8
Ceftazidime-avibactam_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imipenem_AB,0.36666666666666664,0.6529563854310201,0.6254347185183475,0.6211795385444917,0.5593903107889203,0.3385975219404779,0.33333333333333337,63.0,217.0,0.0,83.0,217.0,0.0,83.0
Meropenem_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceftolozane-tazobactam_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trimethoprim-sulfamethoxazole_AB,0.808,0.7560230608408661,0.6905166547631499,0.404,0.5,0.4468870710001272,0.0,19.2,57.6,0.0,242.4,57.6,0.0,242.4
Amoxicillin-clavulanic acid_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colistin_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ertapenem_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceftriaxone_AB,0.916,0.44842318905499245,0.5446237458526147,0.4583088071348941,0.49964028776978414,0.4780568356045361,0.06666666666666667,8.333333333333334,25.0,0.0,275.0,25.0,0.0,275.0
Levofloxacin_AB,0.8493333333333334,0.8711378991954808,0.8061772347371718,0.7940158504254585,0.6843631719491003,0.7120913349668343,3.5333333333333337,11.533333333333335,58.6,0.0,241.4,58.6,0.0,241.4
Ampicillin_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amikacin_AB,0.9106666666666665,0.9412572134079535,0.9296649813052877,0.9160444911090819,0.8536599017358111,0.877960563276641,7.333333333333333,1.6,218.6,0.0,81.4,218.6,0.0,81.4
Ampicillin-sulbactam_AB,0.9540000000000001,0.9410355140163492,0.7808499883136883,0.7552109347365003,0.8618970579911694,0.7946816866746209,3.4,1.2000000000000002,14.6,0.0,285.4,14.6,0.0,285.4
Cefazolin_AB,0.9480000000000001,0.9575969008641423,0.7847380350361022,0.7284550657628254,0.9205971303600613,0.7864540458924292,4.666666666666667,0.5333333333333334,13.6,0.0,286.4,13.6,0.0,286.4
Median,0.513681870027543,0.8834961488389466,0.9284481952435147,0.42766666666666664,0.49982014388489204,0.3866789137588794,0.0,0.7333333333333335,,,,,,
