Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.9026666666666667,0.9413230374392011,0.9295889583753152,0.8910209093402648,0.8990616118836107,0.8942190748658831,5.866666666666666,3.866666666666667,104.6,0.0,195.4,104.6,0.0,195.4
Cefuroxime_AB,0.9509825445505854,0.9625222874882798,0.7828006422464351,0.7714123420559171,0.8554172402063186,0.804397702744037,3.4344845901766057,1.4672609547648494,16.4,0.0,269.8,16.4,0.0,269.8
Cefepime_AB,0.7441256975898728,0.8016179727078914,0.7614457377520601,0.720645578366917,0.7129770752489237,0.7149358540760669,11.66225260053653,13.925177640476198,99.2,0.0,180.4,99.2,0.0,180.4
Gentamicin_AB,0.8726666666666667,0.9492591562339958,0.9473124369840068,0.8723393971815364,0.8722979527960476,0.8711822843134925,6.466666666666667,6.2666666666666675,134.0,0.0,166.0,134.0,0.0,166.0
Piperacillin-tazobactam_AB,0.8413333333333334,0.8275201132670643,0.7289097461723626,0.6930942962708446,0.7077234994180313,0.6986314841891851,8.666666666666666,7.2,45.0,0.0,255.0,45.0,0.0,255.0
Aztreonam_AB,0.9114234886917805,0.8041203761259823,0.7559366513157425,0.8241991788919283,0.766084245365646,0.7887886865237632,3.072263411139546,5.785387719682397,39.6,0.0,254.0,39.6,0.0,254.0
Ceftazidime_AB,0.942,0.9253095477332807,0.7958389677848143,0.7974829624940913,0.8902359743213664,0.834439083001576,4.4,1.4000000000000001,25.6,0.0,274.4,25.6,0.0,274.4
Ciprofloxacin_AB,0.9540000000000001,0.9741326585236181,0.8543692249160773,0.8505066798994438,0.9211811836354171,0.8806105742326349,3.4,1.2,29.2,0.0,270.8,29.2,0.0,270.8
Imipenem_AB,0.9186666666666665,0.9432286971698411,0.9190957959821479,0.8997366284983344,0.8965130306534629,0.8978712634483456,4.266666666666667,3.8666666666666663,217.0,0.0,83.0,217.0,0.0,83.0
Trimethoprim-sulfamethoxazole_AB,0.8973333333333333,0.9279602503317346,0.8426046898763371,0.8314817327421249,0.8528693993416875,0.8402234106412457,6.0,4.2666666666666675,57.6,0.0,242.4,57.6,0.0,242.4
Ceftriaxone_AB,0.9620000000000001,0.9609708478689265,0.8492552447694746,0.862060379389438,0.903737411657683,0.8805952856469093,2.4666666666666663,1.3333333333333335,25.0,0.0,275.0,25.0,0.0,275.0
Levofloxacin_AB,0.9193333333333333,0.9506619145758588,0.8823324964132343,0.8582414744438026,0.9105332912614168,0.8802933913560617,6.0666666666666655,2.0,58.6,0.0,241.4,58.6,0.0,241.4
Amikacin_AB,0.9213333333333333,0.9415306280402413,0.9300473650290055,0.8990543341123288,0.9015811941591622,0.9001967935740616,3.8,4.066666666666667,218.6,0.0,81.4,218.6,0.0,81.4
Ampicillin-sulbactam_AB,0.9486666666666667,0.9381600277000798,0.7517689720600995,0.7273302105514305,0.7714362023491081,0.7446640078230745,3.0666666666666664,2.0666666666666664,14.6,0.0,285.4,14.6,0.0,285.4
Cefazolin_AB,0.9526666666666668,0.970755547055116,0.7788478768707052,0.7441624041353865,0.8748484274346342,0.7890558783009552,3.6666666666666665,1.0666666666666669,13.6,0.0,286.4,13.6,0.0,286.4
Median,0.9189197271983284,0.9450997773136777,0.8326201199775035,0.8334300531556282,0.8792438853655842,0.8489373284178482,4.263829787234043,3.0,,,,,,
