Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.009269411207208136,0.0017299316156432194,0.002115055300237297,0.0077920566621080675,0.014258942079427838,0.010450518251109122,0.34539451704792723,0.9432838982722958,4.578209256903839,0.0,3.1874754901018454,7.467261881037788,0.0,11.668761716651858
Cefuroxime_AB,0.015062470345412728,0.0015554283774144892,0.0032796877539684618,0.026090470820917658,0.015258469171448531,0.01965972866076498,1.5861863765299165,0.5311663241770304,5.403702434442518,0.0,4.242640687119285,10.031948963187563,0.0,8.97552226892675
Ciprofloxacin_AB,0.004483771226654239,0.0016606423777227716,0.010314065252951239,0.02308745507762535,0.03591670589202195,0.018647745382108748,0.5571260960166661,0.6559366062742914,2.0591260281974,0.0,4.915282290977803,8.182909018191515,0.0,8.42852300228219
Cefazolin_AB,0.007812753491133377,0.0017192712381707588,0.004928151197293914,0.02026494747297665,0.017960713514909885,0.013577820475620101,0.7399813792182972,0.5432686527577825,3.4292856398964493,0.0,5.403702434442518,4.9396356140913875,0.0,12.419339757008018
Ceftazidime_AB,0.012763009041033538,0.0022489551693432312,0.004169836352707248,0.014705425799166472,0.018172566969289584,0.016318855677080676,0.5618115425276514,0.7232424227956223,6.56048778674269,0.0,5.381449618829484,11.906300852909775,0.0,10.833282051160673
Ampicillin-sulbactam_AB,0.013753010379865463,0.00446642673457578,0.014033879373207266,0.029494914628228574,0.046809392599835194,0.03478378054657888,0.6642510422921367,1.3254090511251089,3.9293765408777,0.0,7.0710678118654755,6.603029607687671,0.0,9.947864092356712
Ceftriaxone_AB,0.006383320803174306,0.004129573778977273,0.03434326033304205,0.044089305791906695,0.07714093284427603,0.04040703377009882,0.5607818150997533,0.9869314140543735,0.7483314773547882,0.0,6.916646586316233,3.7202150475476548,0.0,10.264501936285072
Levofloxacin_AB,0.011902831096787468,0.006636877634877877,0.012798919638553091,0.020221089250019378,0.010755316224368932,0.015800454048504792,1.0347836836198092,0.2361747275085623,6.841052550594828,0.0,7.183313998427188,6.974238309665077,0.0,6.881860213634101
Aztreonam_AB,0.01607505362974153,0.004858853796178693,0.006344790646442849,0.021762283344958704,0.01951787604546171,0.018505513927790748,0.9176793017796431,1.113161241332312,5.830951894845301,0.0,11.443775600735975,7.227724399837061,0.0,16.451139778143034
Piperacillin-tazobactam_AB,0.010494490462744397,0.004803668078421219,0.006927930120122721,0.02215380801424697,0.012680035519907606,0.015541411722900187,1.1646398399019036,0.7437443475935094,5.89915248150105,0.0,3.5440090293338695,13.526270735128733,0.0,6.053098380168622
Gentamicin_AB,0.01280371264635817,0.0030648052580063926,0.0030712084919731902,0.012828171528413933,0.013010872857523155,0.012917520650045117,1.0147274155439103,0.49674936520889207,6.151422599691879,0.0,6.6332495807108,10.127191120937729,0.0,4.534313619501853
Imipenem_AB,0.01409939697386761,0.002410915823499097,0.00244492766816623,0.015048837060411614,0.012449687431246829,0.014064196700369347,0.5651329103795447,1.513533716607848,3.0724582991474434,0.0,4.48998886412873,8.284926070883191,0.0,4.707440918375927
Meropenem_AB,0.004058172139152748,0.00033415265057345144,0.0003809940554612993,0.005205641762331641,0.0033453795596661597,0.004143819266164954,0.20272733421954942,0.38311297004326367,5.607138307550474,0.0,4.48998886412873,3.5552777669262356,0.0,8.957678270623475
Amikacin_AB,0.007081156144739468,0.0026865736859814746,0.004167360123378909,0.010839490428951,0.007585233450574857,0.007102560844858357,0.8648467523089332,1.3584253368820822,5.276362383309168,0.0,8.44748483277715,6.615134163416491,0.0,10.609429767899874
Cefepime_AB,0.016656606217482033,0.007361366880253053,0.030628273889409047,0.027360135533498763,0.02930181501297404,0.028447544289696643,0.6269203212356178,1.223317725192763,5.403702434442518,0.0,9.15641851380768,6.945502141674135,0.0,11.285388783732706
Trimethoprim-sulfamethoxazole_AB,0.005790357865070746,0.0031142532929236072,0.03115535460087596,0.056872272694698495,0.042431293770549904,0.048038130903371015,0.4129730819496411,0.44827640432256616,3.32264954516723,0.0,6.29285308902091,6.916646586316233,0.0,15.26302722267113
Ampicillin_AB,0.00660353197706594,0.010599034454110074,0.1494892872444023,0.20220452340404552,0.19470912885036382,0.19160220011552923,0.22346368715083795,0.5148893222282711,0.39999999999999997,0.0,4.029888335921977,1.2649110640673518,0.0,6.280127387243032
Amoxicillin-clavulanic acid_AB,0.016539041439070878,0.005374270652153955,0.021790279532616124,0.07077382896569091,0.024818342393110086,0.04641431958201748,1.8282294007188107,0.7346724586117624,2.6532998322843198,0.0,4.758150901348127,3.9293765408777004,0.0,8.749857141690944
Ertapenem_AB,0.0073683993561672444,0.003157259151641355,0.006529691963425276,0.017185984056597634,0.011673980717832306,0.010379413355812928,1.0013140610136735,0.7265696624831299,2.0591260281974,0.0,2.5612496949731396,7.4404300950953095,0.0,5.885575587824865
Cefotaxime_AB,0.008438524521466543,0.0016853617648548657,0.008220686269504014,0.03175199760397727,0.0476820148831738,0.027468104565430952,0.5202118979215856,0.9781518728955857,3.521363372331802,0.0,3.1240998703626617,3.4871191548325386,0.0,4.498888751680798
Tigecycline_AB,0.019714991746994117,0.008727749723543872,0.04773438099124069,0.04868797499570687,0.0898929071312806,0.07160477593847997,0.874518216655257,2.62886026392891,4.63033476111609,0.0,2.638181191654584,7.014271166700073,0.0,7.889233169326408
