Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.016476365622668816,0.027161919804383046,0.030671210510517567,0.018655025094915692,0.01623995235360167,0.017073273270013567,1.7858956294646164,1.7728682948685006,5.0039984012787215,0.0,4.963869458396343,5.0039984012787215,0.0,4.963869458396343
Cefuroxime_AB,0.020901443491632032,0.05534456420542355,0.032154542189281154,0.04912952669240817,0.01777484224258798,0.031485523581616,1.6798896153825638,1.1907603611119326,6.499230723708768,0.0,6.48074069840786,6.499230723708768,0.0,6.48074069840786
Cefotaxime_AB,0.014128387661640096,0.060488758969057956,0.07968060592037092,0.007064193830820061,0.0,0.0038575916347368803,0.0,1.41283876616401,3.655133376499413,0.0,4.874423042781576,3.655133376499413,0.0,4.874423042781576
Cefpodoxime_AB,0.022365676273516495,0.03763599526978691,0.07101980956635937,0.22845165826211358,0.15415218159341365,0.1555398271524739,0.38461538461538464,2.428960492777089,2.65329983228432,0.0,5.491812087098393,2.65329983228432,0.0,5.491812087098393
Cefepime_AB,0.019583717508781344,0.1395020651803847,0.06569872318013092,0.10626944589758953,0.011969497830751434,0.023881561074917994,0.7826052818580004,2.1035140594245783,2.7856776554368237,0.0,4.758150901348127,2.7856776554368237,0.0,4.758150901348127
Gentamicin_AB,0.026397400840628218,0.012016686852586127,0.012949045832722767,0.021543272130631112,0.02387758436022381,0.026014951069450173,1.51505926204797,3.348609922270112,4.409081537009721,0.0,2.8705400188814645,4.409081537009721,0.0,2.8705400188814645
Piperacillin-tazobactam_AB,0.02550475330431598,0.03642016276737052,0.031910796909635886,0.023603079428497306,0.02214198825756885,0.02195032434402077,2.7984388760121273,2.1568013290921555,4.029888335921977,0.0,4.963869458396343,4.029888335921977,0.0,4.963869458396343
Doripenem_AB,0.09984400337265076,0.03894354111347996,0.013359722896389812,0.0390468186365123,0.06550153099403398,0.0829326896853414,1.5819032056966784,10.269896564912703,3.815756805667783,0.0,6.957010852370434,3.815756805667783,0.0,6.957010852370434
Tigecycline_AB,0.012503985423198898,0.07503655259979793,0.05367506052695032,0.00625199271159946,0.0,0.0038853671840307718,0.0,1.2503985423198896,3.919183588453085,0.0,4.166533331199931,3.919183588453085,0.0,4.166533331199931
Trimethoprim_AB,0.0,,9.930136612989092e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piperacillin_AB,0.020815532487368428,0.06751749058984592,0.02526727189200679,0.010407766243684209,0.0,0.0056151886481843145,0.0,2.0815532487368418,2.4166091947189146,0.0,5.817215828899594,2.4166091947189146,0.0,5.817215828899594
Aztreonam_AB,0.017254732549642233,0.031954904312727926,0.039056319958085055,0.044583072204205966,0.06338741528376762,0.054024516238039014,0.7695458998966612,2.099073868127841,3.32264954516723,0.0,5.966573556070519,3.32264954516723,0.0,5.966573556070519
Ceftazidime_AB,0.021145982829653354,0.021769967132640622,0.018122816349942207,0.018143785734421117,0.031315013506096896,0.02418863753129181,0.6010595599952939,1.8390752200011002,6.529931086925803,0.0,5.344155686354955,6.529931086925803,0.0,5.344155686354955
Ciprofloxacin_AB,0.023888143517877658,0.18224448533972792,0.05652140109133594,0.011944071758938806,0.0,0.006914575670125666,0.0,2.388814351787767,3.655133376499413,0.0,8.414273587185052,3.655133376499413,0.0,8.414273587185052
Ceftazidime-avibactam_AB,0.017905798694449422,0.04975559694444101,0.03736088869292179,0.01600280831002258,0.026605063955336083,0.020722718398083154,1.6826649856839118,1.6000000000000003,4.069397989875161,0.0,1.9390719429665317,4.069397989875161,0.0,1.9390719429665317
Imipenem_AB,0.040315094148147386,0.21954054845163287,0.14882886871158998,0.19183502591352802,0.015186887233774518,0.038794955145283305,0.3482724805615125,3.9636260612987124,8.5463442476886,0.0,3.40587727318528,8.5463442476886,0.0,3.40587727318528
Meropenem_AB,0.017811882627152834,0.16181144328248184,0.08285458582412218,0.034606999137923644,0.01680651826261287,0.021097367998582,0.3176905912095366,1.9667735733624097,8.16333265278342,0.0,6.151422599691879,8.16333265278342,0.0,6.151422599691879
Ceftolozane-tazobactam_AB,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
