Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.009568466729604859,0.010906839704859355,0.015960255416422025,0.010947030905553592,0.00996908163603563,0.01030997236590307,0.9092121131323904,0.6324555320336761,3.3823069050575527,0.0,3.3823069050575527,3.3823069050575527,0.0,3.3823069050575527
Cefuroxime_AB,0.007192765405165319,0.05634855166046772,0.05022010862390809,0.033979757466252924,0.02440796686957952,0.028517313903851347,0.7255354121086841,0.3737308079051861,2.870540018881465,0.0,5.418486873657626,2.870540018881465,0.0,5.418486873657626
Cefotaxime_AB,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cefpodoxime_AB,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cefepime_AB,0.03255577065813724,0.0331517903606329,0.0259700716387624,0.07074429831732036,0.019110405340132294,0.03990986162386044,1.7552661445495878,3.595612398130841,9.064215354899728,0.0,8.114185110040317,9.064215354899728,0.0,8.114185110040317
Gentamicin_AB,0.02711293254355032,0.008976157201749935,0.007445634106400378,0.026996521924794892,0.026420018258941972,0.02670358421217423,1.8926759422104522,1.4079141387961915,5.477225575051661,0.0,5.477225575051661,5.477225575051661,0.0,5.477225575051661
Piperacillin-tazobactam_AB,0.028174062145487264,0.04013547950321594,0.0503465865305742,0.041334037495454425,0.0305145346377517,0.03598615132373536,2.1949436844205774,0.8793937305515281,5.727128425310541,0.0,5.727128425310541,5.727128425310541,0.0,5.727128425310541
Doripenem_AB,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tigecycline_AB,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trimethoprim_AB,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piperacillin_AB,0.0,,9.930136612989092e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
