Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.013523934786671042,0.0144236237656377,0.016865202284820132,0.016928649219819045,0.010858782542659044,0.012954174093334101,1.7600078350869495,1.3675351626676697,5.0039984012787215,0.0,4.963869458396343,5.0039984012787215,0.0,4.963869458396343
Cefuroxime_AB,0.03611517350418029,0.03757446648451227,0.018793592599419654,0.038851874828402966,0.014470184564848219,0.018317756453111476,1.5812455003415882,2.3187300988341613,6.499230723708768,0.0,6.48074069840786,6.499230723708768,0.0,6.48074069840786
Cefepime_AB,0.011544063642276814,0.02503979211517012,0.02590121217390854,0.015049941500297386,0.03487503215781126,0.010197677091794519,2.4807378503555175,1.9736210395427394,2.7856776554368237,0.0,4.758150901348127,2.7856776554368237,0.0,4.758150901348127
Gentamicin_AB,0.02050364383103595,0.01239645609137949,0.010370724223631708,0.019640875107632284,0.021854562966064844,0.02064277025944447,2.3830985336811015,2.253519222359158,4.409081537009721,0.0,2.8705400188814645,4.409081537009721,0.0,2.8705400188814645
Piperacillin-tazobactam_AB,0.015979783124120357,0.03432568212607689,0.029178395977127933,0.010309228816307784,0.010475437402854459,0.010023272400485629,1.1829361807623073,0.9885844854381278,4.029888335921977,0.0,4.963869458396343,4.029888335921977,0.0,4.963869458396343
Aztreonam_AB,0.022422758144956426,0.03372765824694176,0.0320783619371738,0.04788239143393475,0.04230016163873253,0.04164583292476294,2.9541295822530875,2.4000830068237518,3.32264954516723,0.0,5.966573556070519,3.32264954516723,0.0,5.966573556070519
Ceftazidime_AB,0.016329481329176325,0.019226294244313546,0.019090324444090596,0.014372735134070133,0.014943321255648257,0.013347355994018255,0.9766437652806175,1.2172903535005808,6.529931086925803,0.0,5.344155686354955,6.529931086925803,0.0,5.344155686354955
Ciprofloxacin_AB,0.03235852852319588,0.027792920335845878,0.03684245896822708,0.044675471720652976,0.0746089909863155,0.05499799526176934,1.3968413822947274,2.3094504079946176,3.655133376499413,0.0,8.414273587185052,3.655133376499413,0.0,8.414273587185052
Imipenem_AB,0.02881192884165701,0.009420172115954412,0.011220533242089341,0.019838798881244173,0.053043798332115824,0.060596582876620314,3.2557436724203375,0.5775728189071324,8.5463442476886,0.0,3.40587727318528,8.5463442476886,0.0,3.40587727318528
Trimethoprim-sulfamethoxazole_AB,0.022886926938779487,0.10275510824823333,0.07158229912438367,0.024014173405762382,0.07860512484530556,0.04040486878563069,2.0460289115579293,0.5912344074153619,0.9797958971132712,0.0,2.1354156504062622,0.9797958971132712,0.0,2.1354156504062622
Ceftriaxone_AB,0.012399977442337678,0.03322093821554472,0.08125995133374936,0.007628694735477825,0.027207652203898924,0.011663582720009452,1.095464702897874,0.5133959783008618,2.1354156504062622,0.0,9.178235124467014,2.1354156504062622,0.0,9.178235124467014
Levofloxacin_AB,0.02530351995300298,0.013177834433135473,0.01941983717558582,0.024963747398252543,0.028374800176581904,0.025356808359504924,2.5312361825688257,2.2619889453679054,6.418722614352485,0.0,3.4871191548325386,6.418722614352485,0.0,3.4871191548325386
Amikacin_AB,0.03516918402699087,0.02365008252942453,0.024699211509694605,0.020447783404794494,0.04071163230979243,0.038424179801137104,4.846103350429856,1.3982689314239858,6.81175454637056,0.0,7.144228439796701,6.81175454637056,0.0,7.144228439796701
Ampicillin-sulbactam_AB,0.022818088905387737,0.0652202285176673,0.06086141840611813,0.07455980557381603,0.04580298421555585,0.05430332223815449,2.306469417721179,1.3362615404265072,1.6,0.0,7.914543574963751,1.6,0.0,7.914543574963751
Cefazolin_AB,0.025518015378462443,0.009707886557428075,0.07519971054465684,0.09463439481233857,0.1291385290817928,0.1077050327295308,0.5919080351745659,2.136607488523865,1.019803902718557,0.0,6.997142273814361,1.019803902718557,0.0,6.997142273814361
Median,0.0065092552711036285,0.015454849992162437,0.030604303117965526,0.028540340042811533,0.01871327681073867,0.02066969265720528,0.9958234009633231,0.7124218606756992,,,,,,
