Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.015405626677721792,0.008770178458464253,0.010382471062667629,0.01700175587101349,0.01335178305415292,0.01536817597657858,1.6138291249213603,0.7774602526460401,3.3823069050575527,0.0,3.3823069050575527,3.3823069050575527,0.0,3.3823069050575527
Cefuroxime_AB,0.009332712968009247,0.02585242567473497,0.034118616726148375,0.024128033481463185,0.034128452236071104,0.015988933146001142,1.014702313526498,0.6016248595313718,2.870540018881465,0.0,5.418486873657626,2.870540018881465,0.0,5.418486873657626
Cefepime_AB,0.019252993721157862,0.016227709886681232,0.021687387267964094,0.02858016905536643,0.02501206389304058,0.02487705941645724,2.387140928607695,1.8055686737671415,9.064215354899728,0.0,8.114185110040317,9.064215354899728,0.0,8.114185110040317
Gentamicin_AB,0.009752492558885203,0.013729647656712054,0.01363903535457717,0.007980468400548016,0.011428268283719668,0.009738386047325426,1.586050300449376,2.0805982045769644,5.477225575051661,0.0,5.477225575051661,5.477225575051661,0.0,5.477225575051661
Piperacillin-tazobactam_AB,0.015434449203720321,0.014829899290361383,0.010312790510328233,0.013617125995230982,0.025086378883377072,0.01636441492576144,1.5916448515084427,1.2036980056845192,5.727128425310541,0.0,5.727128425310541,5.727128425310541,0.0,5.727128425310541
Aztreonam_AB,0.00668837899293656,0.05795602934014506,0.045800236532054873,0.03997788539640201,0.03577374763358088,0.033304321785236575,1.0058741688193251,0.9292533341565141,4.882622246293481,0.0,3.5777087639996634,4.882622246293481,0.0,3.5777087639996634
Ceftazidime_AB,0.011661903789690564,0.03427400280960692,0.04320128608304666,0.05017534383636299,0.03474505126730006,0.04328506519388688,0.9752492558885196,0.38873012632302,5.314132102234569,0.0,5.314132102234569,5.314132102234569,0.0,5.314132102234569
Ciprofloxacin_AB,0.0038873012632302064,0.0034744426293735566,0.029703591227657214,0.011377052438393355,0.025661923725385102,0.008735809031041075,0.38873012632302,0.6531972647421808,3.249615361854384,0.0,3.249615361854384,3.249615361854384,0.0,3.249615361854384
Imipenem_AB,0.010022197585581913,0.016700609934060726,0.009576436137792887,0.004496891617304409,0.011298121620077414,0.007090986993839114,0.9521904571390465,0.5811865258054232,8.87693640846886,0.0,8.87693640846886,8.87693640846886,0.0,8.87693640846886
Trimethoprim-sulfamethoxazole_AB,0.012364824660660913,0.021879194674357266,0.0358039560281709,0.01645189713143275,0.024649834296374223,0.015268000490075862,1.2823589374447564,1.3232955494186138,2.870540018881465,0.0,2.870540018881465,2.870540018881465,0.0,2.870540018881465
Ceftriaxone_AB,0.005416025603090613,0.0107009079050513,0.0245642915454171,0.025544762616632105,0.026058277389251695,0.020464023312425684,0.6863753427324666,0.3651483716701107,3.8987177379235853,0.0,3.8987177379235853,3.8987177379235853,0.0,3.8987177379235853
Levofloxacin_AB,0.01181336343111292,0.010868766486660224,0.0264964183523126,0.02037995159666315,0.01815010716092662,0.019380575367971754,0.8793937305515278,0.5577733510227171,2.727636339397171,0.0,2.727636339397171,2.727636339397171,0.0,2.727636339397171
Amikacin_AB,0.014391355429948604,0.011725630977480946,0.010034985371433491,0.022132015162553555,0.0173892750835482,0.0195970259741538,0.5416025603090642,1.0413666234542207,6.7111846942250075,0.0,6.7111846942250075,6.7111846942250075,0.0,6.7111846942250075
Ampicillin-sulbactam_AB,0.008589399151150092,0.02594736329436656,0.04458997457087681,0.03404898887655851,0.060927147964966386,0.037946589058086067,0.7717224601860152,0.679869268479038,2.244994432064365,0.0,2.244994432064365,2.244994432064365,0.0,2.244994432064365
Cefazolin_AB,0.01569146972791978,0.015996350185009257,0.06837895099666756,0.04804968553351254,0.05493777981735638,0.046345965360432916,1.2995725793078619,0.8273115763993906,3.440930106817051,0.0,3.4409301068170506,3.440930106817051,0.0,3.4409301068170506
Median,0.006642930099207459,0.008963964157205444,0.018903627944364905,0.016030431458078618,0.0058101317650657135,0.01230054221388945,0.7678123062565172,0.4216370213557837,,,,,,
