,Organism_Code,Antibiotic,Test_Count_NA,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_NA,Train_Count_S,Train_Count_I,Train_Count_R
0,EKP,Amikacin_AB,174.0,515.0,0,211.0,174.0,515.0,0,211.0
1,EKP,Amoxicillin-clavulanic acid_AB,679.0,25.0,0,196.0,679.0,25.0,0,196.0
2,EKP,Ampicillin-sulbactam_AB,290.0,78.0,0,532.0,290.0,78.0,0,532.0
3,EKP,Ampicillin_AB,220.0,9.0,0,671.0,220.0,9.0,0,671.0
4,EKP,Aztreonam_AB,256.0,138.0,0,506.0,256.0,138.0,0,506.0
5,EKP,Cefazolin_AB,342.0,72.0,0,486.0,342.0,72.0,0,486.0
6,EKP,Cefepime_AB,243.0,159.0,0,498.0,243.0,159.0,0,498.0
7,EKP,Cefotaxime_AB,391.0,29.0,0,480.0,391.0,29.0,0,480.0
8,EKP,Cefpodoxime_AB,631.0,4.0,0,265.0,631.0,4.0,0,265.0
9,EKP,Ceftazidime-avibactam_AB,714.0,63.0,0,123.0,714.0,63.0,0,123.0
10,EKP,Ceftazidime_AB,57.0,165.0,0,678.0,57.0,165.0,0,678.0
11,EKP,Ceftolozane-tazobactam_AB,724.0,19.0,0,157.0,724.0,19.0,0,157.0
12,EKP,Ceftriaxone_AB,229.0,44.0,0,627.0,229.0,44.0,0,627.0
13,EKP,Cefuroxime_AB,209.0,131.0,0,560.0,209.0,131.0,0,560.0
14,EKP,Ciprofloxacin_AB,124.0,85.0,0,691.0,124.0,85.0,0,691.0
15,EKP,Colistin_AB,705.0,165.0,0,30.0,705.0,165.0,0,30.0
16,EKP,Doripenem_AB,743.0,115.0,0,42.0,743.0,115.0,0,42.0
17,EKP,Ertapenem_AB,538.0,84.0,0,278.0,538.0,84.0,0,278.0
18,EKP,Gentamicin_AB,125.0,391.0,0,384.0,125.0,391.0,0,384.0
19,EKP,Imipenem_AB,251.0,337.0,0,312.0,251.0,337.0,0,312.0
20,EKP,Levofloxacin_AB,298.0,163.0,0,439.0,298.0,163.0,0,439.0
21,EKP,Meropenem_AB,142.0,508.0,0,250.0,142.0,508.0,0,250.0
22,EKP,Piperacillin-tazobactam_AB,221.0,158.0,0,521.0,221.0,158.0,0,521.0
23,EKP,Piperacillin_AB,777.0,10.0,0,113.0,777.0,10.0,0,113.0
24,EKP,Tigecycline_AB,432.0,55.0,0,413.0,432.0,55.0,0,413.0
25,EKP,Tobramycin_AB,257.0,233.0,0,410.0,257.0,233.0,0,410.0
26,EKP,Trimethoprim-sulfamethoxazole_AB,227.0,63.0,0,610.0,227.0,63.0,0,610.0
27,EKP,Trimethoprim_AB,873.0,8.0,0,19.0,873.0,8.0,0,19.0
