Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.9239130434782609,0.9138095238095238,0.9036076330560332,0.931941031941032,0.9185714285714286,0.9223628691983122,1.0869565217391304,6.521739130434782,42.0,0.0,50.0,42.0,0.0,50.0
Cefuroxime_AB,0.6135265700483091,0.5556052474657126,0.5327721670909881,0.537037037037037,0.5125223613595706,0.4575471698113207,4.830917874396135,33.81642512077295,78.0,0.0,129.0,78.0,0.0,129.0
Cefotaxime_AB,0.9318181818181818,0.8197831978319783,0.6104826559746175,0.4659090909090909,0.5,0.4823529411764706,0.0,6.8181818181818175,18.0,0.0,246.0,18.0,0.0,246.0
Cefpodoxime_AB,0.9823008849557522,0.9819819819819819,0.7248387430939451,0.4911504424778761,0.5,0.4955357142857143,0.0,1.7699115044247788,2.0,0.0,111.0,2.0,0.0,111.0
Cefepime_AB,0.8285714285714286,0.6228491396558624,0.5732956618994041,0.4233576642335766,0.48739495798319327,0.453125,2.142857142857143,15.0,21.0,0.0,119.0,21.0,0.0,119.0
Gentamicin_AB,0.9058823529411765,0.9508678611422172,0.9443188148053615,0.9042642140468227,0.9060750279955208,0.905041195363776,4.117647058823529,5.294117647058823,94.0,0.0,76.0,94.0,0.0,76.0
Piperacillin-tazobactam_AB,0.6715328467153284,0.7660633484162895,0.7359686101705032,0.6493506493506493,0.6457013574660633,0.6471699193040692,15.328467153284672,17.51824817518248,52.0,0.0,85.0,52.0,0.0,85.0
Doripenem_AB,0.7346938775510204,0.8087962962962962,0.7362448973079148,0.6621863799283154,0.7513888888888889,0.6677099634846113,4.081632653061225,22.448979591836736,120.0,0.0,27.0,120.0,0.0,27.0
Tigecycline_AB,0.811965811965812,0.5673444976076556,0.5441826863057513,0.405982905982906,0.5,0.4481132075471698,0.0,18.803418803418804,44.0,0.0,190.0,44.0,0.0,190.0
Trimethoprim_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piperacillin_AB,0.936,0.5058760683760684,0.5103753258209388,0.468,0.5,0.4834710743801653,0.0,6.4,8.0,0.0,117.0,8.0,0.0,117.0
Aztreonam_AB,0.831858407079646,0.8434436274509804,0.7028048982575209,0.6587301587301587,0.6348039215686274,0.6448304383788255,7.079646017699115,9.734513274336283,17.0,0.0,96.0,17.0,0.0,96.0
Ceftazidime_AB,0.8939929328621908,0.9355699855699855,0.8720346674853627,0.8549138332557056,0.8298701298701299,0.8413677130044843,4.240282685512367,6.36042402826855,63.0,0.0,220.0,63.0,0.0,220.0
Ciprofloxacin_AB,0.834319526627219,0.5694022289766971,0.5434308574666766,0.4171597633136095,0.5,0.45483870967741935,0.0,16.56804733727811,28.0,0.0,141.0,28.0,0.0,141.0
Ceftazidime-avibactam_AB,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,5.0,15.0,0.0,5.0
Imipenem_AB,0.275,0.6744186046511629,0.6398522014096135,0.6352201257861635,0.5042735042735043,0.2213458633998993,0.0,72.5,117.0,0.0,43.0,117.0,0.0,43.0
Meropenem_AB,0.38686131386861317,0.2309195402298851,0.4175250701609398,0.6865671641791045,0.5172413793103449,0.3050724637681159,0.0,61.31386861313869,87.0,0.0,50.0,87.0,0.0,50.0
Ceftolozane-tazobactam_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trimethoprim-sulfamethoxazole_AB,0.9727272727272728,0.39252336448598135,0.501496768010693,0.4863636363636364,0.5,0.4930875576036866,0.0,2.727272727272727,3.0,0.0,107.0,3.0,0.0,107.0
Amoxicillin-clavulanic acid_AB,0.916030534351145,0.8592436974789915,0.7325902228213517,0.7480443285528031,0.7664565826330532,0.7567932489451477,4.580152671755725,3.816793893129771,12.0,0.0,119.0,12.0,0.0,119.0
Colistin_AB,0.8486486486486486,0.679481346678799,0.5759121908206234,0.4243243243243243,0.5,0.4590643274853801,15.135135135135137,0.0,157.0,0.0,28.0,157.0,0.0,28.0
Ertapenem_AB,0.9558823529411765,0.5025641025641026,0.5177774404372573,0.47794117647058826,0.5,0.48872180451127817,0.0,4.411764705882353,3.0,0.0,65.0,3.0,0.0,65.0
Ceftriaxone_AB,0.9212121212121213,0.8011133603238866,0.7414136754861297,0.46060606060606063,0.5,0.4794952681388013,0.0,7.878787878787878,13.0,0.0,152.0,13.0,0.0,152.0
Levofloxacin_AB,0.717391304347826,0.8189125295508275,0.7988503092426458,0.7333333333333334,0.7200945626477542,0.7140124342419896,7.608695652173914,20.652173913043477,47.0,0.0,45.0,47.0,0.0,45.0
Ampicillin_AB,0.0,,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amikacin_AB,0.8835616438356164,0.9564130434782608,0.9239920856797363,0.8665566556655666,0.8621739130434782,0.8643048493794763,6.164383561643835,5.47945205479452,100.0,0.0,46.0,100.0,0.0,46.0
Ampicillin-sulbactam_AB,0.9264705882352942,0.8501170960187354,0.8063777162855121,0.9621212121212122,0.6428571428571428,0.7025371828521434,0.0,7.352941176470589,14.0,0.0,122.0,14.0,0.0,122.0
Cefazolin_AB,0.9512195121951219,1.0,1.0,0.875,0.9714285714285714,0.9138655462184874,4.878048780487805,0.0,6.0,0.0,35.0,6.0,0.0,35.0
Median,0.8661051462421325,0.8087962962962962,0.7342794164959274,0.5861285814116002,0.5083979328165374,0.4909046810574824,0.0,6.460869565217392,,,,,,
