,Tobramycin_AB,Cefuroxime_AB,Ciprofloxacin_AB,Cefazolin_AB,Ceftazidime_AB,Ampicillin-sulbactam_AB,Ceftriaxone_AB,Levofloxacin_AB,Aztreonam_AB,Piperacillin-tazobactam_AB,Gentamicin_AB,Imipenem_AB,Amikacin_AB,Cefepime_AB,Trimethoprim-sulfamethoxazole_AB,Organism_Code
Amikacin_AB,0.09874273211012549,0.013283863566847565,0.014428510314687032,0.01370615171812117,0.022090817655979027,0.0065762432587049766,0.011006421364241908,0.03582839918022273,0.022280827039228485,0.024646837613881686,0.05773057935343822,0.04099405571376823,0.5943422951678392,0.026425406483123054,0.017916859459791164,0.0
Ampicillin-sulbactam_AB,0.013369104397418063,0.2627908734361835,0.053293115832088955,0.022175131918446597,0.017592531201268365,0.30226792891148346,0.16375849223931427,0.015277789899795457,0.025780706966448047,0.02952919104343616,0.006301311471772075,0.00674056711963114,0.006650189824199247,0.054084999379382354,0.020388066359132238,0.0
Aztreonam_AB,0.04860218197533152,0.023762133297581547,0.0445526788677312,0.03993486828436426,0.15774045811186205,0.012079447879424372,0.06075404874549925,0.03171841502490144,0.26968285114228746,0.03696973614398168,0.04845548507034374,0.042039673047906,0.05244847667358596,0.09680175651985097,0.03445778921534849,0.0
Cefazolin_AB,0.01585724211246358,0.08333618932742307,0.21238943879641986,0.15900471496624602,0.1791950784547186,0.022284685512783238,0.22316790445459267,0.011130238778099419,0.03824083331866815,0.018986433468501887,0.007203408982427504,0.00534823029021563,0.0036608219342680664,0.012891119285170286,0.007303660318002118,0.0
Cefepime_AB,0.08231607087545526,0.02410577896822888,0.03918482287358922,0.010757263414095976,0.02450356234602727,0.048429825316319716,0.04292781151836264,0.04704144586959963,0.11007525943148436,0.048578655457435116,0.059969323800002805,0.04284630417613099,0.05761075799756073,0.31195478101270946,0.04969833694299794,0.0
Ceftazidime_AB,0.013261151197657608,0.0190400694327687,0.06447676437445325,0.044314389745431663,0.4228688313230181,0.009544185227255083,0.09547132018002258,0.026260864330059665,0.1722763159020128,0.03569194262363118,0.020787124356749134,0.017051353296844648,0.021075873260899065,0.02550315071954407,0.012376664029652408,0.0
Ceftriaxone_AB,0.008306814499753321,0.06135268201256589,0.03598376876791468,0.02718730853486208,0.1430013608357129,0.10231467789829274,0.46479536288348333,0.009852918045154153,0.07020890602793661,0.014530403096599625,0.01157661640534172,0.010443785229446955,0.01043453048984682,0.017217772201817035,0.012793093071272096,0.0
Cefuroxime_AB,0.007530248797326124,0.436702413757143,0.0478029450649646,0.04339938153506265,0.052687362715296227,0.22417405905718424,0.11456818763004054,0.006921544836662354,0.016532106459085535,0.009130641529224857,0.004869508388395495,0.005589518299848318,0.002539853418993177,0.0165230040736479,0.011029224437125033,0.0
Ciprofloxacin_AB,0.010593052471295885,0.026492583247125986,0.5582635191550336,0.07533631829364326,0.02628150346293401,0.021404773306776058,0.022022108528284626,0.18507398437574707,0.015145215651150172,0.007523415031761524,0.013877272863477442,0.0049057318240068315,0.005227341378047274,0.011737308408112539,0.016115872002603865,0.0
Gentamicin_AB,0.07356923268725354,0.009338240385462254,0.02218773704025585,0.006239077446197245,0.01605723950014101,0.010792797129708917,0.009993047010706087,0.022752418148722094,0.02830562686654766,0.05527039716997054,0.5691832437406407,0.04449707300572249,0.05968324465621723,0.04882802921783949,0.023302595994614945,0.0
Imipenem_AB,0.027622810739828564,0.012339466689901463,0.013070048938798727,0.005637802052933887,0.017607047398977414,0.007785045948868136,0.009754372913820773,0.024025353028026157,0.020046561786467302,0.11201714301591001,0.031237515745357297,0.6066874395018123,0.05464686019085832,0.039422785923148504,0.01809974612529123,0.0
Levofloxacin_AB,0.01522210757035817,0.024271947641524103,0.10277873605937392,0.010498512812260361,0.0184136864204741,0.015255140855641988,0.011728348440811298,0.5978109379602148,0.021816872618870622,0.06843656312759078,0.017738800264548046,0.018379480940770555,0.023776760252227594,0.03503378319138646,0.018838321843947254,0.0
Piperacillin-tazobactam_AB,0.05826211410067954,0.01859681744932159,0.04913099738476555,0.01386342949373555,0.03508152294379566,0.0370843105048583,0.019780906915078923,0.0909180250485205,0.052869409680901425,0.3615899255316871,0.05295940780525803,0.05720350455923075,0.04372916567790895,0.068267598544263,0.040662864359995096,0.0
Tobramycin_AB,0.5748533850579902,0.015440444349155358,0.012364088996646264,0.010068819538148706,0.013471825539044824,0.008268865563586587,0.010730303490961558,0.01767496032753614,0.029747461760082878,0.033156622917675724,0.08761341773299214,0.02998959259370796,0.05340111504222256,0.07707191155987242,0.02614718553037685,0.0
Trimethoprim-sulfamethoxazole_AB,0.04448303028100067,0.03049114845789215,0.06269221653087843,0.01043630694710232,0.022381551875222797,0.052022039434960796,0.01074672956206295,0.01697923412162343,0.031172240528027924,0.05253929193556946,0.025456522785635757,0.03150778542727273,0.03703606445320576,0.03965747381439763,0.5323983638451474,0.0
