,Organism_Code,Antibiotic,Test_Count_NA,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_NA,Train_Count_S,Train_Count_I,Train_Count_R
0,EKP,Amikacin_AB,0.0,172.0,0,68.0,0.0,862.0,0,338.0
1,EKP,Ampicillin-sulbactam_AB,0.0,17.0,0,223.0,0.0,57.0,0,1143.0
2,EKP,Aztreonam_AB,6.0,30.0,0,204.0,17.0,141.0,0,1042.0
3,EKP,Cefazolin_AB,0.0,14.0,0,226.0,0.0,46.0,0,1154.0
4,EKP,Cefepime_AB,15.0,72.0,0,153.0,65.0,363.0,0,772.0
5,EKP,Ceftazidime_AB,0.0,22.0,0,218.0,0.0,85.0,0,1115.0
6,EKP,Ceftriaxone_AB,0.0,21.0,0,219.0,0.0,86.0,0,1114.0
7,EKP,Cefuroxime_AB,13.0,15.0,0,212.0,65.0,53.0,0,1082.0
8,EKP,Ciprofloxacin_AB,0.0,28.0,0,212.0,0.0,104.0,0,1096.0
9,EKP,Gentamicin_AB,0.0,111.0,0,129.0,0.0,542.0,0,658.0
10,EKP,Imipenem_AB,0.0,181.0,0,59.0,0.0,875.0,0,325.0
11,EKP,Levofloxacin_AB,0.0,56.0,0,184.0,0.0,236.0,0,964.0
12,EKP,Piperacillin-tazobactam_AB,0.0,45.0,0,195.0,0.0,193.0,0,1007.0
13,EKP,Tobramycin_AB,0.0,84.0,0,156.0,0.0,386.0,0,814.0
14,EKP,Trimethoprim-sulfamethoxazole_AB,0.0,55.0,0,185.0,0.0,229.0,0,971.0
