Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.9416666666666667,0.9847820890765675,0.9789068495688746,0.92561669829222,0.946777149231137,0.9347775448404378,4.583333333333333,1.25,77.0,0.0,163.0,393.0,0.0,807.0
Cefuroxime_AB,0.9508928571428571,0.9726190476190477,0.7644025574493691,0.7844558113100313,0.8404761904761905,0.8093911967200433,3.125,1.7857142857142856,14.0,0.0,210.0,59.0,0.0,1079.0
Ciprofloxacin_AB,0.9708333333333333,0.9865933641975309,0.9273637324734759,0.8941820558914855,0.9652777777777778,0.925765542839468,2.5,0.4166666666666667,24.0,0.0,216.0,108.0,0.0,1092.0
Cefazolin_AB,0.9541666666666667,0.9786184210526315,0.8851927813505688,0.7577777777777778,0.8179824561403508,0.7841550159430954,2.9166666666666665,1.6666666666666667,12.0,0.0,228.0,48.0,0.0,1152.0
Ceftazidime_AB,0.9541666666666667,0.9743538369064315,0.853859109341651,0.8500673854447439,0.9163494289721499,0.8793363499245852,3.3333333333333335,1.25,23.0,0.0,217.0,90.0,0.0,1110.0
Ampicillin-sulbactam_AB,0.9666666666666667,0.9819259259259259,0.906127806635485,0.8577777777777778,0.8577777777777778,0.8577777777777778,1.6666666666666667,1.6666666666666667,15.0,0.0,225.0,57.0,0.0,1143.0
Ceftriaxone_AB,0.9458333333333333,0.9782325581395349,0.8689743743905749,0.8587962962962963,0.846046511627907,0.8522657322789905,2.5,2.9166666666666665,25.0,0.0,215.0,92.0,0.0,1108.0
Levofloxacin_AB,0.9333333333333333,0.98583984375,0.9681767137138256,0.8762232693004712,0.9505208333333333,0.9056511056511056,6.25,0.4166666666666667,48.0,0.0,192.0,233.0,0.0,967.0
Aztreonam_AB,0.9152542372881356,0.9446997549019607,0.8261575362394008,0.8419811320754718,0.7665441176470589,0.7973901098901099,2.5423728813559325,5.932203389830509,32.0,0.0,204.0,151.0,0.0,1034.0
Piperacillin-tazobactam_AB,0.9,0.9473438956197577,0.8420010655023684,0.8111498257839722,0.797230728265211,0.803921568627451,4.583333333333333,5.416666666666667,37.0,0.0,203.0,188.0,0.0,1012.0
Gentamicin_AB,0.9,0.9726911272321428,0.9719792730221888,0.8993325917686318,0.9006696428571428,0.899749373433584,5.833333333333333,4.166666666666666,112.0,0.0,128.0,542.0,0.0,658.0
Imipenem_AB,0.9541666666666667,0.9696400769301218,0.9591808878843501,0.9416666666666667,0.9368531916842202,0.9392251202836162,2.5,2.083333333333333,179.0,0.0,61.0,884.0,0.0,316.0
Amikacin_AB,0.9541666666666667,0.9727472527472528,0.9720229022204723,0.9438920454545454,0.9395604395604396,0.9416948254157556,2.5,2.083333333333333,175.0,0.0,65.0,868.0,0.0,332.0
Cefepime_AB,0.8251121076233184,0.8802739726027398,0.8042247896745771,0.8011064756031199,0.8031963470319634,0.8021295474711624,8.968609865470851,8.520179372197308,73.0,0.0,150.0,378.0,0.0,758.0
Trimethoprim-sulfamethoxazole_AB,0.9083333333333333,0.9613962348722546,0.8938555375907984,0.8489583333333333,0.8603765127745406,0.8544813140778305,5.0,4.166666666666666,46.0,0.0,194.0,211.0,0.0,989.0
Median,0.9458333333333333,0.9727472527472528,0.8938555375907984,0.8577777777777778,0.8603765127745406,0.8577777777777778,3.125,2.083333333333333,,,,,,
