,Organism_Code,Antibiotic,Test_Count_NA,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_NA,Train_Count_S,Train_Count_I,Train_Count_R
0,EKP,Amikacin_AB,169.0,84.0,0,46.0,169.0,84.0,0,46.0
1,EKP,Ampicillin-sulbactam_AB,180.0,14.0,0,105.0,180.0,14.0,0,105.0
2,EKP,Aztreonam_AB,189.0,21.0,0,89.0,189.0,21.0,0,89.0
3,EKP,Cefazolin_AB,264.0,5.0,0,30.0,264.0,5.0,0,30.0
4,EKP,Cefepime_AB,172.0,19.0,0,108.0,172.0,19.0,0,108.0
5,EKP,Ceftazidime_AB,25.0,55.0,0,219.0,25.0,55.0,0,219.0
6,EKP,Ceftriaxone_AB,145.0,12.0,0,142.0,145.0,12.0,0,142.0
7,EKP,Cefuroxime_AB,98.0,79.0,0,122.0,98.0,79.0,0,122.0
8,EKP,Ciprofloxacin_AB,114.0,21.0,0,164.0,114.0,21.0,0,164.0
9,EKP,Gentamicin_AB,136.0,88.0,0,75.0,136.0,88.0,0,75.0
10,EKP,Imipenem_AB,157.0,99.0,0,43.0,157.0,99.0,0,43.0
11,EKP,Levofloxacin_AB,216.0,32.0,0,51.0,216.0,32.0,0,51.0
12,EKP,Piperacillin-tazobactam_AB,176.0,40.0,0,83.0,176.0,40.0,0,83.0
13,EKP,Tobramycin_AB,205.0,33.0,0,61.0,205.0,33.0,0,61.0
14,EKP,Trimethoprim-sulfamethoxazole_AB,190.0,5.0,0,104.0,190.0,5.0,0,104.0
