Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.9411764705882353,0.9683388157894737,0.9519071529984791,0.9370888157894737,0.9370888157894737,0.9370888157894737,2.941176470588235,2.941176470588235,38.0,0.0,64.0,38.0,0.0,64.0
Cefuroxime_AB,0.5631578947368421,0.5226935796556049,0.5260757070001737,0.5042213883677298,0.5020526855969895,0.4538528138528139,7.894736842105263,35.78947368421053,79.0,0.0,111.0,79.0,0.0,111.0
Cefepime_AB,0.8455882352941176,0.8496503496503497,0.7678766779700352,0.7504247366632688,0.7576923076923077,0.7539415869733781,8.088235294117647,7.352941176470589,26.0,0.0,110.0,26.0,0.0,110.0
Gentamicin_AB,0.8037974683544303,0.8879715072041444,0.8811282087349868,0.801948051948052,0.8011170471102477,0.8014994934143871,10.126582278481013,9.49367088607595,87.0,0.0,71.0,87.0,0.0,71.0
Piperacillin-tazobactam_AB,0.7338709677419355,0.8023255813953489,0.7771046954975425,0.7053571428571428,0.698105081826012,0.7012048192771085,12.096774193548388,14.516129032258066,43.0,0.0,81.0,43.0,0.0,81.0
Aztreonam_AB,0.7916666666666666,0.7573784722222221,0.6759522689701913,0.6576242147344374,0.6197916666666666,0.6323078808677534,7.5,13.333333333333334,24.0,0.0,96.0,24.0,0.0,96.0
Ceftazidime_AB,0.8428571428571429,0.8770519953293495,0.8263248077947358,0.7916026625704045,0.7738168830276804,0.7819314641744548,6.785714285714286,8.928571428571429,69.0,0.0,211.0,69.0,0.0,211.0
Ciprofloxacin_AB,0.8409090909090909,0.8801369863013699,0.7541627845469389,0.7187214611872146,0.7187214611872146,0.7187214611872146,7.954545454545454,7.954545454545454,30.0,0.0,146.0,30.0,0.0,146.0
Imipenem_AB,0.8287671232876712,0.9440901360544218,0.9047182896308017,0.8542587680518715,0.7555272108843537,0.7795228027786167,15.068493150684931,2.054794520547945,98.0,0.0,48.0,98.0,0.0,48.0
Trimethoprim-sulfamethoxazole_AB,0.8796296296296297,0.9301587301587302,0.7271875170671436,0.59375,0.9380952380952381,0.6248998129842372,12.037037037037036,0.0,3.0,0.0,105.0,3.0,0.0,105.0
Ceftriaxone_AB,0.8961748633879781,0.9262724550898204,0.7213501610701599,0.7094017094017093,0.8300898203592815,0.749658002735978,8.19672131147541,2.185792349726776,16.0,0.0,167.0,16.0,0.0,167.0
Levofloxacin_AB,0.900990099009901,0.9276470588235294,0.9262267146016543,0.9037549407114625,0.9005882352941177,0.9007468553459119,2.9702970297029703,6.9306930693069315,50.0,0.0,51.0,50.0,0.0,51.0
Amikacin_AB,0.75,0.8620738636363637,0.8172342940213198,0.7331002331002332,0.6988636363636364,0.7080580238474975,16.93548387096774,8.064516129032258,80.0,0.0,44.0,80.0,0.0,44.0
Ampicillin-sulbactam_AB,0.9014084507042254,0.8515625,0.696244005786482,0.7192307692307692,0.6908482142857143,0.7036374478234944,4.225352112676056,5.633802816901409,14.0,0.0,128.0,14.0,0.0,128.0
Cefazolin_AB,0.9074074074074074,0.9650000000000001,0.7820156695156695,0.6372549019607843,0.605,0.618104667609618,3.7037037037037033,5.555555555555555,4.0,0.0,50.0,4.0,0.0,50.0
Median,0.8428571428571429,0.8801369863013699,0.7771046954975425,0.7192307692307692,0.7555272108843537,0.7187214611872146,7.954545454545454,7.352941176470589,,,,,,
