,Organism_Code,Antibiotic,Test_Count_NA,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_NA,Train_Count_S,Train_Count_I,Train_Count_R
0,EKP,Amikacin_AB,0.0,219.0,0,81.0,0.0,219.0,0,81.0
1,EKP,Ampicillin-sulbactam_AB,0.0,11.0,0,289.0,0.0,11.0,0,289.0
2,EKP,Aztreonam_AB,4.0,39.0,0,257.0,4.0,39.0,0,257.0
3,EKP,Cefazolin_AB,0.0,12.0,0,288.0,0.0,12.0,0,288.0
4,EKP,Cefepime_AB,28.0,87.0,0,185.0,28.0,87.0,0,185.0
5,EKP,Ceftazidime_AB,0.0,21.0,0,279.0,0.0,21.0,0,279.0
6,EKP,Ceftriaxone_AB,0.0,21.0,0,279.0,0.0,21.0,0,279.0
7,EKP,Cefuroxime_AB,9.0,12.0,0,279.0,9.0,12.0,0,279.0
8,EKP,Ciprofloxacin_AB,0.0,24.0,0,276.0,0.0,24.0,0,276.0
9,EKP,Gentamicin_AB,0.0,128.0,0,172.0,0.0,128.0,0,172.0
10,EKP,Imipenem_AB,0.0,224.0,0,76.0,0.0,224.0,0,76.0
11,EKP,Levofloxacin_AB,0.0,59.0,0,241.0,0.0,59.0,0,241.0
12,EKP,Piperacillin-tazobactam_AB,0.0,36.0,0,264.0,0.0,36.0,0,264.0
13,EKP,Tobramycin_AB,0.0,102.0,0,198.0,0.0,102.0,0,198.0
14,EKP,Trimethoprim-sulfamethoxazole_AB,0.0,56.0,0,244.0,0.0,56.0,0,244.0
