Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.89,0.9432051098717764,0.9317786583104888,0.8790879360465116,0.8978263978263978,0.8852559719050985,8.333333333333332,2.666666666666667,111.0,0.0,189.0,111.0,0.0,189.0
Cefuroxime_AB,0.9442508710801394,0.9730576441102756,0.8008639967495592,0.7910902503293809,0.8164160401002506,0.8030874785591766,3.1358885017421603,2.4390243902439024,21.0,0.0,266.0,21.0,0.0,266.0
Cefepime_AB,0.7561837455830389,0.8162267080745341,0.7746467816755203,0.7483210745123121,0.7411490683229813,0.7438914027149321,10.60070671378092,13.780918727915195,115.0,0.0,168.0,115.0,0.0,168.0
Gentamicin_AB,0.8733333333333333,0.9628935362934188,0.9601086284829653,0.8729276856749189,0.8789918243823118,0.8727678571428572,9.333333333333334,3.3333333333333335,131.0,0.0,169.0,131.0,0.0,169.0
Piperacillin-tazobactam_AB,0.82,0.8488343253968254,0.7381295356763118,0.6863082627118644,0.7326388888888888,0.7036007025761124,11.666666666666666,6.333333333333334,48.0,0.0,252.0,48.0,0.0,252.0
Aztreonam_AB,0.9222972972972973,0.867636123275221,0.8202994185568372,0.895940170940171,0.8062050731223664,0.8420234365935724,1.6891891891891893,6.081081081081082,49.0,0.0,247.0,49.0,0.0,247.0
Ceftazidime_AB,0.96,0.9378436657681941,0.8582430910872594,0.8897730621868553,0.9277628032345013,0.907512074812455,2.666666666666667,1.3333333333333335,35.0,0.0,265.0,35.0,0.0,265.0
Ciprofloxacin_AB,0.9466666666666667,0.9694825298540468,0.8505523177683372,0.8617424242424243,0.880141530296329,0.8706199460916442,3.0,2.3333333333333335,34.0,0.0,266.0,34.0,0.0,266.0
Imipenem_AB,0.9333333333333333,0.956670151915862,0.9208456790257105,0.9048337457003198,0.9126022510609508,0.9086257309941521,3.0,3.6666666666666665,229.0,0.0,71.0,229.0,0.0,71.0
Trimethoprim-sulfamethoxazole_AB,0.9166666666666666,0.9610018552875695,0.9055526680109233,0.8624661246612466,0.8573283858998144,0.8598628524449261,4.0,4.333333333333334,55.0,0.0,245.0,55.0,0.0,245.0
Ceftriaxone_AB,0.9666666666666667,0.9627448694029852,0.8756093925208088,0.9042459088898718,0.9263059701492538,0.9148791283622744,2.0,1.3333333333333335,32.0,0.0,268.0,32.0,0.0,268.0
Levofloxacin_AB,0.92,0.9664586048425818,0.9038048363338173,0.8634964697362864,0.9131627683654572,0.8846966882326565,6.0,2.0,61.0,0.0,239.0,61.0,0.0,239.0
Amikacin_AB,0.9166666666666666,0.9246878651823605,0.9209252949711147,0.8810691222195648,0.8919675256780859,0.8863205759757484,3.6666666666666665,4.666666666666667,229.0,0.0,71.0,229.0,0.0,71.0
Ampicillin-sulbactam_AB,0.95,0.941193853427896,0.8062803267771324,0.7770181681962914,0.791371158392435,0.7839758052901925,2.666666666666667,2.3333333333333335,18.0,0.0,282.0,18.0,0.0,282.0
Cefazolin_AB,0.94,0.968392857142857,0.7960472103696057,0.7583387835186396,0.7821428571428571,0.7695852534562212,3.3333333333333335,2.666666666666667,20.0,0.0,280.0,20.0,0.0,280.0
Median,0.9222972972972973,0.956670151915862,0.8582430910872594,0.8634964697362864,0.8789918243823118,0.8706199460916442,3.3333333333333335,2.666666666666667,,,,,,
